repo_full_name,vintage_quarter,snapshot_sha,total_commits,ai_commits,ai_commit_fraction,tools_matched,first_ai_commit_date,marker_files_found
mkdocs/mkdocs,2014Q1,2d92dae9a2c534ca54a23b94632c99f785dcde45,136,0,0.0,,,
chriskiehl/Gooey,2014Q1,3a361eccad8b50023e6aa3706ab911d1b10f4994,26,0,0.0,,,
wagtail/wagtail,2014Q1,00046639c7032826e80bb081121b6abc63d942a2,1821,0,0.0,,,
binux/pyspider,2014Q1,2b1718afe5e0080192bedb69da90f93813b2f307,63,0,0.0,,,
pre-commit/pre-commit,2014Q1,cfd86d5faab40287d4655e0f4fba1310cc809a43,355,0,0.0,,,
ytisf/theZoo,2014Q1,5ac272748f50ad1e0486fbd310a668d602e70a29,33,0,0.0,,,
MrS0m30n3/youtube-dl-gui,2014Q1,ae350ddf135e8eb0cc70fa3e08be29672076f030,142,0,0.0,,,
joerick/pyinstrument,2014Q1,94b89f9a13a44a5a4b244c9aac9a7b81a4359ce5,104,0,0.0,,,
anishathalye/dotbot,2014Q1,1d2918f82e432a039dcf81849fcfd684d25ddb76,23,0,0.0,,,
pre-commit/pre-commit-hooks,2014Q1,f99d70ef0fed82851e32a8a8b34ab9e6e3eb2af5,71,0,0.0,,,
pallets/click,2014Q2,308cc08a711f1ec372fd7fa5acca8e8a1a04ee70,555,0,0.0,,,
platformio/platformio-core,2014Q2,c867f9a90a210f5d33b6bae75741d5121f8f7caf,217,0,0.0,,,
bayesian-optimization/BayesianOptimization,2014Q2,f01e77ed98f7e7daac5276c6eca2a030c2b4047b,58,0,0.0,,,
jupyterhub/jupyterhub,2014Q2,4954733a69fc6c634378f227cd04c314163e9d80,263,0,0.0,,,
EnableSecurity/wafw00f,2014Q2,424331e5f802fe2cf1d5690042fad286a273212d,50,0,0.0,,,
StackStorm/st2,2014Q2,bd36e3aa540bc524d428443c1b1cec25b67891c7,1747,0,0.0,,,
spotipy-dev/spotipy,2014Q2,06b54e4c1dbd3a2b1ae8772dc900e2daca60b052,95,0,0.0,,,
explosion/spaCy,2014Q3,5d9a096e2f4ab6e4d1ada55f58cb69a8e2230f48,479,0,0.0,,,
jumpserver/jumpserver,2014Q3,9d9c7759c9f4db040913e8d07b9be550445db394,13625,6,0.00044036697247706424,copilot,2026-04-30T09:28:36+08:00,
gunthercox/ChatterBot,2014Q3,940f30813a12ba161bbe0893ae46eff722eaae9e,97,0,0.0,,,
asweigart/pyautogui,2014Q3,93c3e2d8eb7ee3e44b605227b3004ae3d20fd493,111,0,0.0,,,
matrix-org/synapse,2014Q3,559a26b025133bd36016ab8314f8d92b52d20e25,2152,0,0.0,,,
darknessomi/musicbox,2014Q3,c2aef9247ed9e89ad5b19b4fec1b125bf22e673a,73,0,0.0,,,
scikit-learn-contrib/imbalanced-learn,2014Q3,ecd89e2d7c6bc600faf4c089dfe8dba1834acc24,9,0,0.0,,,
tyiannak/pyAudioAnalysis,2014Q3,89555b8c3b943340407abf3e26ea2c3b3158e95b,97,0,0.0,,,
prompt-toolkit/ptpython,2014Q3,af530e484bdc124eab80d943fc5ee5a967fa5a4b,28,0,0.0,,,
beeware/toga,2014Q3,5b76afdea0f450d4488f28ea53f08326740bd81d,129,0,0.0,,,
mikf/gallery-dl,2014Q4,6a9b3a24afc5d603646a2fd06b4adcf89cb366b4,35,0,0.0,,,
dbcli/pgcli,2014Q4,659ea22f379b69e1da34f89aae40ef1885dc020c,535,0,0.0,,,
boto/boto3,2014Q4,3bf22f2b57b60ec7d03e50e3670c5ea961cb3bb6,233,0,0.0,,,
YelpArchive/elastalert,2014Q4,5e3908134d1bc5f44e4f5608b684af9e927b2a59,371,0,0.0,,,
HIPS/autograd,2014Q4,7a13a9c550ce9e435be9ac4a455e9651d425b95e,365,0,0.0,,,
pytransitions/transitions,2014Q4,bc7d1fa15d027e2509fbc4b4b794bb0371e5297a,74,0,0.0,,,
xmendez/wfuzz,2014Q4,6b9fca5110274255345bfb48e5704ab587e6f88c,127,0,0.0,,,
r0x0r/pywebview,2014Q4,c04f316f30a76e343c81ebf9149fb07c3096ea5f,13,0,0.0,,,
pyinfra-dev/pyinfra,2014Q4,f7fc51956e839645713799a325acbfbeddb23d94,109,0,0.0,,,
USArmyResearchLab/Dshell,2014Q4,bae278ce3c3728fd9c2cda0639065d9a7891fbbb,38,0,0.0,,,
3b1b/manim,2015Q1,dfe29de51893b953786df22e708ed33bdc481d48,36,0,0.0,,,
keras-team/keras,2015Q1,c18a9cd405f29040ebb259aef74963c4b2134494,954,0,0.0,,,
vnpy/vnpy,2015Q1,d4fb389a277a1bf7e457ee1e8d9329d04dbe7515,27,0,0.0,,,
mementum/backtrader,2015Q1,6bd9dbfcdaa8a914e032cb802b455b9a0d3a967b,551,0,0.0,,,
magic-wormhole/magic-wormhole,2015Q1,bc54a0bbcacd6553778eec68efdef8364b5cc54a,134,0,0.0,,,
waditu/tushare,2015Q1,8074dd1322738f3374356cbe94259d4cbbbe17d0,171,0,0.0,,,
google/yapf,2015Q1,5610f1521928b5853f67ad390c9cccbfb3779b23,331,0,0.0,,,
dask/dask,2015Q1,ea8c90a3df10bb03b643e9cb69ec1f600e5e8d16,1556,0,0.0,,,
pwndbg/pwndbg,2015Q1,7c0ede41a9d5dcc4590adc7c7342e8c417c1e657,178,0,0.0,,,
xonsh/xonsh,2015Q1,2766f7c7090364f6da71eb9ff139b25fc9d40efb,1041,0,0.0,,,
nvbn/thefuck,2015Q2,11c133523ad5595eeebf8ff978a25457c44c3519,790,0,0.0,,,
plotly/dash,2015Q2,81d6e842e96b7940b3c56101ca021c68b50ae6af,36,0,0.0,,,
dbcli/mycli,2015Q2,97740c5a4f10476ed99635e59942a613163eb996,335,0,0.0,,,
eternnoir/pyTelegramBotAPI,2015Q2,3a08111f107b0c28ea82b8b19aff7dc608964a32,312,0,0.0,,,
derv82/wifite2,2015Q2,95b7296444f56b704b5d4f2433307300e4ccc50f,45,0,0.0,,,
bndr/pipreqs,2015Q2,717084391321c1b489bc10709c9780cbb39dc6c3,106,0,0.0,,,
ibis-project/ibis,2015Q2,6ab8b4293308bbda73d0f01583d8a20ab28bba67,112,0,0.0,,,
django/channels,2015Q2,17e42a85fb24a555ab409b865b2c676fadc9f98c,128,0,0.0,,,
chainer/chainer,2015Q2,3a7bc835aca856cf08b23ff39ec38c70dbe735e2,2028,0,0.0,,,
apache/superset,2015Q3,3a3e7c8964bb173fd106b64ba2364d87eba0ef3a,432,0,0.0,,,
python-telegram-bot/python-telegram-bot,2015Q3,3779d454f365d1d2cbf8b55cd146d8d847eb04ae,522,0,0.0,,,
HumanSignal/labelImg,2015Q3,f6663a6327c9ccf819543345ebce8876cc3a29d6,31,0,0.0,,,
Rapptz/discord.py,2015Q3,3862b1abcffc26129d7be381b126d01db54a40a4,484,0,0.0,,,
jsvine/pdfplumber,2015Q3,d994f547309cd0f0b61d0ff51ed8d1cc46c1eafc,15,0,0.0,,,
vega/altair,2015Q3,6875713617240d44dfa7779d51843fef682c2759,221,0,0.0,,,
byt3bl33d3r/CrackMapExec,2015Q3,2427ccaa9bd56edbb05381ca31fb7a7951e607ce,188,0,0.0,,,
n1nj4sec/pupy,2015Q3,6f942ce3204ca41689ceb840e6388fb4c563a786,246,0,0.0,,,
patroni/patroni,2015Q3,30a7d50a562e0246087fe891effdcfa9926d6aad,466,0,0.0,,,
graphql-python/graphene,2015Q3,bf60aca951011554dab3393926a8b27e5a835f7c,523,0,0.0,,,
donnemartin/awesome-aws,2015Q4,f5cf8ce7c327045064b0738bb1796ad0de10a048,146,0,0.0,,,
aboul3la/Sublist3r,2015Q4,c10a20c706a774d6ec328f7bd5f027d174cc8706,26,0,0.0,,,
shidenggui/easytrader,2015Q4,4b35d1c254e4b207789cd7550ab0487829767718,193,0,0.0,,,
drivendataorg/cookiecutter-data-science,2015Q4,34867e1bff534ff813cb1716c36bdb157c3fbdd7,48,0,0.0,,,
conan-io/conan,2015Q4,8f5d2a898ba37049baf8de161e615973756a2606,375,0,0.0,,,
tensorpack/tensorpack,2015Q4,9908baa28e23ae9c1feaadf04bb984976f6926b9,377,0,0.0,,,
anishathalye/neural-style,2015Q4,85ac3d08608c065f5f7f161774a8ff17e4bfcc30,34,0,0.0,,,
shidenggui/easyquotation,2015Q4,d575ce29c24d5dd0fe68d61cbfd3b4b911697c5c,57,0,0.0,,,
dschep/ntfy,2015Q4,08f2f1ec34cc67da655c9b40e62fe9a90feaff09,346,0,0.0,,,
constverum/ProxyBroker,2015Q4,9eecf33a05efcf5c8dc755614fff9ce163c32cd0,83,0,0.0,,,
littlecodersh/ItChat,2016Q1,caf1ae5ef8695f617960c1a05d52e547b8b73605,60,0,0.0,,,
netbox-community/netbox,2016Q1,58e3d5ae09766b943ca9a4e3cb01927238acc212,674,0,0.0,,,
Data-Centric-AI-Community/fg-data-profiling,2016Q1,79a015af04651c102e94fe600218c4b91c242a4f,62,0,0.0,,,
threat9/routersploit,2016Q1,92d21418084b38c7e20b94248803bfeafcb9b093,402,0,0.0,,,
Miserlou/Zappa,2016Q1,c37749e3707388c3eeedf8e0e26a817f9e62e6b7,507,0,0.0,,,
tflearn/tflearn,2016Q1,4ba8c8d78bf1bbdfc595bf547bad30580cb4c20b,325,0,0.0,,,
Mailu/Mailu,2016Q1,52070937f9c699f0f855032e1139390d119fbedd,159,0,0.0,,,
p-e-w/maybe,2016Q1,375261bdbf7a90e69af9f45868ebfe240811e144,75,0,0.0,,,
openai/gym,2016Q2,d83e8f8702755766c1c15a35297b40d25051d55e,511,0,0.0,,,
magenta/magenta,2016Q2,3afc2dcc292258b24fccd46641749b3eb6bb6dc3,249,0,0.0,,,
sanic-org/sanic,2016Q2,93f50b8ef7ed8fee206d2c440b096c09f1dd0af4,272,0,0.0,,,
jopohl/urh,2016Q2,52690140a2c0820da4e70fd33fcd1cf1184bf848,569,0,0.0,,,
aws/chalice,2016Q2,9bce47b4d226292bfe97a2ecaef4d20f7f6428e7,273,0,0.0,,,
httpie/http-prompt,2016Q2,4176cdcef76da9394b9d7cbbbb9d0b726a2f50a8,177,0,0.0,,,
donnemartin/gitsome,2016Q2,c55efae10e92048dfe0542809182e841ae450701,599,0,0.0,,,
tensorlayer/TensorLayer,2016Q2,9f98d6c03fbb052ecd882e34ff5ff99e56386329,602,0,0.0,,,
python-pendulum/pendulum,2016Q2,b44a5ac635a81a43b688049825440ca472c8f08c,321,0,0.0,,,
MycroftAI/mycroft-core,2016Q2,92d85013753eb9c83a8885fb455c68cbd1b4a203,501,0,0.0,,,
TheAlgorithms/Python,2016Q3,d68666ddbac396f19a17ed96548a09205fc2c816,168,0,0.0,,,
InstaPy/InstaPy,2016Q3,a86baa1e8ebec5eb0c196ec71ba4cd46bc658dd2,82,0,0.0,,,
LonamiWebs/Telethon,2016Q3,8cde95ff958abd7026470051ac36c9de915557f2,87,0,0.0,,,
x-hw/amazing-qr,2016Q3,0d50b3e2e38e65daac023d93209ed51e85154fc9,76,0,0.0,,,
MagicStack/asyncpg,2016Q3,330dbcaae70947efc010d2a84618bb5201366eb3,336,0,0.0,,,
ricequant/rqalpha,2016Q3,1eada4e2a9ffa3097296ca102dde3e845cde2dbf,213,0,0.0,,,
thtrieu/darkflow,2016Q3,55ea72f2f8a6685064177ceef6711a629350b006,218,0,0.0,,,
localstack/localstack,2016Q4,c8b33cb8f6ed31479ea5bd7fcafddda7c55674f6,93,0,0.0,,,
commaai/openpilot,2016Q4,beae7b60091660447a13e1efb527d60c9db46232,33,0,0.0,,,
kovidgoyal/kitty,2016Q4,f5d957e8ffe67bda8307fe3ec7fd34ef5ced9710,877,0,0.0,,,
keon/algorithms,2016Q4,5730582f9434c645ca369dafbe828689d95640ff,165,0,0.0,,,
jhao104/proxy_pool,2016Q4,878343fc9b466377fadfab8bddad683c1b223c22,90,0,0.0,,,
RasaHQ/rasa,2016Q4,a3aebb54cd7508f3382e3a24d3148ad5079cdfc9,860,0,0.0,,,
pytorch/vision,2016Q4,cbb05c5986f75f04750dbe50ad6092ef9c4118d0,151,0,0.0,,,
apache/tvm,2016Q4,ea9c1c597321b8e0601b44199f1c76c84af5998b,154,0,0.0,,,
rushter/MLAlgorithms,2016Q4,2b798428d847adead4d54f9957d99e1651606cf4,86,0,0.0,,,
saulpw/visidata,2016Q4,5bd3b1384c83a2316b2414bca0ddc6d7d5f998ae,205,0,0.0,,,
ageitgey/face_recognition,2017Q1,f37e636e22306d4efcc35fb1ef33d47183cfc5e7,82,0,0.0,,,
eriklindernoren/ML-From-Scratch,2017Q1,7a81dbae52aa52ea45baf7d164f4df8f559c0ca8,230,0,0.0,,,
google/python-fire,2017Q1,6c3331fb3e6197ac84320d7ddcf3c536e3b31c11,43,0,0.0,,,
pypa/pipenv,2017Q1,06acad1a754d911991ce7c559e798ebb4a155b85,996,0,0.0,,,
