vintage_quarter,n_packages,n_with_any_signal,adoption_rate,n_with_commit_evidence,n_with_marker_file,mean_ai_commit_fraction_all,mean_ai_commit_fraction_among_positive,median_total_commits
2014Q1,30,0,0.0,0,0,0.0,,67.0
2014Q2,30,0,0.0,0,0,0.0,,126.5
2014Q3,30,1,0.03333333333333333,1,0,1.4678899082566666e-05,0.000440366972477,114.5
2014Q4,30,0,0.0,0,0,0.0,,120.0
2015Q1,30,0,0.0,0,0,0.0,,122.0
2015Q2,30,0,0.0,0,0,0.0,,121.0
2015Q3,30,0,0.0,0,0,0.0,,177.0
2015Q4,30,0,0.0,0,0,0.0,,184.5
2016Q1,30,0,0.0,0,0,0.0,,161.5
2016Q2,30,0,0.0,0,0,0.0,,164.5
2016Q3,30,0,0.0,0,0,0.0,,100.0
2016Q4,30,0,0.0,0,0,0.0,,100.0
2017Q1,30,0,0.0,0,0,0.0,,239.0
2017Q2,30,0,0.0,0,0,0.0,,225.5
2017Q3,30,1,0.03333333333333333,1,1,0.00016736325969349665,0.0050208977908049,149.5
2017Q4,30,0,0.0,0,0,0.0,,122.0
2018Q1,30,0,0.0,0,0,0.0,,129.5
2018Q2,30,1,0.03333333333333333,1,0,0.00018832391713747334,0.0056497175141242,133.0
2018Q3,30,0,0.0,0,0,0.0,,130.5
2018Q4,30,0,0.0,0,0,0.0,,150.0
2019Q1,30,0,0.0,0,0,0.0,,83.5
2019Q2,30,0,0.0,0,0,0.0,,147.0
2019Q3,30,0,0.0,0,0,0.0,,207.5
2019Q4,30,0,0.0,0,0,0.0,,208.5
2020Q1,30,1,0.03333333333333333,1,0,0.00011757789535567,0.0035273368606701,224.5
2020Q2,30,0,0.0,0,0,0.0,,134.0
2020Q3,30,0,0.0,0,0,0.0,,184.5
2020Q4,30,0,0.0,0,0,0.0,,158.5
2021Q1,29,0,0.0,0,0,0.0,,154.0
2021Q2,29,0,0.0,0,0,0.0,,120.0
2021Q3,30,0,0.0,0,0,0.0,,111.5
2021Q4,30,0,0.0,0,0,0.0,,157.0
2022Q1,30,1,0.03333333333333333,1,0,2.6333113890716665e-05,0.0007899934167215,186.5
2022Q2,30,0,0.0,0,0,0.0,,173.0
2022Q3,30,1,0.03333333333333333,1,0,0.00264026402640264,0.0792079207920792,227.0
2022Q4,30,1,0.03333333333333333,1,0,9.914733293673333e-06,0.0002974419988102,380.5
2023Q1,30,3,0.1,3,1,0.00100484037580528,0.0100484037580528,236.0
2023Q2,30,0,0.0,0,0,0.0,,462.5
2023Q3,30,0,0.0,0,0,0.0,,208.5
2023Q4,30,0,0.0,0,0,0.0,,190.5
2024Q1,30,0,0.0,0,0,0.0,,201.5
2024Q2,30,1,0.03333333333333333,1,0,0.00032520325203252,0.0097560975609756,203.0
2024Q3,30,4,0.13333333333333333,3,2,0.0017284752220035034,0.012963564165026276,246.0
2024Q4,30,6,0.2,5,2,0.0005553385419208099,0.00277669270960405,279.0
2025Q1,30,8,0.26666666666666666,7,4,0.0031660328197702504,0.011872623074138437,220.5
2025Q2,30,14,0.4666666666666667,13,7,0.04135638067915743,0.08862081574105163,226.0
2025Q3,30,18,0.6,16,9,0.03129874941314075,0.0521645823552346,142.0
2025Q4,30,22,0.7333333333333333,20,11,0.0694642023013717,0.09472391222914323,237.5
2026Q1,30,25,0.8333333333333334,24,15,0.12857687130640463,0.15429224556768553,657.0
2026Q2,30,22,0.7333333333333333,20,12,0.13943385274010206,0.190137071918321,191.0
2026Q3,30,19,0.6333333333333333,17,11,0.14760438795171266,0.23305955992375682,69.5
