year,n_packages,n_with_any_signal,adoption_rate,n_with_commit_evidence,n_with_marker_file,mean_ai_commit_fraction_all,mean_ai_commit_fraction_among_positive,median_total_commits
2014,120,1,0.008333333333333333,1,0,3.6697247706416665e-06,0.000440366972477,112.0
2015,120,0,0.0,0,0,0.0,,147.0
2016,120,0,0.0,0,0,0.0,,124.0
2017,120,1,0.008333333333333333,1,1,4.184081492337416e-05,0.0050208977908049,185.0
2018,120,1,0.008333333333333333,1,0,4.7080979284368335e-05,0.0056497175141242,137.0
2019,120,0,0.0,0,0,0.0,,150.5
2020,120,1,0.008333333333333333,1,0,2.93944738389175e-05,0.0035273368606701,178.5
2021,118,0,0.0,0,0,0.0,,126.5
2022,120,3,0.025,3,0,0.0006691279683967574,0.026765118735870296,218.0
2023,120,3,0.025,3,1,0.00025121009395132,0.0100484037580528,274.0
2024,120,11,0.09166666666666666,9,4,0.0006522542539892084,0.0071155009526095445,253.0
2025,120,62,0.5166666666666667,56,31,0.03632134130336004,0.0702993702645678,221.5
2026,90,66,0.7333333333333333,61,38,0.1385383706660731,0.18891595999919059,241.5
