year,n_packages,copilot,claude,devin,chatgpt_openai_codex,gemini,cursor
2014,120,1.0,0.0,0.0,0.0,0.0,0.0
2015,120,0.0,0.0,0.0,0.0,0.0,0.0
2016,120,0.0,0.0,0.0,0.0,0.0,0.0
2017,120,1.0,1.0,0.0,0.0,0.0,0.0
2018,120,0.0,0.0,1.0,0.0,0.0,0.0
2019,120,0.0,0.0,0.0,0.0,0.0,0.0
2020,120,0.0,0.0,1.0,0.0,0.0,0.0
2021,118,0.0,0.0,0.0,0.0,0.0,0.0
2022,120,1.0,0.0,0.0,2.0,0.0,0.0
2023,120,1.0,1.0,0.0,2.0,0.0,0.0
2024,120,8.0,1.0,1.0,0.0,0.0,0.0
2025,120,24.0,45.0,1.0,4.0,7.0,7.0
2026,90,24.0,58.0,2.0,8.0,4.0,27.0
