repo_full_name,vintage_quarter,snapshot_sha,total_commits,ai_commits,ai_commit_fraction,tools_matched,first_ai_commit_date,marker_files_found,year,has_ai_commit,has_marker_file,has_any_signal
Imbad0202/academic-research-skills,2026Q1,127ff85e4bbfcdd10b95040537b6c6bd7ad17aeb,744,525,0.7056451612903226,claude,2026-02-26T14:28:48+08:00,.claude/CHANGELOG.md;.claude/CLAUDE.md;.github/copilot-instructions.md,2026,True,True,True
yusufkaraaslan/Skill_Seekers,2025Q4,006822f892a1bc01b7ea570136dcfdb35561a552,710,436,0.6140845070422535,claude,2025-10-19T01:43:02+03:00,.claude/mcp_config.example.json;AGENTS.md;CLAUDE.md,2025,True,True,True
Graphify-Labs/graphify,2026Q2,67f99bd0059dd1bac9e44382907ef9f10098b39f,1678,861,0.5131108462455304,chatgpt_openai_codex;claude;cursor;devin,2026-04-07T20:20:49+01:00,AGENTS.md,2026,True,True,True
ShawnPana/phone-harness,2026Q3,6e47f24cd1d6110e9c72dc2bfe559d2ec709e56d,87,42,0.4827586206896552,claude,2026-08-07T14:43:41-07:00,,2026,True,False,True
debpalash/VoiceStudio,2026Q2,18f56a7940f273f6a188ca5f1b74a1d2618878bd,2133,901,0.4224097515236755,claude;copilot;cursor,2026-04-18T17:20:19+05:30,.claude/agents/owner-judge.md;.claude/skills/omnivoice/SKILL.md;.claude/skills/omnivoice/references/engines-comparison.md;.claude/skills/omnivoice/references/mcp-setup.md;.claude/skills/omnivoice/scripts/check-health.sh;.claude/skills/omnivoice/scripts/record-reference.sh;.claude/skills/omnivoice/scripts/start-backend.sh;.claude/skills/omnivoice/scripts/stop-backend.sh;AGENTS.md;CLAUDE.md,2026,True,True,True
alirezarezvani/claude-skills,2025Q4,f567c61def3fb86046d7242b4bf27fceb63ad8b4,681,266,0.3906020558002936,claude,2025-10-19T06:05:42+02:00,.claude/commands/README.md;.claude/commands/focused-fix.md;.claude/commands/git/clean.md;.claude/commands/git/cm.md;.claude/commands/git/cp.md;.claude/commands/git/pr.md;.claude/commands/plugin-audit.md;.claude/commands/review.md;.claude/commands/security-scan.md;.claude/commands/seo-auditor.md;.claude/commands/update-docs.md;CLAUDE.md;GEMINI.md,2025,True,True,True
SuperClaude-Org/SuperClaude_Framework,2025Q2,3294a0ad941f299e8c997bbe88a718694e173a8f,335,128,0.382089552238806,claude,2025-07-14T14:28:11+02:00,.claude/settings.json;.claude/skills/confidence-check/SKILL.md;.claude/skills/confidence-check/confidence.ts;AGENTS.md;CLAUDE.md,2025,True,True,True
browser-use/video-use,2026Q2,9575612f066aa517354790a645fd90f9f95a743b,21,8,0.3809523809523809,claude,2026-04-15T15:47:06-07:00,,2026,True,False,True
virgiliojr94/book-to-skill,2026Q2,a6cad12dee07a7700068e2aa51cba871ef3b5349,176,55,0.3125,claude;copilot;cursor,2026-04-30T22:09:33-04:00,AGENTS.md;CLAUDE.md,2026,True,True,True
microsoft/SkillOpt,2026Q2,79124b37e9a6371e13b753f8bcd7adb1e493ade1,531,160,0.3013182674199623,claude;copilot;cursor,2026-05-24T19:15:03Z,,2026,True,False,True
headroomlabs-ai/headroom,2026Q1,838c5234a877d4cf96f9e914cfd39d6d6addb211,1855,400,0.215633423180593,claude;copilot,2026-01-10T14:51:08-08:00,.github/copilot-instructions.md,2026,True,True,True
browser-use/browser-harness,2026Q2,afbcc381b963040c19627d788e40c7e7663171ee,635,88,0.1385826771653543,claude;copilot;devin,2026-04-16T17:51:31-07:00,AGENTS.md;CLAUDE.md,2026,True,True,True
Panniantong/Agent-Reach,2026Q1,93ae1d18c37b707dec053c7c4f9d91cd8ef8943d,372,46,0.1236559139784946,claude,2026-03-20T00:26:42+08:00,CLAUDE.md,2026,True,True,True
github/spec-kit,2025Q3,c78f8423f69f03d89e459d69dd8dda7167e2b418,535,53,0.0990654205607476,claude;copilot,2025-08-25T14:09:09-07:00,AGENTS.md,2025,True,True,True
HKUDS/DeepTutor,2025Q4,2af83c5dc56a20ec62575f31b8a3f612f0edb619,1005,96,0.0955223880597015,claude;copilot;cursor,2025-12-30T02:25:16+08:00,AGENTS.md,2025,True,True,True
