repo,quarter,pooled_n_commits,pooled_n_contributors,pooled_mean_added_comment_len,pooled_median_hunk_added,pooled_mean_hunk_added,pooled_median_added_code_lines_per_commit,pooled_mean_added_code_lines_per_commit,pooled_total_added_code_lines,pooled_total_added_comment_lines,pooled_total_added_blank_lines,pooled_total_raw_added_lines,pooled_total_raw_deleted_lines,pooled_total_raw_n_files,excltop_n_commits,excltop_n_contributors,excltop_mean_added_comment_len,excltop_median_hunk_added,excltop_mean_hunk_added,excltop_median_added_code_lines_per_commit,excltop_mean_added_code_lines_per_commit,excltop_total_added_code_lines,excltop_total_added_comment_lines,excltop_total_added_blank_lines,excltop_total_raw_added_lines,excltop_total_raw_deleted_lines,excltop_total_raw_n_files,top_contributor,top_contributor_share_overall
pandas,2014Q1,507,72,40.603857566765576,2.8333333333333335,4.675328070551117,4.0,17.674556213017752,8961,674,1544,31232,20799,1227,507,72,40.603857566765576,2.8333333333333335,4.675328070551117,4.0,17.674556213017752,8961,674,1544,31232,20799,1227,jbrockmendel,0.23335315101070156
pandas,2014Q2,389,64,41.551980198019805,2.480769230769231,4.006762464660283,3.0,17.48586118251928,6802,404,1115,25006,10996,1075,389,64,41.551980198019805,2.480769230769231,4.006762464660283,3.0,17.48586118251928,6802,404,1115,25006,10996,1075,jbrockmendel,0.23335315101070156
pandas,2014Q3,302,65,42.703271028037385,2.5,4.103239135440028,4.0,26.394039735099337,7971,428,1265,24837,8573,828,302,65,42.703271028037385,2.5,4.103239135440028,4.0,26.394039735099337,7971,428,1265,24837,8573,828,jbrockmendel,0.23335315101070156
pandas,2014Q4,249,72,42.91961414790997,2.5,4.136383095897451,3.0,15.78714859437751,3931,311,714,10718,3332,605,249,72,42.91961414790997,2.5,4.136383095897451,3.0,15.78714859437751,3931,311,714,10718,3332,605,jbrockmendel,0.23335315101070156
pandas,2015Q1,173,56,43.291512915129154,2.6666666666666665,7.658328460570122,5.0,25.641618497109828,4436,271,820,11186,4802,455,173,56,43.291512915129154,2.6666666666666665,7.658328460570122,5.0,25.641618497109828,4436,271,820,11186,4802,455,jbrockmendel,0.23335315101070156
pandas,2015Q2,259,70,38.625,2.4,4.9931280303530565,4.0,20.216216216216218,5236,224,792,19184,6178,717,259,70,38.625,2.4,4.9931280303530565,4.0,20.216216216216218,5236,224,792,19184,6178,717,jbrockmendel,0.23335315101070156
pandas,2015Q3,316,85,42.82939632545932,2.2857142857142856,4.776083100058643,4.0,20.300632911392405,6415,381,1144,33728,11941,1059,316,85,42.82939632545932,2.2857142857142856,4.776083100058643,4.0,20.300632911392405,6415,381,1144,33728,11941,1059,jbrockmendel,0.23335315101070156
pandas,2015Q4,201,67,39.66423357664234,2.0,3.753517979364517,4.0,30.09950248756219,6050,274,1015,15138,8087,515,201,67,39.66423357664234,2.0,3.753517979364517,4.0,30.09950248756219,6050,274,1015,15138,8087,515,jbrockmendel,0.23335315101070156
pandas,2016Q1,252,81,41.899604743083,2.291666666666667,13.294025748940502,5.0,66.42460317460318,16739,1265,2887,97585,79903,999,252,81,41.899604743083,2.291666666666667,13.294025748940502,5.0,66.42460317460318,16739,1265,2887,97585,79903,999,jbrockmendel,0.23335315101070156
pandas,2016Q2,256,69,39.45238095238095,3.0,5.185846501540852,4.0,37.06640625,9489,546,1834,50753,34467,1085,256,69,39.45238095238095,3.0,5.185846501540852,4.0,37.06640625,9489,546,1834,50753,34467,1085,jbrockmendel,0.23335315101070156
