dependency_name,fan_in
numpy,422
requests,364
torch,242
tqdm,230
pyyaml,203
pillow,200
pandas,174
scipy,163
pydantic,160
transformers,147
openai,138
matplotlib,133
click,126
six,124
uvicorn,114
fastapi,109
python-dotenv,109
rich,106
pytest,98
torchvision,97
httpx,96
scikit-learn,92
opencv-python,88
jinja2,86
psutil,85
tiktoken,80
einops,74
flask,69
python-dateutil,69
accelerate,68
aiohttp,64
typing-extensions,63
beautifulsoup4,62
urllib3,60
colorama,59
huggingface-hub,58
sqlalchemy,57
datasets,56
sentencepiece,52
protobuf,51
certifi,51
setuptools,51
boto3,50
gradio,49
packaging,49
tenacity,48
loguru,48
websockets,47
typer,45
cryptography,43
lxml,43
regex,42
prompt-toolkit,42
pytz,41
tabulate,41
idna,40
scikit-image,38
tensorflow,37
python-multipart,37
tokenizers,37
pydantic-settings,36
termcolor,36
wandb,36
langchain,36
tensorboard,35
nltk,35
pygments,35
attrs,35
torchaudio,35
chardet,35
networkx,35
jsonschema,33
future,33
timm,33
safetensors,33
mcp,32
cython,32
redis,31
ftfy,31
soundfile,30
omegaconf,29
ipython,29
fire,29
gitpython,28
librosa,28
h5py,27
aiofiles,27
diffusers,27
litellm,27
pyparsing,27
seaborn,27
toml,27
markupsafe,26
filelock,26
pymupdf,25
sentence-transformers,25
anthropic,25
pre-commit,25
absl-py,24
black,24
imageio,24
pyarrow,24
charset-normalizer,24
spacy,23
pypdf,23
pydub,23
gunicorn,23
peft,23
playwright,23
apscheduler,23
onnxruntime,22
joblib,22
wheel,22
openpyxl,22
psycopg2-binary,22
jieba,22
tomli,22
keras,21
bitsandbytes,21
anyio,21
appdirs,21
markdown,21
starlette,21
cachetools,21
botocore,21
mock,21
django,20
flake8,20
plotly,20
tornado,20
simplejson,20
ruamel-yaml,20
alembic,20
werkzeug,19
numba,19
argparse,18
pytorch-lightning,18
moviepy,18
pyasn1,18
cffi,18
pytest-cov,18
grpcio,18
bs4,18
pexpect,17
watchdog,17
dill,17
pycparser,17
gym,17
orjson,17
langchain-openai,17
pyjwt,17
docutils,17
nose,17
selenium,17
mypy,16
tensorboardx,16
websocket-client,16
streamlit,16
textual,16
ninja,15
pypinyin,15
sphinx,15
hydra-core,15
coverage,15
importlib-metadata,15
langchain-core,15
google-genai,15
av,15
json-repair,15
pysocks,15
isort,14
modelscope,14
google-api-python-client,14
decorator,14
pymongo,14
docopt,14
flash-attn,14
distro,14
pyopenssl,14
enum34,14
python-docx,13
h11,13
google-auth,13
faiss-cpu,13
onnx,13
langchain-community,13
nbformat,13
more-itertools,13
wrapt,13
sklearn,13
pycryptodome,13
triton,13
questionary,13
paramiko,13
elasticsearch,13
opentelemetry-api,13
cloudpickle,13
multidict,13
pyperclip,13
dnspython,12
google-generativeai,12
fastmcp,12
aiosqlite,12
psycopg2,12
defusedxml,12
flask-cors,12
async-timeout,12
httpcore,12
itsdangerous,12
deepspeed,12
pycocotools,12
ruff,12
typing,12
zipp,12
jupyter,12
ujson,12
tzdata,12
opentelemetry-sdk,12
pluggy,12
jax,12
wcwidth,12
pyqt5,12
platformdirs,12
pyzmq,12
langgraph,12
python-pptx,12
humanize,12
markdownify,11
pypdf2,11
fsspec,11
statsmodels,11
