dependency_name,fan_in,name,found,repository_url,downloads,stargazers_count,forks_count,subscribers_count,open_issues_count,total_committers,total_commits,archived
numpy,146,numpy,True,https://github.com/numpy/numpy,957983231.0,32629.0,12691.0,600.0,2341.0,1838.0,28226.0,False
requests,139,requests,True,https://github.com/psf/requests,1497444432.0,54279.0,10119.0,1316.0,235.0,742.0,4733.0,False
tqdm,86,tqdm,True,https://github.com/tqdm/tqdm,527964380.0,31300.0,1489.0,224.0,605.0,120.0,1706.0,False
torch,83,torch,True,https://github.com/pytorch/pytorch,84173539.0,102657.0,29031.0,1805.0,17439.0,5024.0,79813.0,False
pyyaml,72,pyyaml,True,https://github.com/yaml/pyyaml,1072244874.0,2941.0,601.0,51.0,363.0,42.0,324.0,False
pillow,72,pillow,True,https://github.com/python-pillow/Pillow,474328873.0,12226.0,2226.0,220.0,122.0,491.0,12692.0,False
pandas,62,pandas,True,https://github.com/pandas-dev/pandas,755370702.0,43640.0,17915.0,1109.0,3671.0,3550.0,31576.0,False
pydantic,61,pydantic,True,https://github.com/pydantic/pydantic,987171167.0,28734.0,2931.0,169.0,579.0,597.0,3261.0,False
openai,56,openai,True,https://github.com/openai/openai-python,367460454.0,31557.0,5173.0,410.0,660.0,115.0,719.0,False
six,51,six,True,https://github.com/benjaminp/six,1033177790.0,1028.0,276.0,26.0,113.0,67.0,494.0,False
scipy,48,scipy,True,https://github.com/scipy/scipy,367148848.0,14990.0,5909.0,345.0,1828.0,1667.0,27838.0,False
python-dotenv,44,python-dotenv,True,https://github.com/theskumar/python-dotenv,708545924.0,8868.0,571.0,40.0,111.0,102.0,362.0,False
matplotlib,42,matplotlib,True,https://github.com/matplotlib/matplotlib,188778365.0,23145.0,8468.0,581.0,1471.0,1730.0,35426.0,False
transformers,42,transformers,True,https://github.com/huggingface/transformers,148242844.0,164705.0,34419.0,1233.0,2392.0,2816.0,17009.0,False
uvicorn,41,uvicorn,True,https://github.com/Kludex/uvicorn,572802370.0,10939.0,1022.0,96.0,88.0,198.0,1214.0,False
click,40,click,True,https://github.com/pallets/click,1047549131.0,15104.0,1381.0,185.0,124.0,373.0,1575.0,False
httpx,39,httpx,True,https://github.com/encode/httpx,745468241.0,15459.0,1270.0,146.0,143.0,241.0,1444.0,False
pytest,39,pytest,True,https://github.com/pytest-dev/pytest,998007249.0,11329.0,2494.0,191.0,855.0,977.0,11655.0,False
tiktoken,37,tiktoken,True,https://github.com/openai/tiktoken,257274509.0,19120.0,1604.0,204.0,128.0,19.0,51.0,False
jinja2,37,jinja2,True,https://github.com/pallets/jinja,640083812.0,11766.0,1820.0,250.0,103.0,310.0,2120.0,False
