vintage_quarter,n_edges,n_unique_deps,unique_ratio,hhi,share_edges_to_global_top20,median_dep_stars,mean_dep_stars,median_dep_forks,median_dep_committers
2014Q1,47,39,0.8297872340425532,0.029425079221367126,0.19148936170212766,2941.0,9483.837209302326,355.0,112.5
2014Q2,31,27,0.8709677419354839,0.04682622268470343,0.2903225806451613,4351.0,14126.433333333332,1092.5,271.5
2014Q3,180,172,0.9555555555555556,0.006172839506172839,0.08333333333333333,1217.0,5447.662721893491,276.0,65.0
2014Q4,36,35,0.9722222222222222,0.029320987654320986,0.1388888888888889,2631.0,6028.090909090909,558.0,130.5
2015Q1,14,14,1.0,0.07142857142857142,0.2857142857142857,3252.0,10158.333333333334,623.5,151.5
2015Q2,46,37,0.8043478260869565,0.0330812854442344,0.2608695652173913,2853.0,12077.65909090909,526.5,107.0
2015Q3,53,48,0.9056603773584906,0.02385190459238163,0.16981132075471697,2803.5,8931.1,530.5,119.0
2015Q4,30,25,0.8333333333333334,0.04666666666666667,0.26666666666666666,2996.0,15281.846153846154,276.0,72.5
2016Q1,49,44,0.8979591836734694,0.026239067055393583,0.24489795918367346,2599.5,11625.195652173914,558.0,173.0
2016Q2,70,63,0.9,0.017551020408163257,0.18571428571428572,2206.0,7250.830769230769,303.0,67.0
2016Q3,16,15,0.9375,0.0703125,0.5625,11329.0,15559.466666666667,1381.0,432.0
2016Q4,56,46,0.8214285714285714,0.02614795918367347,0.26785714285714285,6709.0,17312.722222222223,858.5,166.0
2017Q1,171,136,0.7953216374269005,0.009951780034882526,0.1695906432748538,4109.5,7921.99375,839.0,373.0
2017Q2,85,70,0.8235294117647058,0.01730103806228374,0.23529411764705882,3990.5,13447.292682926829,616.5,131.0
2017Q3,46,39,0.8478260869565217,0.03213610586011342,0.30434782608695654,3706.0,16531.74358974359,571.0,138.0
2017Q4,70,48,0.6857142857142857,0.029387755102040815,0.32857142857142857,10842.0,19855.63768115942,1489.0,373.0
2018Q1,63,55,0.873015873015873,0.022927689594356246,0.2698412698412698,4979.0,18962.918032786885,1038.0,174.0
2018Q2,65,53,0.8153846153846154,0.024852071005917162,0.35384615384615387,9893.0,16860.15873015873,1381.0,229.5
2018Q3,23,17,0.7391304347826086,0.06994328922495274,0.5217391304347826,11602.0,24607.304347826088,3576.0,595.0
2018Q4,109,87,0.7981651376146789,0.015066071879471423,0.25688073394495414,3544.0,13679.050505050505,611.0,136.0
2019Q1,38,28,0.7368421052631579,0.04709141274238227,0.34210526315789475,15434.0,26738.28947368421,2016.0,483.5
2019Q2,59,54,0.9152542372881356,0.02039643780522838,0.15254237288135594,1039.0,10410.631578947368,233.0,53.0
2019Q3,140,115,0.8214285714285714,0.011632653061224492,0.24285714285714285,3054.0,15039.328467153284,601.0,124.5
2019Q4,70,68,0.9714285714285714,0.015102040816326535,0.12857142857142856,4782.5,12740.79411764706,891.5,136.0
2020Q1,87,66,0.7586206896551724,0.02127097370854803,0.3448275862068966,11329.0,23321.158536585364,1489.0,262.0
2020Q2,52,43,0.8269230769230769,0.02884615384615385,0.34615384615384615,7650.0,16200.541666666666,1379.5,162.0
2020Q3,84,62,0.7380952380952381,0.02295918367346938,0.35714285714285715,16162.0,28247.765432098764,2411.0,407.5
2020Q4,99,77,0.7777777777777778,0.017651260075502495,0.29292929292929293,5613.0,19353.462365591397,636.0,120.0
2021Q1,74,59,0.7972972972972973,0.021548575602629662,0.2702702702702703,5377.0,16381.338028169013,809.0,129.0
2021Q2,61,51,0.8360655737704918,0.021768341843590434,0.3114754098360656,4071.5,17235.9,737.5,123.0
2021Q3,61,35,0.5737704918032787,0.03843052942757323,0.29508196721311475,12119.0,17625.852459016394,1489.0,120.0
2021Q4,36,28,0.7777777777777778,0.04166666666666667,0.3888888888888889,11271.0,22501.8,1037.0,120.0
2022Q1,57,55,0.9649122807017544,0.01939058171745153,0.10526315789473684,2017.0,8495.59649122807,324.0,67.0
2022Q2,158,123,0.7784810126582279,0.01033488223041179,0.18354430379746836,5378.0,13928.812903225806,795.0,166.0
2022Q3,97,75,0.7731958762886598,0.0185992135189712,0.30927835051546393,9012.0,23218.74193548387,1038.0,120.0
2022Q4,89,72,0.8089887640449438,0.017295795985355383,0.34831460674157305,12138.0,26519.102272727272,1507.0,248.5
2023Q1,166,116,0.6987951807228916,0.012483669618231968,0.3132530120481928,12050.0,26703.337423312885,1489.0,194.0
2023Q2,202,154,0.7623762376237624,0.008577590432310558,0.22277227722772278,8459.0,20539.95918367347,972.0,115.0
2023Q3,209,156,0.7464114832535885,0.00840182230260296,0.22488038277511962,10565.5,21576.89,1245.5,131.0
2023Q4,255,219,0.8588235294117647,0.005367166474432911,0.13725490196078433,2623.5,13436.19918699187,414.5,71.0
2024Q1,194,164,0.845360824742268,0.007173982357317463,0.18041237113402062,8772.0,19584.939890710382,972.0,102.0
2024Q2,156,123,0.7884615384615384,0.010683760683760682,0.25,8868.0,19228.753424657534,1187.0,162.5
2024Q3,286,223,0.7797202797202797,0.005966061910117853,0.17832167832167833,3498.0,18655.414545454547,571.0,98.0
2024Q4,155,114,0.7354838709677419,0.011696149843912595,0.21935483870967742,12172.5,32415.802631578947,1428.0,183.5
2025Q1,186,139,0.7473118279569892,0.01005896635449185,0.25268817204301075,9893.0,21658.911602209944,1270.0,115.0
2025Q2,123,98,0.7967479674796748,0.012228171062198433,0.23577235772357724,6966.5,21448.541666666668,1012.0,133.5
2025Q3,135,99,0.7333333333333333,0.013333333333333334,0.2518518518518518,9066.0,23957.853846153845,1029.5,127.5
2025Q4,146,106,0.726027397260274,0.013604803903171326,0.2808219178082192,8868.0,16905.503649635037,806.0,102.0
2026Q1,236,149,0.6313559322033898,0.010198218902614194,0.25,5079.0,14987.17256637168,690.0,78.0
2026Q2,183,145,0.7923497267759563,0.009525515841022427,0.21311475409836064,6422.0,16930.34857142857,806.0,101.5
2026Q3,77,62,0.8051948051948052,0.019396188227357055,0.3246753246753247,9740.0,23007.236842105263,1012.0,165.0
