year,n_edges,n_unique_deps,unique_ratio,hhi,share_edges_to_global_top20,median_dep_stars,mean_dep_stars,median_dep_forks,median_dep_committers
2014,557,327,0.5870736086175943,0.006997605149412246,0.15798922800718132,2848.0,9641.065510597302,507.0,122.0
2015,404,230,0.5693069306930693,0.012020880305852369,0.24257425742574257,3101.0,12522.510928961749,571.0,137.0
2016,582,314,0.5395189003436426,0.011236286770349904,0.25945017182130586,3679.5,14727.516363636363,636.0,166.0
2017,702,357,0.5085470085470085,0.010093262230014369,0.25213675213675213,5154.0,15616.610687022901,875.0,216.0
2018,616,305,0.49512987012987014,0.012317633665036262,0.31493506493506496,6466.0,18208.77249575552,1037.0,207.0
2019,1125,601,0.5342222222222223,0.00493116049382716,0.19466666666666665,2631.0,12431.914913083257,355.0,102.0
2020,750,360,0.48,0.01159466666666667,0.324,7619.0,20037.276150627615,1037.0,164.5
2021,917,449,0.48964013086150493,0.0077858076392960315,0.27589967284623773,5377.0,17651.726659167605,673.0,121.0
2022,1259,528,0.4193804606830818,0.007303727695934783,0.2581413820492454,8410.0,20020.051070840196,1037.0,161.0
2023,1856,724,0.3900862068965517,0.0049954481272294895,0.22036637931034483,8160.5,19598.505549389567,920.0,120.0
2024,2818,1086,0.38537970191625265,0.0034481264868801943,0.177430801987225,5377.0,18485.265321375187,676.0,112.0
2025,2065,768,0.37191283292978206,0.005144428354507559,0.2314769975786925,8729.0,19427.410398788492,963.0,125.0
2026,1181,425,0.3598645215918713,0.008248725050384974,0.2743437764606266,8868.0,19246.31778169014,991.0,120.0
