year,n_edges,n_unique_deps,unique_ratio,hhi,share_edges_to_global_top20,median_dep_stars,mean_dep_stars,median_dep_forks,median_dep_committers
2014,293,234,0.7986348122866894,0.006418245990052302,0.12627986348122866,2093.5,7005.923357664234,355.0,102.0
2015,143,104,0.7272727272727273,0.014915154775294632,0.23076923076923078,2899.5,11342.424242424242,507.5,114.0
2016,191,142,0.743455497382199,0.012746361119486857,0.25654450261780104,2757.0,12079.677777777777,551.5,139.5
2017,372,228,0.6129032258064516,0.009726557983581918,0.23118279569892472,4250.0,12528.497142857143,887.0,222.0
2018,260,165,0.6346153846153846,0.013106508875739647,0.3076923076923077,5377.0,16825.69918699187,952.0,176.0
2019,306,220,0.7189542483660131,0.007988380537400143,0.20915032679738563,3544.0,14620.461538461539,596.0,124.5
2020,316,177,0.560126582278481,0.015342092613363247,0.3259493670886076,10890.5,20333.057046979866,1381.0,165.0
2021,232,131,0.5646551724137931,0.016461058263971463,0.30603448275862066,6579.0,17885.325991189427,1037.0,121.0
2022,381,243,0.6377952755905512,0.008066905022698936,0.2178477690288714,5526.0,15073.383378016086,883.0,138.0
2023,743,421,0.566621803499327,0.004997744765410317,0.18438761776581428,5377.5,15205.951117318436,690.0,105.0
2024,713,428,0.6002805049088359,0.005155703829305089,0.18373071528751753,5648.0,17592.033923303836,705.0,102.0
2025,531,285,0.536723163841808,0.008160703075957313,0.23728813559322035,7405.0,17812.62475442043,897.0,114.0
2026,456,258,0.5657894736842105,0.007906278855032317,0.2236842105263158,5379.0,14528.49885583524,666.0,97.5
