year,n_edges_available,rarefied_unique_at_n,rarefied_unique_std
2014,294,122.13,3.0804382805049024
2015,143,102.156,0.8097308194702731
2016,191,108.702,2.6730499434166957
2017,372,106.018,4.021153565831576
2018,260,99.734,3.8235119981503916
2019,307,113.244,3.6628491642435947
2020,322,94.48,4.133473115915961
2021,232,90.084,3.6056821823338785
2022,401,109.638,3.8712990067934565
2023,832,113.0,4.414974518612763
2024,791,115.514,4.0291195067905345
2025,590,104.942,4.528425333380247
2026,496,106.156,4.4478830919888175
