name,found,repository_url,downloads,stargazers_count,forks_count,subscribers_count,open_issues_count,total_committers,total_commits,archived
timermiddleware,True,,746.0,,,,,,,
mysomyautility,True,,17.0,,,,,,,
emote-utils,True,,53.0,,,,,,,
python-ftx,True,https://github.com/wanth1997/python-ftx,19.0,37.0,11.0,1.0,7.0,,,False
pointy,True,https://gitlab.com/brinkervii/pointy-python,22.0,0.0,0.0,,,,,False
mseep-apple-books-mcp,True,,20.0,0.0,0.0,1.0,0.0,,,False
xsql,True,,8.0,,,,,,,
kolhalashon,True,https://github.com/ZviCode/KolHalashonApi,46.0,12.0,3.0,2.0,0.0,,,False
k7p6free-fortnite-skins-generator-updated-2022-v-484,True,,0.0,,,,,,,
papa-yasi-202004-202005,True,https://github.com/apachecn/papa-yasi-202004-202005,,,,,,,,
vxdata,True,,,,,,,,,
lightpilot-ai,True,,,,,,,,,
bash-purepython,True,,,,,,,,,
psycho-pass-xinli-celiang-zhe-qianchuan-gaoyucai-20141128,True,https://github.com/apachecn/psycho-pass-xinli-celiang-zhe-qianchuan-gaoyucai-20141128,,,,,,,,
agentsec,True,https://github.com/jtaylortech/ai-cybersecurity,125.0,,,,,,,
sn-test-distributions,True,,8.0,,,,,,,
auto-upload,True,https://github.com/dongshuyan/Auto_Upload,305.0,52.0,7.0,3.0,0.0,,,False
django-querysets-single-query-fetch,True,https://github.com/iNishant/django-querysets-single-query-fetch,96.0,13.0,2.0,1.0,1.0,,,False
mal-package2,True,https://github.com/yourusername/my_package,15.0,,,,,,,
aoxiu-ziyou,True,https://github.com/apachecn/aoxiu-ziyou,17.0,,,,,,,
bedrock-agentcore,True,https://github.com/aws/bedrock-agentcore-sdk-python,7279605.0,757.0,147.0,6.0,120.0,,,False
twos,True,https://github.com/nieswand/twos,17.0,0.0,0.0,0.0,0.0,,,False
tilmedia,True,,453.0,,,,,,,
multi-session-sap-gui-library,True,,15.0,,,,,,,
chaincrafter,True,https://github.com/rudolfolah/chaincrafter,20.0,7.0,0.0,1.0,3.0,2.0,59.0,False
pygemchat,True,,93.0,,,,,,,
diagmotor-duantiaov,True,,0.0,,,,,,,
collectablez,True,https://github.com/mirukutea/collectablez,51.0,0.0,0.0,1.0,0.0,,,False
anum,True,https://github.com/GHM-ML/anum,13.0,0.0,0.0,1.0,0.0,,,False
prefixed_identity_field,True,,,,,,,,,
umi-tools-folitools,True,https://github.com/whatever60/UMI-tools,79.0,,,,,,,
yolohub,True,https://github.com/AyushExel/realtimecv,519.0,,,,,,,
winkers,True,https://github.com/n1cke1/winkers,16.0,,,,,,,
request-mapper,True,,18.0,,,,,,,
it-drf-utils,True,https://github.com/ITStudioOUC/Django-API-Utils,23.0,5.0,2.0,0.0,0.0,,,False
taipy-common,True,https://github.com/Avaiga/taipy,6506.0,19434.0,1998.0,82.0,224.0,54.0,4450.0,False
ble-message-bridge,True,https://github.com/MN-company/ble-message-bridge,236.0,,,,,,,
boldi-backup,True,,125.0,,,,,,,
pybrainlife,True,https://github.com/brainlife/pybrainlife,737.0,4.0,0.0,0.0,2.0,,,False
pyanime,True,https://github.com/pypa/sampleproject,24.0,5247.0,1738.0,105.0,22.0,51.0,133.0,False
azure-mgmt-network,True,https://github.com/Azure/azure-sdk-for-python,6806690.0,5591.0,3350.0,505.0,1130.0,747.0,17837.0,False
tensorflow-text,True,https://github.com/tensorflow/text,4464491.0,1293.0,378.0,38.0,233.0,122.0,811.0,False
typogrify,True,https://github.com/justinmayer/typogrify,26711.0,18.0,3.0,0.0,2.0,,,False
convertdate,True,https://github.com/fitnr/convertdate,3597343.0,53.0,29.0,6.0,14.0,15.0,188.0,False
qbittorrent-api,True,https://github.com/rmartin16/qbittorrent-api,278423.0,509.0,77.0,3.0,10.0,5.0,229.0,False
reasoning-from-scratch,True,https://github.com/rasbt/reasoning-from-scratch,1086.0,4456.0,656.0,60.0,2.0,,,False
cowsay-python,True,https://github.com/carderne/cowsay-python,31857.0,0.0,0.0,1.0,0.0,,,False
validb,True,https://github.com/unaguna/validb,22.0,0.0,0.0,1.0,10.0,,,False
impressum-helvetica,True,,52.0,,,,,,,
dingtalk-orgapp-oapi-sdk,True,,36.0,,,,,,,
docts,True,https://github.com/foyoux/docts,46.0,18.0,5.0,2.0,2.0,,,False
espydio,True,https://github.com/namanPuri/espydio,41.0,4.0,1.0,1.0,0.0,,,False
opal-azure-cli-redis,True,https://github.com/Azure/azure-cli,21.0,4611.0,3468.0,175.0,4014.0,1142.0,11877.0,False
smooth-stream,True,https://github.com/CT83/SmoothStream,18.0,202.0,68.0,4.0,7.0,2.0,27.0,False
pyqtribbon,True,https://github.com/haiiliin/pyqtribbon,445.0,87.0,15.0,3.0,17.0,3.0,454.0,False
lunchtime,True,https://github.com/robertopreste/lunchtime,19.0,0.0,0.0,2.0,2.0,,,False
odoo12-addons-oca-fleet,True,,14.0,,,,,,,
messidge,True,,40.0,,,,,,,
djmssql,True,https://github.com/nakagami/djmssql,31.0,0.0,0.0,1.0,0.0,,,False
dsnd-probability-jvil,True,,10.0,,,,,,,
trld,True,https://github.com/niklasl/trld,19.0,15.0,3.0,3.0,3.0,,,False
ffprobe3-esarjeant,True,,14.0,0.0,0.0,0.0,0.0,,,False
grbl-link,True,https://github.com/DariusMontez/grbl_link,42.0,1.0,0.0,1.0,0.0,,,False
bel-repository,True,https://github.com/pybel/bel-repository,234.0,1.0,0.0,1.0,5.0,,,False
wix-protos-ci-publisher-api-publisher-api,True,,22.0,,,,,,,
spliceai-toolkit,True,https://github.com/Kuanhao-Chao/spliceAI-toolkit,20.0,46.0,14.0,2.0,4.0,,,False
iflow-mcp_dmayboroda-minima,True,,48.0,,,,,,,
html-transfer-md,True,https://github.com/charlie3go/html_transfer_md,62.0,2.0,0.0,0.0,0.0,,,False
swarmauri_storage_file,True,,59.0,,,,,,,
s3explorer,True,https://github.com/MHaz42/s3explorer,3.0,0.0,0.0,1.0,0.0,,,False
mindtree,True,,15.0,,,,,,,
wix-protos-virtual-numbers-media-gateway-api,True,,40.0,,,,,,,
reasy,True,"https://github.com/dekofejld/reasy,",39.0,,,,,,,
pybookmd,True,,28.0,,,,,,,
alo,True,https://github.com/uchuhimo/alo,49.0,0.0,0.0,1.0,0.0,,,False
lywsd03mmc,True,https://github.com/uduncanu/lywsd03mmc,179.0,72.0,12.0,5.0,5.0,,,False
wifileds,True,https://github.com/joaquincasares/python-wifi-leds,35.0,27.0,20.0,9.0,4.0,,,False
katna,True,https://github.com/keplerlab/Katna,695.0,398.0,71.0,23.0,10.0,8.0,137.0,False
pygmaps,True,,,,,,,,,
xtable,True,https://github.com/walkerever/xtable,156.0,0.0,0.0,1.0,0.0,,,False
jdbm,True,https://github.com/imbolc/jdbm,18.0,1.0,0.0,1.0,0.0,,,False
setuptools_shim,True,,10.0,,,,,,,
vs.contentpopup,True,,18.0,,,,,,,
django-devtools,True,https://github.com/renkse/django-devtools,26.0,1.0,0.0,1.0,0.0,,,False
horae.sphinx.grok,True,,6.0,,,,,,,
cc-came,True,,35.0,,,,,,,
sixfab-gprsiot,True,https://github.com/sixfab/Sixfab_RPi_GPRSIoT_HAT,36.0,2.0,3.0,6.0,0.0,,,False
geometric-particle-swarm-optimisation,True,https://github.com/LegenderDePavilo/GPSO,102.0,0.0,0.0,1.0,0.0,,,False
py3-django-enriched-carton,True,https://github.com/knyazz/py3-django-enriched-carton,13.0,0.0,0.0,1.0,0.0,,,False
sipster,True,https://github.com/vodik/sipster,8.0,2.0,1.0,1.0,0.0,,,False
hdvw,True,https://github.com/kotko/bravado-decorators,12.0,,,,,,,
stagemodel,True,https://github.com/ihmeuw-msca/stagemodel,331.0,0.0,1.0,3.0,0.0,2.0,94.0,False
pelican-bibliography,True,https://github.com/micahjsmith/pelican-bibliography,18.0,4.0,0.0,1.0,0.0,,,False
nonebot-plugin-genshin-calendar,True,https://github.com/nicklly/nonebot_plugin_genshin_calendar,24.0,1.0,0.0,0.0,0.0,,,False
indexedtar,True,https://github.com/colon3ltocard/pyindexedtar,41.0,0.0,1.0,1.0,0.0,,,False
bidaf-keras,True,https://github.com/ParikhKadam/bidaf-keras,43.0,63.0,21.0,1.0,18.0,,,True
bingpy,True,https://github.com/mpkato/bingpy,12.0,7.0,1.0,1.0,2.0,,,False
big-o,True,https://github.com/pberkes/big_O,9550.0,343.0,53.0,10.0,7.0,11.0,108.0,False
xe2,True,https://gitlab.com/guichet-entreprises.fr/tools/xenon2,14.0,,,,,,,
kombu-fernet-serializers,True,https://github.com/heroku/kombu-fernet-serializers,4336.0,28.0,14.0,94.0,4.0,8.0,20.0,False
numlookupapi,True,https://github.com/everapihq/numlookupapi-python,514.0,1.0,0.0,2.0,0.0,,,False
soundevent,True,https://github.com/mbsantiago/soundevent,808.0,21.0,1.0,3.0,1.0,1.0,148.0,False
package-image-template-processing-2,True,https://github.com/lucimarNeves/package-template-image_dio,249.0,0.0,0.0,1.0,0.0,,,False
django-q-monitor,True,https://github.com/previa1998/django-q-monitor,26.0,,,,,,,
odoo-addon-website-sale-partner-restrict-payment-acquirer,True,https://github.com/OCA/e-commerce,32.0,199.0,571.0,68.0,55.0,68.0,184.0,False
flaxon-fyr,True,https://github.com/aldanedev-create/flaxon-fyr,,,,,,,,
fungmod,True,https://github.com/felixlaga/FungMod,,,,,,,,
ligase,True,,,,,,,,,
config-spine,True,https://gitlab.com/config-afficianados/config_spine_project,,,,,,,,
forecast-arena,True,https://github.com/Zurishadday/forecast-arena,,,,,,,,
rizzless-guitar-guide,True,https://github.com/captainrizzless/musical-practice-stuff,12.0,2.0,0.0,1.0,0.0,,,False
pyvideokit-cli,True,,14.0,,,,,,,
nlp-experiments,True,,189.0,,,,,,,
mseep-tecton-mcp,True,,22.0,,,,,,,
biwes,True,,29.0,,,,,,,
gpipe,True,https://github.com/east301/gpipe,71.0,0.0,0.0,1.0,7.0,,,False
jkg-evaluators,True,https://github.com/endremborza/jkg_evaluators,77.0,0.0,3.0,1.0,0.0,,,False
odoo12-addon-partner-deduplicate-filter,True,https://github.com/OCA/partner-contact,16.0,269.0,992.0,71.0,106.0,322.0,2204.0,False
basic-func,True,,31.0,,,,,,,
atplotlib,True,,,,,,,,,
dashai-test-image-classification-plugin-2,True,https://github.com/DashAISoftware/DashAI,,340.0,40.0,10.0,19.0,,,False
java-jiaoben-biancheng-jiaocheng-jicheng-groovy-he-js-jifan,True,https://github.com/apachecn/java-jiaoben-biancheng-jiaocheng-jicheng-groovy-he-js-jifan,,,,,,,,
u-remote-1,True,,9.0,,,,,,,
synap-langgraph-testing,True,,24.0,,,,,,,
additional,True,,77.0,,,,,,,
distributions-outlierd,True,,14.0,,,,,,,
pysme-astro,True,https://github.com/SpectroscopyMadeEasy/PySME,917.0,8.0,1.0,1.0,0.0,,,False
qvspy,True,https://github.com/SupertechLabs/cirq-superstaq,16.0,20.0,3.0,6.0,2.0,,,False
closedai,True,https://github.com/nateraw/closedai,37.0,152.0,8.0,8.0,5.0,,,False
ifsc-expand,True,https://github.com/vil-c/ifsc-expand,79.0,0.0,1.0,1.0,1.0,,,False
django-image,True,https://github.com/adamcharnock/django-image,57.0,0.0,0.0,1.0,0.0,,,False
fastgp,True,https://github.com/cfusting/fastgp,453.0,11.0,4.0,1.0,1.0,,,False
clair,True,https://bitbucket.org/osallou/clair,91.0,,,,,,,
stylelens-search-vector,True,,811.0,,,,,,,
aiowamp,True,https://github.com/gieseladev/aiowamp,71.0,0.0,0.0,2.0,8.0,,,False
control-center-ai,True,https://github.com/vltrn/control-center-ai,74.0,,,,,,,
code-analytics,True,,0.0,,,,,,,
invy,True,,,,,,,,,
cplearn,True,,40.0,,,,,,,
ssl-console-client,True,https://github.com/koltyj/SSL,190.0,,,,,,,
yt-experiments,True,https://github.com/yt-project/yt_experiments,695.0,0.0,2.0,5.0,3.0,,,False
smpl-logger,True,https://github.com/greengoblinalex/simple-logger,123.0,0.0,1.0,1.0,0.0,,,False
nvidb,True,https://github.com/FanBB2333/nvidb,158.0,4.0,0.0,1.0,0.0,,,False
financial-metrics-bertollo,True,,495.0,,,,,,,
apache-airflow-providers-great-expectations,True,,153.0,,,,,,,
gecosistema-core,True,https://github.com/valluzzi/gecosistema_core,447.0,0.0,0.0,2.0,0.0,,,False
ray-test,True,https://github.com/renderbus/rayvision_utils,78.0,0.0,0.0,1.0,1.0,,,False
home-assistant-streamdeck-yaml,True,https://github.com/basnijholt/home-assistant-streamdeck-yaml,3496.0,380.0,32.0,6.0,85.0,10.0,364.0,False
odoo8-addon-medical-medicament-attributes,True,https://github.com/oca/vertical-medical,12.0,294.0,286.0,93.0,4.0,3.0,10.0,False
odoo8-addon-medical-his,True,https://github.com/OCA/vertical-medical,278.0,294.0,286.0,93.0,4.0,3.0,10.0,False
testgit,True,https://github.com/storborg/funniest,,,,,,,,
sphinx-artisan-theme,True,,84.0,,,,,,,
utilsovs-pkg,True,https://github.com/synthaze/utilsovs,10.0,3.0,0.0,2.0,0.0,,,False
openapscontrib.predict,True,https://github.com/loudnate/openaps-predict,94.0,18.0,12.0,5.0,4.0,,,False
tiddlywebplugins.devstore,True,,115.0,3.0,1.0,2.0,0.0,,,False
levseq,True,https://github.com/fhalab/levseq,243.0,12.0,6.0,0.0,2.0,,,False
aiopyrus,True,https://github.com/TimmekHW/aiopyrus,330.0,0.0,0.0,0.0,0.0,,,False
mcp-mysql-tool,True,,167.0,,,,,,,
agentcicd,True,https://github.com/agentcicd/agentcicd,,0.0,0.0,0.0,0.0,,,False
logmera,True,,40.0,,,,,,,
toonstream,True,https://github.com/vivekpandian08/toonstream,29.0,1.0,0.0,1.0,0.0,,,False
tsensemble,True,https://github.com/Fabulotus/TSEnsemble,36.0,0.0,0.0,1.0,1.0,,,False
pyswissarmy,True,,12.0,,,,,,,
wufa-chengwei-zhujiao-de-women-shiyu-tuoxie-de-lianren-shenghuo-yaye-20220910,True,https://github.com/apachecn/wufa-chengwei-zhujiao-de-women-shiyu-tuoxie-de-lianren-shenghuo-yaye-20220910,,,,,,,,
meihua-yishu-rumen,True,https://github.com/apachecn/meihua-yishu-rumen,,,,,,,,
dotissue,True,https://github.com/lqez/dotissue,12.0,11.0,1.0,2.0,1.0,,,False
libnexmo,True,https://github.com/thibault/libnexmo,,1.0,3.0,2.0,1.0,,,False
webm,True,https://github.com/Kagami/webm.py,155.0,143.0,17.0,10.0,4.0,,,False
readable-log-formatter,True,https://github.com/ipmb/readable-log-formatter,30390.0,11.0,1.0,2.0,0.0,,,False
bombast,True,https://github.com/brianhou/bombast,49.0,7.0,3.0,1.0,1.0,,,False
odoo8-addon-sale-pricelist-triple-discount,True,https://github.com/OCA/sale-workflow,8.0,413.0,1222.0,86.0,295.0,374.0,3639.0,False
pycrypto-yb,True,,44.0,,,,,,,
pygtm,True,https://github.com/amaotone/pygtm,36.0,2.0,3.0,5.0,2.0,,,False
i18nparse,True,https://github.com/s-ball/i18nparse,172.0,11.0,6.0,0.0,0.0,4.0,18.0,False
juice-client-forecast,True,,12.0,,,,,,,
python-recentx,True,https://github.com/HMaker/python-recentx,12.0,,,,,,,
comma-deps-imgui,True,,,,,,,,,
scriptsmith,True,,7.0,,,,,,,
openroom,True,https://github.com/dhruvyad/openroom,103.0,,,,,,,
somm-mcp,True,https://github.com/lavallee/somm,433.0,0.0,0.0,0.0,3.0,,,False
pychessengine,True,https://github.com/vanshugalhotra/pychessengine,,1.0,0.0,2.0,0.0,,,False
pytest-hypothesis,True,,,,,,,,,
vuln-runner,True,https://github.com/cybersecsi/docker-vuln-runner,38.0,11.0,2.0,4.0,0.0,,,False
vvkdjkgjoaodpcls,True,,30.0,,,,,,,
axm-engine,True,,35.0,,,,,,,
pytorch-soo,True,,17.0,,,,,,,
telegram-error-alerter,True,,14.0,,,,,,,
airflow-provider-remsvc,True,https://github.com/semihc/RemSvc,62.0,,,,,,,
akhmadulin,True,,48.0,,,,,,,
isohexylz,True,https://github.com/naistrai/isohexylz,15.0,0.0,0.0,1.0,0.0,,,False
ebclient.py,True,https://github.com/EnigmaBridge/client.py,56.0,1.0,1.0,4.0,0.0,,,False
make-deb,True,,16.0,1620.0,185.0,40.0,39.0,,,False
bst.pygasus.core,True,https://github.com/bielbienne/bst.pygasus.core,16.0,0.0,0.0,5.0,0.0,,,False
tin,True,https://gitlab.com/explody/tin,78.0,0.0,0.0,,0.0,,,False
snpflip,True,https://github.com/endrebak/snp-flip,20.0,,,,,,,
pwdkek-python,True,,34.0,,,,,,,
songui,True,https://github.com/40476/songUI,42.0,0.0,0.0,0.0,0.0,,,False
bootcampdsc,True,,60.0,,,,,,,
lmitf,True,https://github.com/colehank/AI-interface,50.0,3.0,2.0,0.0,1.0,,,False
tracksdata,True,https://github.com/jookuma/tracksdata,18428.0,0.0,0.0,0.0,2.0,,,False
excel2xx,True,https://github.com/cupen/excel2xx,106.0,21.0,9.0,0.0,2.0,2.0,42.0,False
nsdpy,True,https://github.com/RaphaelHebert/nsdpy,98.0,4.0,2.0,1.0,2.0,3.0,130.0,False
django-inlines-actions,True,https://github.com/kvirt/django-inlines-actions,659.0,4.0,0.0,1.0,1.0,,,False
odoo12-addon-pos-reset-search,True,https://github.com/OCA/pos,74.0,355.0,695.0,81.0,109.0,120.0,1136.0,False
ont-seqdist-cuda114,True,https://github.com/davidcpage/ont-seqdist-cuda114,7.0,,,,,,,
hashfile,True,https://github.com/msztolcman/hashfile,112.0,2.0,1.0,1.0,2.0,,,False
fuselpk,True,https://bitbucket.org/fdupre/fuselpk-buildout,23.0,,,,,,,
django-auth-dingding,True,https://github.com/quanbisen/django-dingding-auth,2288.0,,,,,,,
pear-aur,True,https://github.com/philipdexter/pear,71.0,1.0,0.0,1.0,3.0,,,False
session3,True,https://github.com/rojalator/session3,38.0,1.0,0.0,1.0,0.0,,,False
malaysian-address-parser,True,,70.0,,,,,,,
q-migrator,True,,53.0,,,,,,,
aibp-runtime,True,,38.0,,,,,,,
insurance-elasticity,True,https://github.com/burning-cost/insurance-elasticity,43.0,0.0,0.0,0.0,0.0,,,False
my-exporter,True,https://github.com/RK0429/my-exporter,55.0,,,,,,,
kafka-replay,True,https://github.com/NAGARAJ08/kafka-replay,19.0,0.0,0.0,1.0,0.0,,,False
pb-testing,True,https://github.com/me3eh/POM_BiDiDi,178.0,3.0,1.0,1.0,0.0,,,False
fractal-task-tools,True,https://github.com/fractal-analytics-platform/fractal-task-tools,16052.0,1.0,0.0,3.0,9.0,,,False
webauto,True,,7.0,,,,,,,
mlclutools,True,,32.0,,,,,,,
mlprep-lschmiddey,True,https://github.com/lschmiddey/ml_preproc,7.0,,,,,,,
aisg-cli,True,https://github.com/kensoh/aisg-cli,28.0,1.0,0.0,5.0,0.0,,,False
persiansyllablecounter,True,https://github.com/salsina/Persian-syllable-counter,18.0,4.0,0.0,0.0,0.0,,,False
hmmcnv,True,https://github.com/kylessmith/hmmCNV,43.0,2.0,0.0,1.0,0.0,,,False
pymicrophone,True,,22.0,,,,,,,
rs-distances,True,https://github.com/NeuroPyPy/rs-distances,68.0,1.0,0.0,1.0,0.0,,,False
spectraltm,True,,112.0,,,,,,,
sdd-harness,True,https://github.com/Jackson1996vn/sdd-harness-v2,,,,,,,,
odoo14-addon-currency-monthly-rate,True,https://github.com/OCA/currency,46.0,82.0,204.0,34.0,23.0,47.0,142.0,False
punch-pb2,True,,,,,,,,,
make-it-easy,True,https://github.com/dorireuv/make-it-easy,30.0,2.0,3.0,1.0,1.0,,,False
rl4co,True,https://github.com/ai4co/rl4co,758.0,899.0,154.0,11.0,7.0,16.0,804.0,False
pdt-client,True,https://github.com/paylogic/pdt-client,44.0,0.0,3.0,15.0,0.0,,,False
sotong,True,https://bitbucket.org/wak/sotong,6.0,,,,,,,
pyflashcards,True,,7.0,,,,,,,
takamol-einvoice-test,True,https://bitbucket.org/upskillingdevs/takamol_einvoice,,,,,,,,
codrsync,True,https://github.com/ciroarendt/codrsync,74.0,,,,,,,
ccindividual,True,https://gitlab.com/dozenc/ccindividual,14.0,,,,,,,
eyconf,True,https://github.com/semohr/eyconf,438.0,2.0,0.0,1.0,2.0,,,False
llmtranslate,True,https://github.com/adam-pawelek/llmtranslate,1243.0,5.0,1.0,1.0,0.0,2.0,126.0,False
fathom-python,True,,83743.0,,,,,,,
datametry,True,https://github.com/datametry-official/datametry-sdk,16.0,,,,,,,
openconnect-ssom1,True,https://github.com/vlaci/openconnect-sso,11.0,377.0,188.0,11.0,111.0,31.0,206.0,False
datashear,True,https://github.com/HakumenNC/datashear,31.0,0.0,0.0,0.0,1.0,,,False
products.jyudynapage,True,,18.0,,,,,,,
iflow-mcp_claude-document-mcp,True,,50.0,,,,,,,
algobrew,True,,54.0,,,,,,,
farnsworth-ai,True,,36.0,,,,,,,
makeshot.ai,True,,38.0,,,,,,,
synq-infra-management,True,https://github.com/IAG-Loyalty/synq-infra-management,61.0,,,,,,,
rapy,True,,154.0,,,,,,,
tuber,True,https://github.com/python-packaging/tuber,30.0,2.0,2.0,1.0,0.0,,,False
dessia-common,True,https://github.com/Dessia-tech/dessia_common,807.0,2.0,2.0,1.0,32.0,,,False
python-x10,True,https://github.com/glibersat/python-x10,10.0,28.0,18.0,9.0,1.0,,,False
xwind,True,,12.0,,,,,,,
arcoai,True,https://github.com/Arcoson/arcoai,27.0,0.0,0.0,1.0,0.0,,,False
zabbix-pyapi,True,https://github.com/ewertonhm/Zabbix-PyAPI,0.0,0.0,0.0,1.0,0.0,,,False
winrt-windows.storage.pickers,True,https://github.com/pywinrt/pywinrt,405.0,196.0,14.0,4.0,11.0,,,False
shiyong-yocto-xiangmu-xuexi-linux-qianrushi-biancheng-jifan,True,https://github.com/apachecn/shiyong-yocto-xiangmu-xuexi-linux-qianrushi-biancheng-jifan,,,,,,,,
sa-dump-engine,True,https://github.com/mitszo/sa-dump-engine,35.0,0.0,0.0,1.0,0.0,,,False
openalexnetwork,True,,79.0,,,,,,,
eessi-cli,True,https://github.com/EESSI/eessi-cli,4.0,1.0,2.0,4.0,0.0,,,False
bigcode-fetcher,True,https://github.com/tuvistavie/bigcode-tools,73.0,42.0,16.0,2.0,6.0,,,False
reannota,True,https://github.com/Pazis/ReAnnota,39.0,0.0,0.0,0.0,0.0,,,False
vanguard-api,True,https://github.com/MaxxRK/vanguard-api,255.0,6.0,1.0,1.0,0.0,,,False
hpc_lstm_test,True,,13.0,,,,,,,
playmind,True,https://github.com/shaythegay13/playmind-b2b,,,,,,,,
test-package-1427,True,,28.0,,,,,,,
crl-client,True,,18.0,,,,,,,
talariasci,True,https://github.com/talariasci/talariasci-placeholder,97.0,,,,,,,
mercury-engine-data-structures,True,https://github.com/randovania/mercury-engine-data-structures,6820.0,3.0,10.0,2.0,23.0,16.0,699.0,False
libais,True,https://github.com/schwehr/libais,2498.0,260.0,104.0,24.0,115.0,27.0,614.0,False
join,True,https://github.com/StuartAxelOwen/join,279.0,11.0,1.0,2.0,0.0,,,False
booby,True,https://github.com/jaimegildesagredo/booby,342.0,175.0,16.0,13.0,10.0,,,False
chainlib-eth,True,,398.0,,,,,,,
rpg-xml,True,,21.0,,,,,,,
postgres-mcp-enhanced,True,https://github.com/neverinfamous/postgres-mcp,77.0,6.0,1.0,1.0,0.0,,,False
array-helpers,True,https://github.com/liam-edwards/python-array-helpers,32.0,0.0,0.0,1.0,0.0,,,False
matrice-instance-manager,True,,24.0,,,,,,,
gemcaplib,True,,27.0,,,,,,,
lde-online,True,,,,,,,,,
kazuha,True,,42.0,,,,,,,
opensearch-genai-observability-sdk-py,True,https://github.com/opensearch-project/genai-observability-sdk-py,3315.0,,,,,,,
fluxem-core,True,https://github.com/fluxem-sas/fluxem-core-py,83.0,,,,,,,
kuncache,True,,565.0,,,,,,,
katenv,True,,0.0,,,,,,,
mondotest1,True,,325.0,,,,,,,
wf_ws,True,,87.0,,,,,,,
vdk-properties-fs,True,https://github.com/vmware/versatile-data-kit,20.0,489.0,79.0,14.0,260.0,37.0,1151.0,True
phonetic-bangla,True,https://github.com/mohaimenulislamshawon/phonetic-bangla,51.0,3.0,0.0,0.0,0.0,,,False
django-privacyidea-auth,True,https://github.com/jeweber/django-privacyidea-auth,29.0,8.0,4.0,2.0,0.0,,,False
topsis-aj,True,https://github.com/Amrit054/TOPSIS-amrit-101803089,13.0,,,,,,,
modal-python,True,,3741.0,1913.0,291.0,40.0,83.0,,,False
lazyprophet,True,https://github.com/tblume1992/LazyProphet,262.0,86.0,11.0,1.0,0.0,,,False
ibmdb2,True,https://github.com/ipal0/ibmdb2,52.0,0.0,0.0,1.0,0.0,,,False
rtairegulatory,True,,10.0,,,,,,,
reloc,True,https://github.com/normelius/reloc,40.0,1.0,0.0,1.0,4.0,,,False
cli-wordle,True,https://github.com/er-knight/wordle,19.0,2.0,0.0,1.0,0.0,,,False
tfserve,True,https://github.com/iitzco/tfserve,88.0,36.0,10.0,0.0,2.0,,,False
lxtoolkit,True,,12.0,,,,,,,
