name,found,repository_url,downloads,stargazers_count,forks_count,subscribers_count,open_issues_count,total_committers,total_commits,archived
absl-py,True,https://github.com/abseil/abseil-py,51192428.0,2450.0,279.0,68.0,24.0,49.0,485.0,False
absolufy-imports,True,https://github.com/MarcoGorelli/absolufy-imports,329674.0,161.0,14.0,1.0,2.0,5.0,103.0,True
accelerate,True,https://github.com/huggingface/accelerate,21183759.0,9839.0,1460.0,94.0,114.0,194.0,1121.0,False
adal,True,https://github.com/AzureAD/azure-activedirectory-library-for-python,33451688.0,259.0,90.0,26.0,0.0,33.0,267.0,True
adapt-parser,True,https://github.com/MycroftAI/adapt,2682.0,721.0,161.0,73.0,12.0,21.0,154.0,False
adaptive-classifier,True,https://github.com/codelion/adaptive-classifier,27023.0,522.0,36.0,9.0,1.0,,,False
adb-shell,True,https://github.com/JeffLIrion/adb_shell,113709.0,607.0,70.0,12.0,31.0,12.0,186.0,False
addict,True,https://github.com/mewwts/addict,8053472.0,2544.0,132.0,51.0,26.0,,,False
aerich,True,https://github.com/tortoise/aerich,206322.0,1084.0,113.0,15.0,23.0,34.0,333.0,False
agent-client-protocol,True,https://github.com/agentclientprotocol/python-sdk,31441768.0,319.0,38.0,9.0,2.0,,,False
agent-protocol,True,https://github.com/AI-Engineers-Foundation/agent-protocol,1018.0,1462.0,185.0,17.0,49.0,19.0,304.0,False
agentops,True,https://github.com/AgentOps-AI/agentops,197624.0,5806.0,618.0,51.0,174.0,22.0,479.0,False
agentscope,True,https://github.com/agentscope-ai/agentscope,706996.0,29472.0,3395.0,155.0,339.0,,,False
aim,True,https://github.com/aimhubio/aim,91637.0,6248.0,409.0,42.0,470.0,81.0,1915.0,False
aioboto3,True,https://github.com/terricain/aioboto3,36026259.0,1002.0,96.0,10.0,24.0,36.0,355.0,False
aiodns,True,https://github.com/aio-libs/aiodns,17531598.0,592.0,76.0,12.0,15.0,26.0,105.0,False
aiofiles,True,https://github.com/Tinche/aiofiles,144320143.0,3255.0,167.0,35.0,57.0,41.0,241.0,False
aiogithubapi,True,https://github.com/ludeeus/aiogithubapi,261436.0,28.0,19.0,1.0,4.0,11.0,252.0,False
aiohappyeyeballs,True,https://github.com/aio-libs/aiohappyeyeballs,476245376.0,45.0,19.0,7.0,6.0,8.0,126.0,False
aiohttp,True,https://github.com/aio-libs/aiohttp,575568417.0,16531.0,2394.0,214.0,221.0,774.0,9882.0,False
aiohttp-cors,True,https://github.com/aio-libs/aiohttp-cors,20333672.0,220.0,61.0,10.0,35.0,17.0,306.0,False
aiomysql,True,https://github.com/aio-libs/aiomysql,13451734.0,1897.0,272.0,39.0,117.0,104.0,1110.0,False
aioredlock,True,https://github.com/joanvila/aioredlock,103395.0,317.0,52.0,8.0,13.0,18.0,162.0,False
aiortc,True,https://github.com/aiortc/aiortc,2079776.0,5084.0,886.0,95.0,32.0,28.0,1208.0,False
aiosignal,True,https://github.com/aio-libs/aiosignal,505857982.0,130.0,13.0,11.0,5.0,9.0,551.0,False
aiosqlite,True,https://github.com/omnilib/aiosqlite,72000759.0,1571.0,107.0,10.0,39.0,38.0,349.0,False
airspeed,True,https://github.com/purcell/airspeed,40127.0,91.0,39.0,7.0,12.0,21.0,201.0,False
aiter,True,https://github.com/richardkiss/aiter,571.0,9.0,9.0,0.0,1.0,2.0,36.0,False
akshare,True,https://github.com/akfamily/akshare,2748602.0,22246.0,3470.0,259.0,1.0,65.0,4071.0,False
alabaster,True,https://github.com/sphinx-doc/alabaster,23835617.0,778.0,188.0,33.0,72.0,38.0,384.0,False
albumentations,True,https://github.com/albumentations-team/albumentations,4220183.0,15311.0,1708.0,6.0,0.0,140.0,705.0,True
alembic,True,https://github.com/sqlalchemy/alembic,199105558.0,4359.0,370.0,24.0,129.0,194.0,1624.0,False
