newborn_repo,vintage_quarter,dependency_name
mkdocs/mkdocs,2014Q1,coverage
mkdocs/mkdocs,2014Q1,flake8
mkdocs/mkdocs,2014Q1,ghp-import
mkdocs/mkdocs,2014Q1,jinja2
mkdocs/mkdocs,2014Q1,markdown
mkdocs/mkdocs,2014Q1,pyyaml
mkdocs/mkdocs,2014Q1,watchdog
wagtail/wagtail,2014Q1,beautifulsoup4
wagtail/wagtail,2014Q1,django
wagtail/wagtail,2014Q1,django-compressor
wagtail/wagtail,2014Q1,django-libsass
wagtail/wagtail,2014Q1,django-modelcluster
wagtail/wagtail,2014Q1,django-taggit
wagtail/wagtail,2014Q1,django-treebeard
wagtail/wagtail,2014Q1,html5lib
wagtail/wagtail,2014Q1,pillow
wagtail/wagtail,2014Q1,requests
wagtail/wagtail,2014Q1,six
wagtail/wagtail,2014Q1,south
wagtail/wagtail,2014Q1,unidecode
binux/pyspider,2014Q1,chardet
binux/pyspider,2014Q1,cssselect
binux/pyspider,2014Q1,flask
binux/pyspider,2014Q1,jinja2
binux/pyspider,2014Q1,lxml
binux/pyspider,2014Q1,mysql-connector-python
binux/pyspider,2014Q1,pycurl
binux/pyspider,2014Q1,pyquery
binux/pyspider,2014Q1,requests
binux/pyspider,2014Q1,tornado
pre-commit/pre-commit,2014Q1,argparse
pre-commit/pre-commit,2014Q1,aspy-yaml
pre-commit/pre-commit,2014Q1,cached-property
pre-commit/pre-commit,2014Q1,jsonschema
pre-commit/pre-commit,2014Q1,nodeenv
pre-commit/pre-commit,2014Q1,ordereddict
pre-commit/pre-commit,2014Q1,plumbum
pre-commit/pre-commit,2014Q1,pyyaml
pre-commit/pre-commit,2014Q1,simplejson
pre-commit/pre-commit,2014Q1,virtualenv
pre-commit/pre-commit-hooks,2014Q1,argparse
pre-commit/pre-commit-hooks,2014Q1,autopep8
pre-commit/pre-commit-hooks,2014Q1,flake8
pre-commit/pre-commit-hooks,2014Q1,plumbum
pre-commit/pre-commit-hooks,2014Q1,pyflakes
pre-commit/pre-commit-hooks,2014Q1,pyyaml
pre-commit/pre-commit-hooks,2014Q1,simplejson
platformio/platformio-core,2014Q2,click
platformio/platformio-core,2014Q2,colorama
platformio/platformio-core,2014Q2,pyserial
platformio/platformio-core,2014Q2,requests
platformio/platformio-core,2014Q2,scons
jupyterhub/jupyterhub,2014Q2,jinja2
jupyterhub/jupyterhub,2014Q2,requests
jupyterhub/jupyterhub,2014Q2,simplepam
jupyterhub/jupyterhub,2014Q2,sqlalchemy
jupyterhub/jupyterhub,2014Q2,tornado
StackStorm/st2,2014Q2,apscheduler
StackStorm/st2,2014Q2,eventlet
StackStorm/st2,2014Q2,flask
StackStorm/st2,2014Q2,flask-jsonschema
StackStorm/st2,2014Q2,gitpython
StackStorm/st2,2014Q2,jinja2
StackStorm/st2,2014Q2,jsonschema
StackStorm/st2,2014Q2,kombu
StackStorm/st2,2014Q2,mongoengine
StackStorm/st2,2014Q2,oslo-config
StackStorm/st2,2014Q2,paramiko
StackStorm/st2,2014Q2,pbr
StackStorm/st2,2014Q2,pecan
StackStorm/st2,2014Q2,prettytable
StackStorm/st2,2014Q2,pymongo
StackStorm/st2,2014Q2,python-dateutil
StackStorm/st2,2014Q2,pyyaml
StackStorm/st2,2014Q2,requests
StackStorm/st2,2014Q2,setuptools
StackStorm/st2,2014Q2,six
spotipy-dev/spotipy,2014Q2,requests
explosion/spaCy,2014Q3,cymem
explosion/spaCy,2014Q3,cython
explosion/spaCy,2014Q3,fabric
explosion/spaCy,2014Q3,murmurhash
explosion/spaCy,2014Q3,preshed
explosion/spaCy,2014Q3,pytest
explosion/spaCy,2014Q3,sphinx
explosion/spaCy,2014Q3,sphinxcontrib-napoleon
jumpserver/jumpserver,2014Q3,adal
jumpserver/jumpserver,2014Q3,aiofiles
