newborn_repo,vintage_quarter,n_dependencies,sources
mkdocs/mkdocs,2014Q1,7,setup.py;requirements.txt
chriskiehl/Gooey,2014Q1,0,
wagtail/wagtail,2014Q1,13,setup.py
binux/pyspider,2014Q1,10,requirements.txt
pre-commit/pre-commit,2014Q1,10,setup.py
ytisf/theZoo,2014Q1,0,
MrS0m30n3/youtube-dl-gui,2014Q1,0,
joerick/pyinstrument,2014Q1,0,
anishathalye/dotbot,2014Q1,0,
pre-commit/pre-commit-hooks,2014Q1,7,setup.py
pallets/click,2014Q2,0,
platformio/platformio-core,2014Q2,5,requirements.txt
bayesian-optimization/BayesianOptimization,2014Q2,0,
jupyterhub/jupyterhub,2014Q2,5,requirements.txt
EnableSecurity/wafw00f,2014Q2,0,
StackStorm/st2,2014Q2,20,requirements.txt
spotipy-dev/spotipy,2014Q2,1,setup.py;requirements.txt
explosion/spaCy,2014Q3,8,requirements.txt
jumpserver/jumpserver,2014Q3,146,pyproject.toml
gunthercox/ChatterBot,2014Q3,5,requirements.txt
asweigart/pyautogui,2014Q3,4,setup.py
matrix-org/synapse,2014Q3,12,setup.py
darknessomi/musicbox,2014Q3,2,setup.py
scikit-learn-contrib/imbalanced-learn,2014Q3,0,
tyiannak/pyAudioAnalysis,2014Q3,0,
prompt-toolkit/ptpython,2014Q3,3,setup.py
beeware/toga,2014Q3,0,
mikf/gallery-dl,2014Q4,0,
dbcli/pgcli,2014Q4,6,setup.py
boto/boto3,2014Q4,5,setup.py;requirements.txt
YelpArchive/elastalert,2014Q4,18,setup.py;requirements.txt
HIPS/autograd,2014Q4,1,setup.py
pytransitions/transitions,2014Q4,0,
xmendez/wfuzz,2014Q4,0,
r0x0r/pywebview,2014Q4,0,
pyinfra-dev/pyinfra,2014Q4,6,setup.py
USArmyResearchLab/Dshell,2014Q4,0,
3b1b/manim,2015Q1,0,
keras-team/keras,2015Q1,2,setup.py
vnpy/vnpy,2015Q1,0,
mementum/backtrader,2015Q1,0,
magic-wormhole/magic-wormhole,2015Q1,4,setup.py
waditu/tushare,2015Q1,3,requirements.txt
google/yapf,2015Q1,0,
dask/dask,2015Q1,0,
pwndbg/pwndbg,2015Q1,3,requirements.txt
xonsh/xonsh,2015Q1,2,requirements.txt
nvbn/thefuck,2015Q2,13,setup.py;requirements.txt
plotly/dash,2015Q2,5,requirements.txt
dbcli/mycli,2015Q2,7,setup.py
eternnoir/pyTelegramBotAPI,2015Q2,5,setup.py;requirements.txt
derv82/wifite2,2015Q2,0,
bndr/pipreqs,2015Q2,3,setup.py;requirements.txt
ibis-project/ibis,2015Q2,7,requirements.txt
django/channels,2015Q2,1,setup.py
chainer/chainer,2015Q2,5,setup.py
apache/superset,2015Q3,29,setup.py;requirements.txt
python-telegram-bot/python-telegram-bot,2015Q3,1,requirements.txt
HumanSignal/labelImg,2015Q3,0,
Rapptz/discord.py,2015Q3,2,requirements.txt
jsvine/pdfplumber,2015Q3,4,setup.py
vega/altair,2015Q3,3,requirements.txt
byt3bl33d3r/CrackMapExec,2015Q3,7,requirements.txt
n1nj4sec/pupy,2015Q3,4,requirements.txt
patroni/patroni,2015Q3,0,
graphql-python/graphene,2015Q3,3,setup.py
donnemartin/awesome-aws,2015Q4,3,setup.py
aboul3la/Sublist3r,2015Q4,0,
shidenggui/easytrader,2015Q4,8,setup.py;requirements.txt
drivendataorg/cookiecutter-data-science,2015Q4,3,requirements.txt
conan-io/conan,2015Q4,0,
tensorpack/tensorpack,2015Q4,5,requirements.txt
anishathalye/neural-style,2015Q4,0,
shidenggui/easyquotation,2015Q4,4,setup.py;requirements.txt
dschep/ntfy,2015Q4,4,setup.py;requirements.txt
constverum/ProxyBroker,2015Q4,3,setup.py;requirements.txt
littlecodersh/ItChat,2016Q1,1,setup.py
netbox-community/netbox,2016Q1,18,requirements.txt
Data-Centric-AI-Community/fg-data-profiling,2016Q1,3,setup.py
threat9/routersploit,2016Q1,5,requirements.txt
Miserlou/Zappa,2016Q1,16,requirements.txt
tflearn/tflearn,2016Q1,3,setup.py
Mailu/Mailu,2016Q1,0,
p-e-w/maybe,2016Q1,3,setup.py
openai/gym,2016Q2,5,setup.py;requirements.txt
magenta/magenta,2016Q2,0,
sanic-org/sanic,2016Q2,5,setup.py;requirements.txt
jopohl/urh,2016Q2,1,setup.py
aws/chalice,2016Q2,4,setup.py
httpie/http-prompt,2016Q2,6,requirements.txt
donnemartin/gitsome,2016Q2,2,requirements.txt
tensorlayer/TensorLayer,2016Q2,4,setup.py
python-pendulum/pendulum,2016Q2,3,requirements.txt
MycroftAI/mycroft-core,2016Q2,40,requirements.txt
TheAlgorithms/Python,2016Q3,0,
InstaPy/InstaPy,2016Q3,0,
LonamiWebs/Telethon,2016Q3,1,setup.py
x-hw/amazing-qr,2016Q3,3,requirements.txt
MagicStack/asyncpg,2016Q3,0,
ricequant/rqalpha,2016Q3,12,requirements.txt
thtrieu/darkflow,2016Q3,0,
localstack/localstack,2016Q4,18,requirements.txt
commaai/openpilot,2016Q4,0,
kovidgoyal/kitty,2016Q4,0,
keon/algorithms,2016Q4,0,
jhao104/proxy_pool,2016Q4,7,requirements.txt
RasaHQ/rasa,2016Q4,19,setup.py;requirements.txt
pytorch/vision,2016Q4,4,setup.py
apache/tvm,2016Q4,0,
rushter/MLAlgorithms,2016Q4,8,requirements.txt
saulpw/visidata,2016Q4,0,
ageitgey/face_recognition,2017Q1,6,setup.py;requirements.txt
eriklindernoren/ML-From-Scratch,2017Q1,7,requirements.txt
google/python-fire,2017Q1,1,setup.py
pypa/pipenv,2017Q1,36,setup.py;requirements.txt
treeverse/dvc,2017Q1,90,setup.py;requirements.txt
youfou/wxpy,2017Q1,3,setup.py;requirements.txt
wandb/wandb,2017Q1,8,setup.py
fossasia/visdom,2017Q1,6,setup.py
yandex/gixy,2017Q1,6,setup.py;requirements.txt
Qiskit/qiskit,2017Q1,8,setup.py
freqtrade/freqtrade,2017Q2,19,setup.py;requirements.txt
pydantic/pydantic,2017Q2,2,requirements.txt
ArchiveBox/ArchiveBox,2017Q2,0,
tensorflow/tensor2tensor,2017Q2,6,setup.py
openai/baselines,2017Q2,10,setup.py
pyecharts/pyecharts,2017Q2,4,setup.py;requirements.txt
allenai/allennlp,2017Q2,19,setup.py;requirements.txt
kkroening/ffmpeg-python,2017Q2,25,setup.py;requirements.txt
d2l-ai/d2l-zh,2017Q3,0,
satwikkansal/wtfpython,2017Q3,0,
facebookresearch/fairseq,2017Q3,4,requirements.txt
onnx/onnx,2017Q3,0,
horovod/horovod,2017Q3,0,
fivetran/great_expectations,2017Q3,6,requirements.txt
OpenMined/PySyft,2017Q3,11,pyproject.toml
openatx/uiautomator2,2017Q3,6,requirements.txt
google-deepmind/pysc2,2017Q3,15,setup.py
lmcinnes/umap,2017Q3,4,requirements.txt
deepfakes/faceswap,2017Q4,12,requirements.txt
facebookresearch/Detectron,2017Q4,8,requirements.txt
matterport/Mask_RCNN,2017Q4,12,requirements.txt
pyg-team/pytorch_geometric,2017Q4,9,requirements.txt
caronc/apprise,2017Q4,8,requirements.txt
PaddlePaddle/PaddleSpeech,2017Q4,4,requirements.txt
simonw/datasette,2017Q4,7,setup.py
yzhao062/pyod,2017Q4,0,
espnet/espnet,2017Q4,0,
keras-team/autokeras,2017Q4,10,setup.py;requirements.txt
psf/black,2018Q1,4,pyproject.toml;setup.py
python-poetry/poetry,2018Q1,15,pyproject.toml
jaakkopasanen/AutoEq,2018Q1,10,requirements.txt
pyodide/pyodide,2018Q1,0,
optuna/optuna,2018Q1,0,
gruns/icecream,2018Q1,3,setup.py
AirtestProject/Airtest,2018Q1,7,requirements.txt
OlafenwaMoses/ImageAI,2018Q1,0,
Kaggle/kaggle-cli,2018Q1,6,setup.py
Drakkar-Software/OctoBot,2018Q1,18,requirements.txt
mlflow/mlflow,2018Q2,18,setup.py
cvat-ai/cvat,2018Q2,0,
dagster-io/dagster,2018Q2,0,
albumentations-team/albumentations,2018Q2,4,setup.py
flairNLP/flair,2018Q2,11,setup.py;requirements.txt
microsoft/nni,2018Q2,10,setup.py
dmlc/dgl,2018Q2,0,
Kludex/starlette,2018Q2,19,requirements.txt
cleanlab/cleanlab,2018Q2,3,setup.py
data-privacy-stack/presidio,2018Q2,0,
open-mmlab/mmdetection,2018Q3,6,setup.py
recommenders-team/recommenders,2018Q3,0,
newren/git-filter-repo,2018Q3,0,
kornia/kornia,2018Q3,1,setup.py
ultralytics/yolov3,2018Q3,4,requirements.txt
arogozhnikov/einops,2018Q3,0,
unit8co/darts,2018Q3,6,setup.py
sngyai/Sequoia-X,2018Q3,0,
lancopku/pkuseg-python,2018Q3,0,
open-mmlab/mmcv,2018Q3,6,setup.py;requirements.txt
huggingface/transformers,2018Q4,6,setup.py;requirements.txt
fastapi/fastapi,2018Q4,0,
sherlock-project/sherlock,2018Q4,14,requirements.txt
gradio-app/gradio,2018Q4,7,setup.py
jax-ml/jax,2018Q4,5,setup.py
d2l-ai/d2l-en,2018Q4,3,setup.py
jantic/DeOldify,2018Q4,60,setup.py;requirements.txt
pypa/pipx,2018Q4,0,
goldmansachs/gs-quant,2018Q4,0,
openai/spinningup,2018Q4,14,setup.py
huggingface/pytorch-image-models,2019Q1,2,setup.py;requirements.txt
Lightning-AI/pytorch-lightning,2019Q1,8,setup.py;requirements.txt
NVIDIA/Megatron-LM,2019Q1,5,requirements.txt
qubvel-org/segmentation_models.pytorch,2019Q1,3,requirements.txt
kernc/backtesting.py,2019Q1,4,setup.py
reactive-python/reactpy,2019Q1,0,
smacke/ffsubsync,2019Q1,9,requirements.txt
hacs/integration,2019Q1,5,requirements.txt
google-research/arxiv-latex-cleaner,2019Q1,2,requirements.txt
9001/copyparty,2019Q2,0,
hummingbot/hummingbot,2019Q2,0,
cool-RR/PySnooper,2019Q2,0,
ddbourgin/numpy-ml,2019Q2,0,
encode/httpx,2019Q2,7,setup.py
sissbruecker/linkding,2019Q2,22,requirements.txt
kedro-org/kedro,2019Q2,16,requirements.txt
hydra-ecosystem/hydra,2019Q2,2,setup.py
vwxyzjn/cleanrl,2019Q2,4,setup.py
seemoo-lab/opendrop,2019Q2,8,setup.py
facebookresearch/detectron2,2019Q3,11,setup.py
deezer/spleeter,2019Q3,8,requirements.txt
huggingface/sentence-transformers,2019Q3,7,setup.py;requirements.txt
NVIDIA-NeMo/Speech,2019Q3,0,
tgbot-collection/YYeTsBot,2019Q3,4,requirements.txt
Chia-Network/chia-blockchain,2019Q3,54,requirements.txt
autogluon/autogluon,2019Q3,17,setup.py
Netflix/metaflow,2019Q3,4,setup.py
PaddlePaddle/PaddleSeg,2019Q3,12,requirements.txt
evilsocket/pwnagotchi,2019Q3,23,requirements.txt
Textualize/rich,2019Q4,7,pyproject.toml;requirements.txt
deepset-ai/haystack,2019Q4,11,requirements.txt
fastapi/typer,2019Q4,0,
alexta69/metube,2019Q4,0,
PaddlePaddle/PaddleDetection,2019Q4,5,requirements.txt
plasma-umass/scalene,2019Q4,1,setup.py
facebookresearch/demucs,2019Q4,0,
facebookresearch/pytorch3d,2019Q4,2,setup.py
pycaret/pycaret,2019Q4,29,setup.py;requirements.txt
bridgecrewio/checkov,2019Q4,15,setup.py
deepspeedai/DeepSpeed,2020Q1,10,requirements.txt
mingrammer/diagrams,2020Q1,3,pyproject.toml
JaidedAI/EasyOCR,2020Q1,8,requirements.txt
serengil/deepface,2020Q1,9,requirements.txt
huggingface/datasets,2020Q1,10,setup.py
jina-ai/serve,2020Q1,6,setup.py
huggingface/trl,2020Q1,10,requirements.txt
benbusby/whoogle-search,2020Q1,20,requirements.txt
Netflix/dispatch,2020Q1,0,
PaddlePaddle/PaddleX,2020Q1,11,requirements.txt
PaddlePaddle/PaddleOCR,2020Q2,8,requirements.txt
Z4nzu/hackingtool,2020Q2,0,
ultralytics/yolov5,2020Q2,13,requirements.txt
soxoj/maigret,2020Q2,13,requirements.txt
megadose/holehe,2020Q2,6,setup.py
speechbrain/speechbrain,2020Q2,12,requirements.txt
open-mmlab/mmsegmentation,2020Q2,0,
labmlai/annotated_deep_learning_paper_implementations,2020Q3,9,requirements.txt
microsoft/qlib,2020Q3,25,setup.py
karpathy/minGPT,2020Q3,0,
danielgatis/rembg,2020Q3,13,requirements.txt
microsoft/playwright-python,2020Q3,0,
EleutherAI/lm-evaluation-harness,2020Q3,12,requirements.txt
neuml/txtai,2020Q3,16,setup.py
lucidrains/denoising-diffusion-pytorch,2020Q3,6,setup.py
alirezamika/autoscraper,2020Q3,3,setup.py
open-mmlab/mmpose,2020Q3,0,
tinygrad/tinygrad,2020Q4,7,setup.py;requirements.txt
openai/openai-python,2020Q4,2,setup.py
lucidrains/vit-pytorch,2020Q4,2,setup.py
mxrch/GHunt,2020Q4,11,requirements.txt
lukas-blecher/LaTeX-OCR,2020Q4,23,requirements.txt
LibreTranslate/LibreTranslate,2020Q4,13,requirements.txt
mealie-recipes/mealie,2020Q4,26,pyproject.toml
snakers4/silero-vad,2020Q4,0,
huggingface/accelerate,2020Q4,2,setup.py
RangiLyu/nanodet,2020Q4,13,requirements.txt
TencentARC/GFPGAN,2021Q1,12,requirements.txt
dgtlmoon/changedetection.io,2021Q1,17,requirements.txt
marceloprates/prettymaps,2021Q1,3,requirements.txt
unifyai/ivy,2021Q1,7,setup.py;requirements.txt
TomSchimansky/CustomTkinter,2021Q1,1,setup.py
PaddlePaddle/PaddleNLP,2021Q1,6,requirements.txt
openai/DALL-E,2021Q1,8,requirements.txt
zyddnys/manga-image-translator,2021Q1,12,requirements.txt
tobymao/sqlglot,2021Q1,0,
JerBouma/FinanceDatabase,2021Q1,8,requirements.txt
Textualize/textual,2021Q2,2,pyproject.toml
zauberzeug/nicegui,2021Q2,11,pyproject.toml
google-deepmind/alphafold,2021Q2,13,setup.py;requirements.txt
microsoft/LoRA,2021Q2,0,
xmu-xiaoma666/External-Attention-pytorch,2021Q2,0,
rany2/edge-tts,2021Q2,0,
ParthJadhav/Tkinter-Designer,2021Q2,8,pyproject.toml;requirements.txt
bitsandbytes-foundation/bitsandbytes,2021Q2,1,requirements.txt
nadermx/backgroundremover,2021Q2,23,requirements.txt
openai/guided-diffusion,2021Q2,3,setup.py
khoj-ai/khoj,2021Q3,0,
xinntao/Real-ESRGAN,2021Q3,9,requirements.txt
fastapi/sqlmodel,2021Q3,3,pyproject.toml
borisdayma/dalle-mini,2021Q3,0,
sml2h3/ddddocr,2021Q3,4,setup.py
mlfoundations/open_clip,2021Q3,0,
mvt-project/mvt,2021Q3,11,setup.py
Megvii-BaseDetection/YOLOX,2021Q3,15,requirements.txt
skypilot-org/skypilot,2021Q3,0,
FoundationVision/ByteTrack,2021Q3,19,requirements.txt
hpcaitech/ColossalAI,2021Q4,0,
Sanster/IOPaint,2021Q4,10,requirements.txt
facebookresearch/xformers,2021Q4,3,requirements.txt
