repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
django,f17d00278ee4a22421dc8148588d94fe7fa17427,1388595666,Aymeric Augustin,2,6,29,30,26,17,640,7,332,2
django,0ce945a67151acf2c58bc35a47f4c3d45ff30085,1388595912,Aymeric Augustin,4,1,34,2,1,1,77,0,0,0
django,791142e8b3e35bb387f4efbb6c7f73f2171a7164,1388597872,Alex Gaynor,2,0,2,3,0,0,0,0,0,0
django,30a42a4fc36edfad51f0e4f28e5c776434302d1c,1388599914,Aymeric Augustin,1,2,2,2,2,2,107,0,0,0
django,b2d78939d171f12ae7baaf0a2fa5a29b43bb2e47,1388613350,Claude Paroz,2,0,8,5,0,0,0,0,0,0
django,aaf5b3e7aad6fc8250143655854cc03c3b0a68c8,1388691825,Claude Paroz,1,2,6,4,6,4,90,1,64,1
django,ed2828f0a0263116618e9f338f9604d7387f10f7,1388705513,Florian Apolloner,2,2,28,17,22,20,921,0,0,2
django,b1a399b8644a2b705c2ceb4fabb47172c31ff6c9,1388706123,Florian Apolloner,1,1,0,1,0,0,0,0,0,0
django,7d0a5190328f277b97b1f55171e1fecb22a1e461,1388706289,Florian Apolloner,2,1,0,2,0,0,0,0,0,0
django,3bc6b18cb92462ff5ae54efd0fce5340e9149b0f,1388744724,Florian Apolloner,2,1,17,5,12,11,439,0,0,1
django,196f0a356df9c5dbdc28b73cf45b57cc7c43af9a,1388694975,Claude Paroz,1,0,5,4,0,0,0,0,0,0
django,2692a0c6217b1b5ea2730f5861cb96c991fc8673,1388873210,Aymeric Augustin,1,0,3,3,0,0,0,0,0,0
django,a7588e2e220bab47bf18601b173d6bfd429f5931,1388910594,Aymeric Augustin,2,0,16,36,0,0,0,0,0,0
django,d4b059d3eb2850f43a06162c8316777cb1681d7b,1388913190,Aymeric Augustin,1,0,11,1,0,0,0,0,0,0
django,5d9da7597ebae302ba15c0ee85aaece80a6d4926,1388913176,Aymeric Augustin,1,0,4,6,0,0,0,0,0,0
django,f5f761716731ceedaf165a068e6f88164cd87e79,1388951244,Aymeric Augustin,1,0,4,4,0,0,0,0,0,0
django,f630373b929bc62bf4d66d60c532f7832e5fbe67,1388910742,Aymeric Augustin,3,8,18,23,18,13,481,1,70,4
django,27afd302c687528ff1dc3156961e409862c6eca2,1388872175,Aymeric Augustin,17,17,136,0,136,85,3258,0,0,51
django,6a320cc14ae6cd2606cc10a5ba8b1c09f737bab4,1389044921,Aymeric Augustin,9,5,14,14,5,5,266,0,0,0
django,2dcde523abe6dca42d9b2d46a47c402979974c77,1389045476,Aymeric Augustin,1,4,3,3,3,3,74,0,0,0
django,0423e0796a75db8226e2032083ce6c674da337dc,1388802371,maurycyp,1,11,12,11,12,12,786,0,0,0
django,64887c644a8fe1004a15e27087d4e27c95c90fcd,1389186012,Andrew Godwin,6,6,92,4,41,33,1760,7,323,1
django,f343f5e5389738cf06ddeef5ca961508f2f8c881,1389186401,Andrew Godwin,1,1,1,1,1,1,64,0,0,0
django,8845ab62f553f29561decdbabd6eb0ea96c3c1d6,1389192820,Michael Manfre,1,0,2,1,0,0,0,0,0,0
django,1dbbdb29a040106f072a4a0315a066a251cc4939,1389196333,Michael Manfre,1,0,9,5,0,0,0,0,0,0
django,9ae17d994b1b0dee952c2e64f3727ce7a6ffb398,1389216029,Andrew Godwin,1,0,1,1,0,0,0,0,0,0
django,52cad43bc3d3126fcf7e08582373c12e88895cd3,1389053473,Florian Apolloner,2,18,98,364,98,84,3485,4,175,10
django,9eb16031ca837624433c49646289b50f9566a25d,1384850670,Unai Zalakain,2,0,20,7,0,0,0,0,0,0
django,14940fdd96e77778cacdf0963913a343b1f33b9a,1385467250,dpwrussell,2,2,27,3,6,5,263,0,0,1
django,270c9fe48883deaacbc15014ceebef6f895559ab,1389318247,Michael Blatherwick,1,2,2,2,2,2,94,0,0,0
django,81bb8d12209a419142b1bf6961fbf9fc44419dcd,1389328282,Marc Sibson,1,1,1,1,1,1,48,0,0,0
django,3326a412ccde9f72e22a070a0b4d922048ed2286,1389391579,Aymeric Augustin,2,3,15,2,9,8,462,0,0,1
django,18374c1d8c37dd251dae72470b6c532bddf140eb,1389445528,Claude Paroz,2,2,8,2,2,2,148,0,0,0
django,1e9e7351f88a59261da6e616934c8283a6e3e565,1389279817,Loic Bistuer,2,4,12,4,12,9,448,2,99,1
django,0179852d7faf461d55cf3ae69393abb3f3cd2910,1386187145,Claude Paroz,2,1,17,8,4,4,210,0,0,0
