repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
ipython,87358b5fca645bb541e7554c49fc60cf839d53c0,1388683536,James Porter,1,1,1,1,1,1,46,0,0,0
ipython,1c8c2c10146b70b817edda75fc99a93d92871fda,1386314261,Susan Tan,2,2,4,3,2,1,85,0,0,1
ipython,02d7cc411b1b3c2d76560f2003332e3a9d6b48ae,1389030985,Thomas Kluyver,1,0,4,3,0,0,0,0,0,0
ipython,4da382511b4de5dcea9e0397bac6e64ce8764906,1389032882,Thomas Kluyver,1,0,7,1,0,0,0,0,0,0
ipython,64b272e028344274f26fd5eac6e497eb7ec829e1,1389036607,Thomas Kluyver,7,0,13,13,0,0,0,0,0,0
ipython,4c5aa28b94c5f8ad4872d1230ce4b6d158de6722,1389049054,MinRK,1,3,5,3,5,5,163,0,0,0
ipython,beaeabaaa1dca1326c8c01a32e47bec80a00ba14,1389050833,Thomas Kluyver,1,0,4,0,0,0,0,0,0,0
ipython,d0b1fffb85bb93760987ae856aa08cac0d803bfe,1389121991,Thomas Kluyver,1,1,3,0,3,0,0,3,214,0
ipython,6f019b30997bdf9ae54d19a33bbebb10d71894ed,1383094098,MinRK,9,8,27,0,24,24,865,0,0,0
ipython,067a647876a37a6c5bf437be6ce2924a51dd9e36,1389127264,MinRK,1,3,3,5,3,3,217,0,0,0
ipython,6e7009d86157dd4c20de43e690b875a9339f565a,1389136395,MinRK,2,11,13,12,13,10,600,3,165,0
ipython,f56c427232abfbaa3aaa566197ff635c27382ba1,1389136432,MinRK,1,3,5,2,5,2,113,2,122,1
ipython,c016ca7efb9ce48ecc7073d87c74ca693fd7af3c,1389136557,MinRK,2,3,8,5,8,8,328,0,0,0
ipython,43b7ef24502352705223540672621eb931ad338f,1389136573,MinRK,1,1,1,1,1,1,73,0,0,0
ipython,4ea9487b6c2058fdd39ee2cfd76de6f1c71ace86,1389137770,Thomas Kluyver,4,4,11,7,8,6,229,0,0,2
ipython,ec34d47f46eb05f68138207d7ec0577596fc7287,1389139892,Thomas Kluyver,1,1,2,3,2,2,113,0,0,0
ipython,b3ea732fa86d6b0a1cf7bdbe7c52900796cbcec0,1389139904,Thomas Kluyver,1,0,1,1,0,0,0,0,0,0
ipython,7d0e245981d03ba89b02bc55b277e98e6a546ec5,1389143755,Thomas Kluyver,1,2,7,4,7,5,290,0,0,2
ipython,f59b2d89bdadffd185eab45ed28407213fa8d929,1389173650,Pankaj Pandey,1,5,17,2,17,16,673,0,0,1
ipython,1b1c38bbe7485aea34f1ba862f57d0c667e22199,1389196535,Matthias BUSSONNIER,1,1,2,0,2,2,38,0,0,0
ipython,12ea88877db65bc700530fe89b2db239e9f02d5b,1389204892,Thomas Kluyver,1,1,1,1,1,1,55,0,0,0
ipython,80efc81d0c8c4ee4707af7bab3c5124eb09227c8,1389214956,Thomas Kluyver,1,15,69,10,69,57,2606,0,0,12
ipython,bc19d4d7d2181ee402aafcbb064070852151063c,1389214970,Thomas Kluyver,1,0,16,0,0,0,0,0,0,0
ipython,ab8758bcbd2a124892035650f37e44ea2f8567a3,1389218925,Thomas Kluyver,1,0,11,3,0,0,0,0,0,0
ipython,f2fc7c7950b3ff7689e73f27c36b771ed35904c7,1389220008,Thomas Kluyver,1,0,4,8,0,0,0,0,0,0
ipython,32ad17ea7cd3af3b8c3db01a6f7316c43fc05dd1,1389224951,Paul Ivanov,1,0,8,5,0,0,0,0,0,0
ipython,bdaf6ecbc8d4f27eac858c2f5562f4d14ea142d6,1389232572,Thomas Kluyver,1,1,2,2,2,2,98,0,0,0
ipython,3315215b5af5e26a0f0bba5b99c3de94d1e75928,1389299642,Thomas Kluyver,1,0,2,0,0,0,0,0,0,0
ipython,442ca7bf3b7dd7b646cfcd8d8929a3c9de86c3cc,1389553372,MinRK,1,2,8,1,8,8,518,0,0,0
ipython,72fe9b95f957a0e69c05563cbb25524c77c5f5e0,1384979076,MinRK,1,8,15,3,15,11,368,0,0,4
ipython,bad1d077d7d6cead9dab198e6b394f271017ef28,1384979576,MinRK,1,7,17,6,17,15,598,0,0,2
ipython,50981beb29eadd0017277b97644c21f11d3e9261,1384985905,MinRK,1,2,3,2,3,3,199,0,0,0
ipython,3548d46f0b85100ef58a2c2b1ed6c675707b496f,1386791769,MinRK,1,1,1,1,1,1,93,0,0,0
ipython,fda93782e0c45449693e2bcfc335ce886043cef4,1389590427,MinRK,1,4,5,5,5,5,317,0,0,0
ipython,2af5af45ff77d5ba502bc442ca497c416c2614c7,1389594360,Angus Griffith,1,3,14,1,14,9,338,1,65,4
ipython,4654227fa0b0ece8b1d792475a23c0a5178f3ca6,1389649485,stonebig,1,0,4,3,0,0,0,0,0,0
ipython,9fbfb4731b073ef6a494798ee26ac366759c4997,1389655153,MinRK,1,1,2,1,2,2,133,0,0,0
ipython,2c0e86ab6d57ef80fe4da96d932fdb7c3ac4ebd3,1389559577,Paul Ivanov,1,2,5,3,5,5,246,0,0,0
ipython,c03e6aa132ddd6211202b5a0c1d78d3b12637890,1389563084,Paul Ivanov,1,2,1,2,1,1,63,0,0,0
ipython,398cd85469d4d675df23908a6f4e591f8bfb6518,1389658670,MinRK,3,6,1,21,1,1,81,0,0,0
ipython,08e7c9f3a7d40f364cab3dc888dddc2761b93aa1,1389658963,Thomas Kluyver,2,4,30,2,29,23,952,0,0,6
ipython,29ff209c6318963030b94be246e001bd96479140,1389659139,Thomas Kluyver,1,3,4,4,4,4,277,0,0,0
ipython,9e99d8190830a2d62f773966bbc4b8b37386dd15,1389659280,MinRK,1,1,1,1,1,1,58,0,0,0
ipython,47998e0c7b1594daeeffc3eff5f2ab4de0aef9d1,1389661496,Paul Ivanov,2,1,53,1,1,1,83,0,0,0
ipython,66c0714ab42041cc88e438a7a539eec2e7bcf353,1389680823,stonebig,1,0,3,4,0,0,0,0,0,0
ipython,c88fbc3a2c0437c94cb8d5fe1f51a8fd5bca06b9,1389681562,stonebig,1,0,5,1,0,0,0,0,0,0
ipython,114578eed6c3fe02542a33e965f30d1d811cc499,1389702707,Pankaj Pandey,1,2,8,4,8,8,372,0,0,0
ipython,1556ee2f886560af4bc008427d10abda7457c7dd,1389721436,stonebig,1,0,13,4,0,0,0,0,0,0
ipython,f8f9234401e9306d23873dc285a886a0c73a4133,1389724092,stonebig,1,0,7,6,0,0,0,0,0,0
ipython,a30a0fcc883401a1a3382d0b68019651bd423d90,1386372246,MinRK,1,10,36,4,36,33,1205,1,17,2
ipython,7a0e96e34d0ed22c857c227eb1bba668b410d7dd,1389724200,MinRK,1,7,8,7,8,8,293,0,0,0
ipython,c0f3ca0f7660308c6f3de6dc206f8729f4109be3,1389727424,stonebig,1,0,8,7,0,0,0,0,0,0
