repo,quarter,quarter_end_date,snapshot_sha,is_partial_quarter,n_files,parsed_files,parse_rate,total_lines,n_functions,mean_comment_len,median_comment_len,p90_comment_len,mean_complexity,median_complexity,p90_complexity,mean_func_len,median_func_len,p90_func_len,mean_body_len,median_body_len,p90_body_len,mean_docstring_len,median_docstring_len,p90_docstring_len,frac_functions_with_docstring
ipython,2014Q1,2014-03-31,1ebcc4267bad4220615266e204b01f34f1ffe1c7,0,423,423,1.0,98316,4443,48.719929916776174,54,78,3.031960387125816,2,6,15.098131892865181,8,35,11.279765923925275,6,26,3.8183659689399057,1,12,0.591267161827594
ipython,2014Q2,2014-06-30,1c6583e721ad5069da2276f05f77337c9f2f214c,0,428,428,1.0,97798,4504,48.34787746568494,52,78,2.9937833037300177,2.0,6,14.962477797513321,8.0,35,11.228685612788633,6.0,26,3.733792184724689,1.0,12,0.5890319715808171
ipython,2014Q3,2014-09-30,897a094a934228596161d99f59fe103cb783ecf0,0,432,432,1.0,101008,4624,48.157971944622716,52,78,2.9993512110726646,2.0,6,14.883217993079585,8.0,35,11.188365051903114,6.0,26,3.6948529411764706,1.0,11,0.5869377162629758
ipython,2014Q4,2014-12-31,4396a13ec56a4a414ea19d19ab1ef7d621382955,0,456,456,1.0,103818,4840,47.82857675806753,51.0,78,2.9816115702479338,2.0,6,14.709297520661156,8.0,35,11.089256198347108,6.0,26,3.6200413223140497,1.0,11,0.5814049586776859
ipython,2015Q1,2015-03-31,aeffef19ececeadfeae947aa6829fd265a498b28,0,475,475,1.0,102474,4723,47.76366251198466,51.0,78,3.0129155197967394,2,6,14.796104171077705,8,35,11.161126402710142,6,25,3.634977768367563,1,11,0.5843743383442727
ipython,2015Q2,2015-06-30,7fb6e46a1dcfdabdf63e7f3db71015eda09be5a5,0,188,188,1.0,45855,1750,48.157384048127305,52,78,3.262857142857143,2.0,7,17.973714285714287,9.0,42,12.92457142857143,6.0,30,5.049142857142857,1.0,15,0.6142857142857143
ipython,2015Q3,2015-09-30,32ee8c1d850ed94ea221fa566141e05d62172502,0,189,189,1.0,45677,1746,48.174235041902165,52,78,3.2686139747995417,2.0,7,17.959908361970218,9.0,42,12.90893470790378,6.0,30,5.050973654066437,1.0,15,0.6139747995418099
ipython,2015Q4,2015-12-31,fa27f966e74a9076e22f5c98ed0e631bda4b895c,0,189,189,1.0,45769,1746,48.154070332232365,52,78,3.288087056128293,2.0,7,18.04524627720504,9.0,43,12.989690721649485,6.0,30,5.055555555555555,1.0,15,0.6139747995418099
ipython,2016Q1,2016-03-31,af1c39e08f1c395b947fb3663249549eabbbbe1d,0,200,200,1.0,46785,1813,48.12734785875282,52.0,78,3.260893546607832,2,7,17.84997242140099,9,42,12.936569222283508,6,30,4.913403199117485,1,15,0.6039713182570325
ipython,2016Q2,2016-06-30,dc4b85d3a0c4b1031cdf2ef3eb1cf2aab8c9d256,0,203,203,1.0,46413,1809,48.02005111067427,52,78,3.241569928137092,2,7,17.79380873410724,9,42,12.881702598120508,6,30,4.912106135986733,1,15,0.5986733001658375
ipython,2016Q3,2016-09-30,4fd45e5827f378e1381f6b629c3d5b7ed028de60,0,203,203,1.0,46604,1814,48.01767478397486,52.0,78,3.243109151047409,2.0,7,17.797133406835723,9.0,42,12.883682469680265,6.0,30,4.913450937155457,1.0,15,0.5964718853362734
ipython,2016Q4,2016-12-31,ac4c93866de1899ce6c607b954fa4afe74c2d0ae,0,199,199,1.0,45343,1775,48.27445817297954,52,78,3.1983098591549295,2,7,17.747042253521126,9,42,12.732394366197184,6,30,5.014647887323943,1,15,0.6061971830985915
ipython,2017Q1,2017-03-31,3f95541b52f650ab0cf0009f64370ea4cdd4f557,0,198,198,1.0,45800,1774,48.354060134996935,52,78,3.222096956031567,2.0,7,17.968996617812852,9.0,43,12.820180383314543,6.0,30,5.148816234498309,1.0,15,0.6155580608793687
ipython,2017Q2,2017-06-30,ff635c8e434f4cee58d4b731e53149285136920d,0,197,197,1.0,46304,1783,48.4169899938738,52,78,3.2692091979809312,2,7,18.137969713965227,9,43,12.89736399326977,6,30,5.2406057206954575,1,15,0.6158160403813797
ipython,2017Q3,2017-09-30,7e28a947dde3e864b2d84d5d4a759a42a29163af,0,197,197,1.0,46439,1795,48.4527687296417,53.0,78,3.2590529247910864,2,7,18.076880222841226,9,43,12.869080779944289,6,30,5.207799442896936,1,15,0.615041782729805
ipython,2017Q4,2017-12-31,fee7d92b4ead3f2d86d1afac8bb9638ca72a07a6,0,197,197,1.0,46480,1792,48.474059003051885,53,78,3.2650669642857144,2.0,7,18.135044642857142,9.0,43,12.900669642857142,6.0,30,5.234375,1.0,15,0.6166294642857143
ipython,2018Q1,2018-03-31,65778adec13a65f82c5d2bab123e7a63516702c8,0,197,197,1.0,46602,1800,48.47904800650936,53.0,78,3.2544444444444443,2.0,7,18.086111111111112,9.0,43,12.862222222222222,6.0,30,5.223888888888889,1.0,15,0.6155555555555555
ipython,2018Q2,2018-06-30,a2685d78f2403f84e6cb915ae11a4f6033ccc5f6,0,197,197,1.0,46529,1792,48.51818553330609,53.0,78,3.26171875,2.0,7,18.137834821428573,9.0,43,12.89453125,6.0,30,5.243303571428571,1.0,15,0.6171875
ipython,2018Q3,2018-09-30,194d1d7fe2fcc8547205bd7f54fcf63bee9df4e3,0,198,198,1.0,47114,1825,48.617228768793176,53.0,78,3.243835616438356,2,7,18.05095890410959,9,43,12.805479452054794,6,30,5.245479452054795,1,15,0.6224657534246575
ipython,2018Q4,2018-12-31,a8165da9102a62203c824f8cb59988e188fc6032,0,199,199,1.0,47563,1843,48.63297013720742,53.0,78,3.2615301139446555,2,7,18.081389039609334,9,43,12.841020075963103,6,30,5.240368963646229,1,15,0.6207270754205101
ipython,2019Q1,2019-03-31,4f901de17aff2132365fc3741fc5b4b8a9a98dc6,0,199,199,1.0,47647,1848,48.6383964544722,53.0,78,3.267857142857143,2.0,7,18.061147186147185,9.0,43,12.83495670995671,6.0,30,5.226190476190476,1.0,15,0.6190476190476191
ipython,2019Q2,2019-06-30,223d17f2e85507fc0ce8be1e0bd25ce0afea1c62,0,199,199,1.0,47870,1854,48.61991584852735,53,78,3.290722761596548,2.0,7,18.112189859762676,9.0,43,12.892664509169364,6.0,30,5.219525350593312,1.0,15,0.6181229773462783
ipython,2019Q3,2019-09-30,4a2240fb440c497e9e195d9ff43d96973b7ae33f,0,199,199,1.0,47851,1853,48.614365971107546,53.0,78,3.2854830005396654,2,7,18.111171073934162,9,43,12.882892606583917,6,30,5.2282784673502425,1,15,0.6184565569347005
ipython,2019Q4,2019-12-31,54057a78f9c1100ec8ad8b06803ad27120fa7889,0,200,200,1.0,48075,1859,48.656725380304245,53.0,78,3.293168370091447,2,7,18.14792899408284,9,43,12.93329747175901,6,30,5.21463152232383,1,15,0.615922538999462
ipython,2020Q1,2020-03-31,a0c21526a456347f5f1f397dfb58bd0e7412e235,0,200,200,1.0,47571,1849,48.6934068177179,53,78,3.2650081124932395,2,7,18.01352082206598,9,43,12.802595997836669,6,30,5.210924824229314,1,15,0.6149269875608437
ipython,2020Q2,2020-06-30,ba11b22ef9f8c94d1ead775dc0ef69043ba9605c,0,201,201,1.0,48172,1870,48.64799516421519,53,78,3.2807486631016043,2.0,7,18.04705882352941,9.0,43,12.849197860962567,6.0,31,5.197860962566845,1.0,15,0.6122994652406417
ipython,2020Q3,2020-09-30,d0a0447a4baf31d8a558b72f1840895f1376f8c0,0,201,201,1.0,48264,1871,48.654936657952945,53,78,3.282736504543025,2,7,18.063602351683592,9,43,12.886691608765366,6,31,5.176910742918226,1,15,0.6125066809192945
ipython,2020Q4,2020-12-31,3587f5bb6c8570e7bbb06cf5f7e3bc9b9467355a,0,201,201,1.0,48430,1877,48.618683309844975,53,78,3.2759722962173683,2,7,18.094832179009057,9,43,12.937666489078316,6,31,5.157165689930741,1,15,0.6100159829515184
ipython,2021Q1,2021-03-31,657384935a24be05f2725d41ea0eac271863e6d1,0,201,201,1.0,48584,1882,48.62665862484921,53.0,78,3.281083953241233,2.0,7,18.122741764080764,9.0,43,12.9596174282678,6.0,31,5.163124335812965,1.0,15,0.6105207226354942
ipython,2021Q2,2021-06-30,a2c2a2dcec36224c7dca561efcf9ed9e5c514c3c,0,200,200,1.0,48873,1889,48.64966874121662,53,78,3.2901005823186873,2,7,18.175224986765485,9,43,13.015352038115404,6,31,5.159872948650079,1,15,0.6103758602435151
ipython,2021Q3,2021-09-30,d50de437cd35522873c0b308ac9eb15cc3bf12b8,0,201,201,1.0,49386,1908,48.45987286452126,52.5,78,3.280922431865828,2.0,7,18.15041928721174,9.0,44,13.00314465408805,6.0,31,5.14727463312369,1.0,15,0.6074423480083857
ipython,2021Q4,2021-12-31,c5102802380809adfdb980dafd041d99c5c9e299,0,159,159,1.0,47027,1805,48.19844357976654,52.0,78,3.345706371191136,2,7,18.427700831024932,9,43,13.245983379501386,7,31,5.181717451523546,1,15,0.6038781163434903
ipython,2022Q1,2022-03-31,6ddb518ca6ad0b4addfe9ae6e2ac88f4bc12e056,0,158,158,1.0,47302,1817,48.17254054054054,52,78,3.3428728673637864,2,7,18.412768299394607,9,43,13.2526141992295,7,32,5.160154100165108,1,15,0.6015410016510732
ipython,2022Q2,2022-06-30,359181665fcc65c6ff4d76430348ca27858b0443,0,158,158,1.0,47334,1816,48.17535135135135,52,78,3.344713656387665,2.0,7,18.436674008810574,9.0,43,13.277533039647578,7.0,32,5.159140969162996,1.0,15,0.6013215859030837
ipython,2022Q3,2022-09-30,4f6e132d2fc56feabd9d87cac98906d3e5806d6a,0,158,158,1.0,47480,1823,48.15017286084702,52.0,78,3.345035655512891,2,7,18.46187602852441,9,43,13.309380142622052,7,31,5.152495885902359,1,15,0.6006582556226001
ipython,2022Q4,2022-12-31,6a4bff46d5bdcb231ed89cef1387cb7f2cccb271,0,160,160,1.0,49398,1891,48.240631578947365,52.0,78,3.3569539925965097,2,7,18.37969328397673,9,43,13.349550502379694,7,30,5.030142781597038,1,15,0.597567424643046
ipython,2023Q1,2023-03-31,a418f38c4f96de1755701041fe5d8deffbf906db,0,163,163,1.0,50979,1942,48.428305014504765,52.0,78,3.375386199794027,2.0,7,18.226055612770338,9.0,43,13.248712667353244,7.0,31,4.977342945417096,1.0,15,0.601956745623069
ipython,2023Q2,2023-06-30,c3d7f161b19ddb3c16120487b0797539568c2c0f,0,164,164,1.0,51631,1965,48.43595551894563,52.0,78,3.368447837150127,2,7,18.189821882951655,9,43,13.229007633587786,7,31,4.960814249363867,1,15,0.5984732824427481
ipython,2023Q3,2023-09-30,6004e9b0bb0c702b840dfec54df8284234720817,0,164,164,1.0,51880,1972,48.46299342105263,52.0,78,3.3884381338742395,2.0,7,18.24239350912779,9.0,43,13.288539553752535,7.0,31,4.953853955375253,1.0,15,0.597870182555781
ipython,2023Q4,2023-12-31,fd2cf18f8109637662faf70862a84594625b132a,0,164,164,1.0,52076,1982,48.460984146592544,52,78,3.380928355196771,2.0,7,18.230575176589305,9.0,43,13.29212916246216,7.0,31,4.938446014127145,1.0,15,0.5958627648839556
ipython,2024Q1,2024-03-31,b9c597dfd0b29469ad32344f85b97b9ef83085f0,0,166,166,1.0,52408,1993,48.504123711340206,52.0,78,3.389362769693929,2,7,18.245358755644755,9,44,13.333667837431008,7,32,4.911690918213748,1,15,0.5930757651781234
ipython,2024Q2,2024-06-30,a499dbd507a92ea0087eca0f53e550fc838f0580,0,166,166,1.0,52657,2000,48.52439524395244,52.0,78,3.3905,2.0,7,18.251,9.0,43,13.345,7.0,32,4.906,1.0,15,0.592
ipython,2024Q3,2024-09-30,9b52ad5d0fae168679a63ecc8743541e2f127d92,0,166,166,1.0,52776,2004,48.535436296599755,52.0,78,3.3912175648702596,2.0,7,18.26197604790419,9.0,44,13.357784431137725,7.0,32,4.904191616766467,1.0,15,0.5913173652694611
ipython,2024Q4,2024-12-31,eb3f5ff99c4b929112d8ca8e721d7709e0705386,0,159,159,1.0,52127,1950,48.48952380952381,52,78,3.4225641025641025,2.0,7,18.53128205128205,10.0,45,13.577948717948718,7.0,32,4.953333333333333,1.0,15,0.5912820512820512
ipython,2025Q1,2025-03-31,116ee9e50b5d4546f6bb90d39114bb9e313aec19,0,158,158,1.0,52839,1954,48.9296174863388,53,78,3.589048106448311,2.0,8,18.83111566018424,10.0,46,14.042988741044013,7.0,34,4.788126919140225,1.0,14,0.5777891504605936
ipython,2025Q2,2025-06-30,1e9a2e8b5a584ffe1973318fdabf2e39395ec367,0,158,158,1.0,53236,1967,48.9339561155768,53,78,3.601423487544484,2,8,18.894763599389933,10,46,14.120488052872394,7,34,4.774275546517539,1,14,0.5760040671072699
ipython,2025Q3,2025-09-30,67d466eaf408ac5ce2a440be9ec085988d16187f,0,159,159,1.0,54264,1995,48.90771202734459,53,78,3.657142857142857,2,8,19.05814536340852,10,46,14.328320802005013,7,34,4.729824561403508,1,14,0.5759398496240602
ipython,2025Q4,2025-12-31,4d71bcf89fe04107f6b1ecb0cf52c047c13c31c0,0,159,159,1.0,54958,2004,48.906276686592655,53.0,78,3.723552894211577,2.0,8,19.244011976047904,10.0,46,14.521956087824352,7.0,35,4.722055888223553,1.0,14,0.5768463073852296
ipython,2026Q1,2026-03-31,77ad39aaed0ab65503952ab7a43c0e7e55ab9f7a,0,159,159,1.0,55247,2004,48.94661016949153,53.0,78,3.743013972055888,2.0,8,19.36127744510978,10.0,46,14.631736526946108,7.0,35,4.729540918163672,1.0,14,0.5768463073852296
ipython,2026Q2,2026-06-30,50fa9b942878f6c53d179b1b5151054255a8097f,0,160,160,1.0,55616,2018,49.00588977702987,53.0,78,3.752725470763132,2.0,8,19.38453914767096,10.0,46,14.66798810703667,7.0,35,4.716551040634291,1.0,14,0.5758176412289395
ipython,2026Q3,2026-09-30,e18b391ad00d77f4d7441bf8b340d03bfa4d4ca7,1,156,156,1.0,56036,2044,49.812422616591,55.0,78,3.720156555772994,2.0,8,19.369373776908024,10.0,46,14.66242661448141,7.0,35,4.706947162426615,1.0,14,0.574853228962818
