repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
matplotlib,3f78c1de8172b64727c585f17254d4621a3c236e,1388621028,Jake Vanderplas,1,1,2,1,2,2,105,0,0,0
matplotlib,b7812ee001a43c309ac71e263a99f2700d8b8c8e,1388868857,Andrew Merrill,1,1,1,1,1,1,53,0,0,0
matplotlib,80b3c71c0c515db9e3c17df3b0dbaa19f23203ae,1388879167,Cimarron Mittelsteadt,1,1,1,0,1,1,57,0,0,0
matplotlib,08d961a176c3376571f63fb3b7ae01e56137cde7,1385785722,Thomas A Caswell,2,7,72,8,72,59,2237,0,0,13
matplotlib,7ef2ead161b5f847fb60fab5f51a162f0755b645,1381841850,Martin Dengler,2,2,23,0,6,4,168,0,0,2
matplotlib,ff7655277820046e991f4b2045523e638cebd2ac,1381319121,Tobias Megies,1,3,27,6,27,25,1070,0,0,2
matplotlib,5a2c9af561470a99ecb1eb242b00810455e85fb6,1382898910,Nic Eggert,1,3,14,6,14,10,463,2,75,2
matplotlib,2786e392bfe1e6f36cd29ea0584da42c55829455,1382925385,Nic Eggert,1,2,4,2,4,4,294,0,0,0
matplotlib,03a960d461e8f1ff995027e12b5bdeae6bd50090,1389030520,Nic Eggert,1,0,5,0,0,0,0,0,0,0
matplotlib,f2448bf734c9850d40d0a0a6072de9b89b4d42ff,1389147337,Cimarron Mittelsteadt,1,1,1,0,1,1,59,0,0,0
matplotlib,efa1822867005745f9b90abac6d3ab20d22be5de,1389224288,Cimarron Mittelsteadt,1,2,2,0,2,2,53,0,0,0
matplotlib,e1d75d3c54bfe2adae91596445add644ead7cdff,1389275120,Till Stensitzki,1,1,1,1,1,0,0,0,0,1
matplotlib,cf9cd634695c006afa0b7a27a4edf097ad4f1686,1383923555,Magnus Nord,1,5,10,5,10,10,505,0,0,0
matplotlib,a693d000463dea7a9decc6a6d6d6711e15a6934c,1389012836,Magnus Nord,1,6,28,13,28,24,1179,0,0,4
matplotlib,be0aafbcb1c3c581e71ed0763d930974e83522dc,1389088624,Phil Elson,2,6,27,11,13,11,578,1,62,1
