repo,quarter,quarter_end_date,snapshot_sha,is_partial_quarter,n_files,parsed_files,parse_rate,total_lines,n_functions,mean_comment_len,median_comment_len,p90_comment_len,mean_complexity,median_complexity,p90_complexity,mean_func_len,median_func_len,p90_func_len,mean_body_len,median_body_len,p90_body_len,mean_docstring_len,median_docstring_len,p90_docstring_len,frac_functions_with_docstring
matplotlib,2014Q1,2014-03-31,b8cb6c37bef913d3352ba0a6bec3109b161f406f,0,184,184,1.0,128748,6086,41.019274376417236,42.0,67,2.817121261912586,1.0,6,16.11156753204075,8.0,38,12.171541242195202,5.0,29,3.940026289845547,0.0,9,0.49014130791981597
matplotlib,2014Q2,2014-06-30,d8de9d5cdf37dccee324a20d609e348dab6373d3,0,187,187,1.0,130594,6146,41.036146064643475,42.0,67,2.8190693133745524,1.0,6,16.19036771884152,8.0,38,12.211682395053693,5.0,29,3.9786853237878295,0.0,9,0.4902375528799219
matplotlib,2014Q3,2014-09-30,b243b2f66d62f91091f4b93bf830b3c012868362,0,186,186,1.0,131697,6175,41.08172016662583,42.0,67,2.820242914979757,1,6,16.282105263157895,8,38,12.244696356275304,5,29,4.037408906882591,0,9,0.4893927125506073
matplotlib,2014Q4,2014-12-31,e9b90c70e7e87e147e823408dbfeebd655f5294d,0,186,186,1.0,132201,6199,41.11449451887942,42.0,67,2.819325697693176,1,6,16.271334086142925,8,38,12.22584287788353,5,29,4.045491208259397,0,9,0.48975641232456846
matplotlib,2015Q1,2015-03-31,bf6e86db050a8fd3c6079de8cf5bd4dd71588e35,0,184,184,1.0,131772,6215,41.16736504806507,42.0,67,2.8162510056315364,1,6,16.186001609010457,8,37,12.176025744167337,5,29,4.009975864843121,0,9,0.48946098149637973
matplotlib,2015Q2,2015-06-30,5a798d8190bd8abd663ccb6b2ef11b73443a1280,0,187,187,1.0,135002,6387,41.26690909090909,43.0,67,2.8146234538907153,1,6,16.15829027712541,8,37,12.161891341788007,5,29,3.996398935337404,0,9,0.4880225457961484
matplotlib,2015Q3,2015-09-30,e5b7e454392ae60a9b3c8dde9ffafb0999d6bcb7,0,190,190,1.0,138493,6497,41.42132396016403,43,67,2.8303832538094507,1,6,16.199014929967678,8,37,12.19963059873788,5,29,3.9993843312297983,0,9,0.4866861628443897
matplotlib,2015Q4,2015-12-31,0abca30ed4d8e6bc01ea41dd8943eb014038a48d,0,187,187,1.0,140198,6575,41.510992206583694,43,67,2.818403041825095,1,6,16.259467680608363,8,37,12.18615969581749,5,28,4.073307984790874,0,10,0.4876045627376426
matplotlib,2016Q1,2016-03-31,5d0ca1d1d55fe016ce87cea1e7d3647a65b9bdad,0,194,194,1.0,141298,6577,41.26691125888558,43.0,67,2.8374638893112363,1,6,16.333738786680858,8,37,12.2219857077695,5,28,4.111753078911358,0,10,0.48973696214079365
matplotlib,2016Q2,2016-06-30,5151cf5ddbd0a6c3d136e330b72934876f580a1f,0,191,191,1.0,140518,6510,41.30626450116009,43.0,67,2.8460829493087556,1.0,6,16.472196620583716,8.0,38,12.286943164362519,5.0,28,4.185253456221198,0.0,10,0.49508448540706607
