repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
numpy,bd6d287dd73c483654cfb10f4cfab4dcc7548dd2,1388679588,Julian Taylor,2,1,13,1,1,1,72,0,0,0
numpy,75c2d2fe3cc9daa6589707fb6b8512ffa48fc365,1388693521,Pauli Virtanen,3,0,116,116,0,0,0,0,0,0
numpy,6c7af638e760d3229f460cb7475548ef2a3a7ca9,1388698062,Pauli Virtanen,1,0,2,5,0,0,0,0,0,0
numpy,9ab9648062ffa1b75a173fffadbca67c5e090cc2,1388687848,Julian Taylor,1,0,5,1,0,0,0,0,0,0
numpy,45ec18e2153613642dffd8cb52278e4ca4c3605c,1388060582,Lars Buitinck,1,1,6,2,6,6,201,0,0,0
numpy,28eb575c0c73a2061942b72b80ff6c43a67a431a,1388794383,Julian Taylor,1,0,10,6,0,0,0,0,0,0
numpy,d849245b44417e3e632a19a5e04a627ca6434887,1388861978,Blake Griffith,1,0,9,0,0,0,0,0,0,0
numpy,d77dda36097e147994c1f860eec30f798bbcb442,1388912227,leaz,1,1,1,1,1,1,89,0,0,0
numpy,dd05022ba5ccb4959662c99ac4b5e1363d09f920,1386817153,Pauli Virtanen,1,0,53,0,0,0,0,0,0,0
numpy,3de3fdab02907194b0cf10ead1c82258ccfe02db,1388688454,Pauli Virtanen,1,0,2,1,0,0,0,0,0,0
numpy,b1b0ea8030cad32d6fce2e6e6b5068e54bd6b7a7,1389123589,hpaulj,2,2,53,0,14,13,429,0,0,1
numpy,d64d62b76df62e8b20eea060db05ef23c472354d,1389442905,Julian Taylor,2,0,27,0,0,0,0,0,0,0
numpy,38d9c26373fed5b54e4b5bba20b14840eb409190,1389536658,Pauli Virtanen,1,0,5,5,0,0,0,0,0,0
numpy,593e3c30c24f0c61a271dc883c614724d7a57e1e,1389313470,Julian Taylor,1,0,37,0,0,0,0,0,0,0
numpy,490a9b2dc013d3c0bd951973d9d12011226a6f1c,1389564029,Julian Taylor,1,0,63,0,0,0,0,0,0,0
numpy,feadae424d73877522a691789f46957453c32a72,1389642573,Pauli Virtanen,1,0,1,0,0,0,0,0,0,0
numpy,a4d1e26c56d29fa24cae8570cdedd9d6064679c4,1389732640,Julian Taylor,1,2,2,2,2,2,91,0,0,0
numpy,bba4ed5398d9b9102d7bd51ebb3ce84a62291c23,1389732754,Julian Taylor,1,0,3,0,0,0,0,0,0,0
numpy,e7f4ad04c12986f1b94759cbd0a6a27d2124f107,1389783473,Pascal Bugnion,1,0,6,2,0,0,0,0,0,0
numpy,893fe99b7957198adf8b74109d334266fdc31006,1389783567,Pascal Bugnion,1,0,32,0,0,0,0,0,0,0
numpy,c25e8b7bcee3ce49a6d6daad3520295c58f6ccbc,1389812963,Pascal Bugnion,1,0,3,1,0,0,0,0,0,0
numpy,9dabdb872ccfdc23669e53b22e6dac7c0b6eb462,1390061300,Ralf Gommers,1,0,9,6,0,0,0,0,0,0
numpy,e95b6acf10ba8bf4a8c2b7c1841cb1c5f7d6818d,1390153204,Julian Taylor,1,0,20,0,0,0,0,0,0,0
numpy,6c9fee60f6c2cf79368f2c5ca30ce807453dafb5,1390417913,Julian Taylor,1,1,2,0,2,1,27,0,0,1
numpy,cc81da650820e6a623dce41cc66d4b926c7f6941,1390160502,Julian Taylor,1,0,12,0,0,0,0,0,0,0
numpy,d79ce1af7725ea96dab8474c7b86a7e58ccb36d6,1390648701,Julian Taylor,1,0,11,0,0,0,0,0,0,0
numpy,2f2f64cf7133c9028585ca5502e41c1bce52416f,1390649763,Julian Taylor,1,0,10,0,0,0,0,0,0,0
numpy,3d8da08211406bafb6cf2b95794a3911447b22ba,1390733314,Janani,2,4,6,7,2,2,99,0,0,0
numpy,a258e3cfbd28fb48722c5c83999f6910ef8d827a,1390938514,Pauli Virtanen,1,2,6,5,6,6,359,0,0,0
numpy,b58a854359d06dd5a61cf236c328a2aefc8ecce4,1390988654,astaric,1,1,2,2,2,2,118,0,0,0
numpy,4cd72742079c6eba4ec0803975c43b779545b537,1391032759,Julian Taylor,1,0,29,0,0,0,0,0,0,0
numpy,7044588130a2316db8dc3abd081a8e6655d98cac,1391066779,jaimefrio,1,0,4,1,0,0,0,0,0,0
numpy,839225599b1fb18ebb09424459ebd2066a8f21f9,1391129395,jaimefrio,1,0,13,0,0,0,0,0,0,0
numpy,e9ebefec819ec3c193d4763d9f995c053fee58a3,1391199949,Julian Taylor,1,0,6,0,0,0,0,0,0,0
numpy,0b92be65cc0063cabab6b9552df74788c4077e5b,1391258926,Philip Eliot,2,5,29,6,14,12,363,2,96,0
numpy,ba05979d0d243b529f3e95d2029f7827c21e297d,1391320662,jaimefrio,1,0,44,0,0,0,0,0,0,0
numpy,ed569bfa689a3f58425af2c5007a6779a7f4c4a7,1391547888,Aron Ahmadia,1,3,3,3,3,3,193,0,0,0
numpy,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,1391637707,Julian Taylor,5,4,50,51,15,13,451,0,0,2
numpy,607863d7387e80dab4b064856b598a8c86e9bee4,1365974425,Sebastian Berg,2,0,14,1,0,0,0,0,0,0
numpy,fe615783daf2763496fc827e2377d9baaefcda26,1380081981,Sebastian Berg,4,0,19,12,0,0,0,0,0,0
numpy,a32709fba5d0c19c320599c242e2faef47231045,1380149309,Sebastian Berg,1,0,2,3,0,0,0,0,0,0
numpy,085115713db4701790838101451d5f5212124574,1380152455,Sebastian Berg,1,0,2,2,0,0,0,0,0,0
numpy,23c3b30e7c9d600bac618020cc5db3dc5c59a645,1380196834,Sebastian Berg,1,0,1,1,0,0,0,0,0,0
numpy,308bf7ab1ad5ed2650fc1e0f7dbc0397f34737c6,1382358334,Sebastian Berg,2,0,5,6,0,0,0,0,0,0
numpy,009b17a85a22707e63ac9ea1896413992bbf9ce5,1382720288,Sebastian Berg,1,0,2,2,0,0,0,0,0,0
numpy,fe859f13e2ce05c5e60c8bc446ba4dbc56e493ce,1382734729,Sebastian Berg,1,0,43,0,0,0,0,0,0,0
numpy,169926fd81fced556396b3709334b98ecddde1b7,1382747173,Sebastian Berg,1,0,75,22,0,0,0,0,0,0
numpy,52b4a94b8d01854246bdb6cd53337d043d635251,1382907946,Sebastian Berg,1,0,98,17,0,0,0,0,0,0
numpy,628f60db43282e87a56e98561211ad04cf55eed7,1382909057,Sebastian Berg,1,0,20,0,0,0,0,0,0,0
numpy,854400057f0287b80cfac42e16f98d0daa097aed,1382967882,Sebastian Berg,1,0,49,1,0,0,0,0,0,0
numpy,753bcc42f63546ecb0892a260f8117f4a07fd276,1382974264,Sebastian Berg,1,0,22,0,0,0,0,0,0,0
numpy,44c1f7a0876ca8d18ac07b5f637998b197086267,1386940523,Sebastian Berg,1,0,12,0,0,0,0,0,0,0
numpy,4cc60668976c7ecf88e7c5776d0e159c113bb899,1387048584,Sebastian Berg,1,0,14,1,0,0,0,0,0,0
numpy,4836b6526e1cc4f5cad473fbeb91cbbc72bf5e3c,1387192878,Sebastian Berg,1,0,10,2,0,0,0,0,0,0
numpy,4e92b2b4d6a8e09dbbc659fa1a721550c7bd9c8d,1387209035,Sebastian Berg,1,0,4,2,0,0,0,0,0,0
numpy,9635b48428f9c06aa0fdd30d46dbf9e6738240da,1387899264,Sebastian Berg,1,0,48,6,0,0,0,0,0,0
numpy,c3eb6c549c91ce5f66a514788c7924e671c0fe9c,1390662222,Sebastian Berg,1,0,12,0,0,0,0,0,0,0
