repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
pandas,25511c05cde1ba41753bd48c4e72a1c047546ebd,1388595694,Joris Van den Bossche,1,4,5,3,5,5,284,0,0,0
pandas,2a8ccd4c90eb739640421c558ec8ab6e6c624951,1388601571,jreback,2,3,29,1,29,23,934,1,9,5
pandas,c45db0e71edaab62b96125c6877aa3cd7dc8b9f1,1388623286,Jeff Tratner,1,16,31,18,31,18,1110,0,0,13
pandas,4d6d6b9f45dc9a793827be53114f724b4c4873fd,1388661954,jreback,1,1,1,1,1,1,37,0,0,0
pandas,0bd6c646fece78569fa291fdfc0cebb2d3653cc7,1388500025,Michael Schatzow,2,1,11,1,1,1,50,0,0,0
pandas,b23563aa1581bc9d7a008d65ea2f6679a03001bd,1388699684,danielballan,1,5,38,5,38,30,1060,0,0,8
pandas,2173680defd48f5a295c560315760bd918132554,1388646706,Jeff Tratner,3,3,29,3,9,7,355,1,27,1
pandas,320465246c3c38a5950e64b467caab386c5f2293,1388662924,jreback,4,4,13,9,5,3,188,1,27,1
pandas,33b18af08b60e297ffddd748c809f75d5bd8f381,1388774321,danielballan,1,5,14,5,14,13,212,0,0,1
pandas,88010abd4ba6fe74b92e4cb8085754cac3198d46,1388806028,y-p,1,0,3,2,0,0,0,0,0,0
pandas,32766d62540f2162823bf264b3db820c3db408e1,1388849560,Skipper Seabold,2,4,12,3,7,4,232,0,0,3
pandas,10c094373a0f9888ac2beb18ae4af3e628755ae4,1388793180,jreback,2,7,62,27,54,44,2253,3,105,7
pandas,635dbddef159566dacb0dfff86a968ab74579c51,1388504542,jreback,2,2,42,2,7,7,296,0,0,0
pandas,71bb9ba1373aecea606f4c71e71eb73433d50691,1388892484,Skipper Seabold,2,2,22,6,15,12,409,0,0,3
pandas,b3fea8feda7297cab4cd7ba48403fd4cac8ea1ca,1388901509,y-p,2,2,6,22,6,5,219,0,0,1
pandas,986d7d189bba10b6371e6bccccb37dbbf7552014,1388935482,jreback,5,9,40,14,25,19,843,2,50,4
pandas,675c823bb67d01759a4a95dcd59cc440bd1a5c40,1388940366,jreback,1,0,3,1,0,0,0,0,0,0
pandas,f216c74d0b250d4079278cdef7bce43be76d0504,1388788305,George Kuan,1,0,9,1,0,0,0,0,0,0
pandas,4c9983c708a3d4a19963de91fbeab386f554dd43,1389051406,jreback,2,1,31,1,6,6,274,0,0,0
pandas,fe84e8ae297c28c456f02e93b6c439e67d15ac99,1389071379,y-p,2,7,43,10,34,29,896,1,22,4
pandas,ef787b43313bfb52e1349ff509a5d7514e602812,1389089232,y-p,1,2,16,1,16,11,395,1,22,4
pandas,b586ad6c64ae3a006442efc03758572d09baabf9,1389110204,y-p,1,3,17,17,17,16,564,0,0,1
