repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
pytest,ddfb2d5f3aa4ccbfcb6e7dee28af3b0898cc29d6,1389820853,Bruno Oliveira,0,0,0,96,0,0,0,0,0,0
pytest,3a37f33d99b7508f718a32221c6bf3a85d2aa576,1389824765,Bruno Oliveira,1,0,23,17,0,0,0,0,0,0
pytest,1fb824cd289e003c69d814e1107f8a8bf76f69ef,1389826091,Bruno Oliveira,1,0,23,2,0,0,0,0,0,0
pytest,83620ced2e847c0de721b0e78092bcd0677c9c4e,1390038020,Jurko Gospodnetić,1,0,2,2,0,0,0,0,0,0
pytest,9fb2079458d39921913d3c8975f1ccc9ad914d88,1390044693,Jurko Gospodnetić,28,46,101,96,50,44,2338,6,313,0
pytest,657a3958399539c4fe35b8912343ee27a51a1f0f,1390045156,Jurko Gospodnetić,3,3,4,4,3,0,0,3,177,0
pytest,d92ee8c3c3087b06e49fa7fa8f0fb21afc54d300,1390165514,Simon Liedtke,1,1,3,1,3,3,177,0,0,0
pytest,8e457338ee5053a60cab49d4172fab75d0ed941b,1390177653,Jurko Gospodnetić,2,2,30,1,19,16,1017,0,0,3
pytest,836232e544d4e082cd5cf185ea737325ac521077,1390382662,holger krekel,1,1,2,0,2,2,103,0,0,0
pytest,1ffc00636348d3b46647056eb1ac25cfeea92776,1390385845,holger krekel,2,6,7,6,7,5,237,2,113,0
pytest,e12fe64b54253f6a19dd98e631e560e8d2bfe6de,1390386435,Floris Bruynooghe,2,1,4,3,1,1,78,0,0,0
pytest,3a4f69734a87be9bfd0952c3588d5a16c166c093,1390395265,holger krekel,1,1,0,1,0,0,0,0,0,0
pytest,54a143e6a8536413c7a27a4b1852c494e78b1a8e,1390396599,Jurko Gospodnetić,1,0,22,0,0,0,0,0,0,0
pytest,fe4cdd8a90a601cf0ccb33320d04d5a90c8a15f8,1390397542,Andreas Pelme,1,0,7,0,0,0,0,0,0,0
pytest,cccfaa81fb677026d45fea640b1a2a1126f29cb9,1390409336,holger krekel,1,0,1,1,0,0,0,0,0,0
pytest,c142f2551dd3395326b441687596ae57a906a2d3,1390410474,Ronny Pfannschmidt,1,0,23,0,0,0,0,0,0,0
pytest,0ac94134f53bcd798eb15264ce506d96939560ea,1390413878,Ronny Pfannschmidt,2,6,890,7,383,345,11548,0,0,38
pytest,3cc58c2f78f07f71a52e050b4e189b20ffacd4a7,1390415543,Ronny Pfannschmidt,1,0,100,68,0,0,0,0,0,0
pytest,ea18e9656b972e296a3c7a967ebdf98c8d946e12,1390416260,Ronny Pfannschmidt,1,40,59,30,59,36,1479,2,94,21
pytest,e2bb81124c17b92710fdcee3424dde538bcb7622,1390416490,Ronny Pfannschmidt,1,3,8,9,8,7,230,0,0,1
pytest,5f21abc3a312aecae2d4ddd42bbda4a2a8eeb87c,1390420097,Ronny Pfannschmidt,1,3,29,29,29,23,706,0,0,6
pytest,0ede968ec08e525b361d34c7274dbf9bfef3683b,1390421029,Ronny Pfannschmidt,1,1,0,4,0,0,0,0,0,0
pytest,d1a9ab3df0d03ff083e4ac2aeb78ef0a4d65ad7d,1390421040,Ronny Pfannschmidt,1,1,1,1,1,1,49,0,0,0
pytest,b4a397d15300d6ae6879cbd1132ae1696631e2b9,1390423079,Ronny Pfannschmidt,1,2,1,10,1,1,49,0,0,0
