repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
scikit-learn,42ea5ecde75d25b953c4b2f3abe7137d5d525c2d,1388596216,Gilles Louppe,1,1,0,1,0,0,0,0,0,0
scikit-learn,cd4f5afef6c361c0036e1b6f55560e2662229242,1388648865,Gilles Louppe,1,2,7,5,7,7,419,0,0,0
scikit-learn,fd2226d3dcdba7154818981df567a0f647b8b394,1388670451,LK,1,1,3,1,3,3,115,0,0,0
scikit-learn,b0abd2f75a349d7aabf5620c0a51c157dcff601a,1388691287,Erik Shilts,1,1,1,2,1,1,57,0,0,0
scikit-learn,60a0c2f46c7490cf3b0e0fd17937503e5f9e88b3,1388738954,Gilles Louppe,2,6,10,6,10,9,450,1,16,0
scikit-learn,20797326439024c4ae381a4f19a88db1e02c1bc2,1388739222,Gilles Louppe,1,2,2,2,2,2,71,0,0,0
scikit-learn,f512bd82c9f282aff50dd94976fb225d6d824ab3,1388840862,Peter Prettenhofer,2,12,51,48,18,18,1041,0,0,0
scikit-learn,181c5159935fca3ddc290d525f4de82ee6a63750,1388849116,Peter Prettenhofer,2,14,66,152,26,22,1159,1,46,3
scikit-learn,6c033bd5854fb4d51fc93d6d161b9268d0a53409,1388854624,Peter Prettenhofer,2,1,31,2,6,5,287,0,0,1
scikit-learn,f9104f64d1102d35d23e324215769cdcb30f16b6,1388919458,Peter Prettenhofer,2,3,54,20,8,7,463,1,30,0
scikit-learn,bae41e7339e447dde55aebe685986a1ff7382856,1388919637,Peter Prettenhofer,1,1,1,1,1,1,50,0,0,0
scikit-learn,bb743ddb2adb2fa929c8322a726a6927d4d77158,1388953825,Lars Buitinck,2,3,25,5,25,19,825,2,116,4
scikit-learn,e0c635f11baad870fbf15f16a84bc63170d6dec7,1389002866,Peter,2,5,31,30,6,6,471,0,0,0
scikit-learn,e9e1ea570cc1b9dd9b63c36ec71c5cd1661e5443,1389010576,Andreas Mueller,1,0,0,39,0,0,0,0,0,0
scikit-learn,dce1d49e85a2b230cd033d3dd499323d96f9f696,1389021071,Peter Prettenhofer,1,9,17,13,17,17,1217,0,0,0
scikit-learn,a8bdbff5f9f192d7b92de2e5b02ae12e5e9d7bd4,1389021968,Peter Prettenhofer,2,2,4,5,2,1,49,1,70,0
scikit-learn,36ab69262bb393f37971e173022197c7f37ad715,1389086665,Gilles Louppe,2,9,13,20,11,11,558,0,0,0
scikit-learn,ca55b40b6f21f0b600b2af41ed0bdf19fcecc49a,1389094414,Joel Nothman,3,2,14,14,5,5,360,0,0,0
scikit-learn,a19bbe39a3d3aebdeaaca734ced9f37d3f242efa,1389098221,Olivier Grisel,1,0,9,8,0,0,0,0,0,0
scikit-learn,8082309e479617efaf754f6e35b02c72027842d4,1389163811,Gael Varoquaux,1,0,2,2,0,0,0,0,0,0
scikit-learn,e4c27d516783bc665a7e973181742480750c1c03,1389177327,Olivier Grisel,2,3,5,5,3,2,137,0,0,1
scikit-learn,73c7de32e27b59f34d406916f61b304e3c0ebdc5,1389179405,Peter Prettenhofer,2,1,3,15,3,3,239,0,0,0
scikit-learn,9a3c22a9c9d48d6f08f5047fcb5658740530040e,1389180356,Peter Prettenhofer,1,1,5,3,5,5,316,0,0,0
scikit-learn,4e4a8a96810b8b20298e28280cf2a31d61769d2f,1389186267,Peter Prettenhofer,1,1,1,1,1,1,84,0,0,0
