repo,quarter,quarter_end_date,snapshot_sha,is_partial_quarter,n_files,parsed_files,parse_rate,total_lines,n_functions,mean_comment_len,median_comment_len,p90_comment_len,mean_complexity,median_complexity,p90_complexity,mean_func_len,median_func_len,p90_func_len,mean_body_len,median_body_len,p90_body_len,mean_docstring_len,median_docstring_len,p90_docstring_len,frac_functions_with_docstring
scikit-learn,2014Q1,2014-03-31,fec2867aee5a9943486a7a1a0b6695af59461560,0,167,167,1.0,67051,1687,41.76167947959787,43.0,67,3.5257854179016004,2,8,27.32246591582691,16,67,16.688203912270303,9,39,10.634262003556609,1,30,0.6069946650859513
scikit-learn,2014Q2,2014-06-30,877d4711bde70df121c6dffa9dc46a110836721f,0,168,168,1.0,69344,1759,41.969869243888574,43.0,67,3.536668561682774,2,8,27.19613416714042,16,67,16.665150653780557,9,40,10.530983513359864,1,29,0.6014781125639568
scikit-learn,2014Q3,2014-09-30,9c079cf268a9c9e6d3d29003050dd412f9746351,0,173,173,1.0,73349,1817,41.924044002095336,43.0,67,3.631810676940011,2,8,28.082003302146394,17,68,17.235553109521188,9,39,10.846450192625207,1,31,0.5910842047330765
scikit-learn,2014Q4,2014-12-31,9c079cf268a9c9e6d3d29003050dd412f9746351,0,173,173,1.0,73349,1817,41.924044002095336,43.0,67,3.631810676940011,2,8,28.082003302146394,17,68,17.235553109521188,9,39,10.846450192625207,1,31,0.5910842047330765
scikit-learn,2015Q1,2015-03-31,9c079cf268a9c9e6d3d29003050dd412f9746351,0,173,173,1.0,73349,1817,41.924044002095336,43.0,67,3.631810676940011,2,8,28.082003302146394,17,68,17.235553109521188,9,39,10.846450192625207,1,31,0.5910842047330765
scikit-learn,2015Q2,2015-06-30,9c079cf268a9c9e6d3d29003050dd412f9746351,0,173,173,1.0,73349,1817,41.924044002095336,43.0,67,3.631810676940011,2,8,28.082003302146394,17,68,17.235553109521188,9,39,10.846450192625207,1,31,0.5910842047330765
scikit-learn,2015Q3,2015-09-30,47a85f3f3470dc07fa4a6f621e9ebaef4525827b,0,189,189,1.0,86958,2087,42.474890829694324,44.0,67,3.7656923814087206,2,9,29.457594633445137,17,71,18.085769046478198,9,43,11.371825586966938,1,31,0.6042165788212746
scikit-learn,2015Q4,2015-12-31,4afbccedd3ced50e9b4019a2509df8eacdc1c7ba,0,202,202,1.0,97730,2368,42.362567271277655,44,67,3.69847972972973,2.0,8,28.90625,17.0,70,17.55954391891892,9.0,41,11.34670608108108,1.0,31,0.6043074324324325
scikit-learn,2016Q1,2016-03-31,acdaeaf5dd2577855b09a23862489d7b10faeaa3,0,206,206,1.0,99993,2408,42.58109414266383,45,67,3.7230066445182723,2.0,8,29.123338870431894,17.0,71,17.70639534883721,9.0,42,11.416943521594684,1.0,31,0.606312292358804
scikit-learn,2016Q2,2016-06-30,78890543a7893460c4f36288de9f51c60ad940c6,0,208,208,1.0,101964,2481,42.656782092978766,45,67,3.6852075775896815,2,8,28.84522370012092,17,70,17.48045143087465,9,41,11.364772269246272,1,31,0.6078194276501411
scikit-learn,2016Q3,2016-09-30,3619bd386b66b5131c5b78e21e6775982d2b984d,0,212,212,1.0,105563,2606,42.95688864428545,45,67,3.653491941673062,2.0,8,28.357636224098236,17.0,68,17.21987720644666,9.0,40,11.137759017651574,1.0,30,0.61128165771297
scikit-learn,2016Q4,2016-12-31,e2adbb7e037de74044db002eff5898f5e11a5507,0,208,208,1.0,105760,2570,42.82729601170875,45.0,67,3.6797665369649804,2.0,8,28.904280155642024,17.0,70,17.492217898832685,9.0,41,11.412062256809339,1.0,30,0.6116731517509728
scikit-learn,2017Q1,2017-03-31,369b6a9434f776ecc4281aabda2db376066d64b8,0,208,208,1.0,106789,2591,42.85376930063578,45,67,3.6854496333461984,2,8,28.918564260903125,17,70,17.513315322269396,9,41,11.405248938633733,1,30,0.6090312620609803
scikit-learn,2017Q2,2017-06-30,ae8223356b5e3618ce5a0e18070b03272a81c36b,0,207,207,1.0,106864,2578,43.08757752302199,45,67,3.6442979053529867,2.0,8,28.921256788207913,17.0,68,17.357641582622186,9.0,41,11.563615205585725,1.0,31,0.6186966640806827
scikit-learn,2017Q3,2017-09-30,4e6b403796238a1263b871a67d72d39ab61f2075,0,208,208,1.0,109276,2607,43.35573195495662,46,67,3.675489067894131,2,8,29.1710778672804,17,69,17.446873801304182,9,41,11.724204065976219,1,31,0.6194859992328346
scikit-learn,2017Q4,2017-12-31,5e26bf902621933bc8c7f3ce21c2085ee32651d3,0,210,210,1.0,111094,2639,43.455074572571846,46.0,67,3.7078438802576734,2,8,29.268283440697235,17,69,17.571428571428573,9,41,11.696854869268662,1,31,0.6176582038651004
scikit-learn,2018Q1,2018-03-31,12cdb8323c1a4018fcc97dc5a0014a0ba7b44593,0,214,214,1.0,113022,2671,43.401180468610264,46,67,3.7379258704605016,2,8,29.43991014601273,17,70,17.690003743916137,9,41,11.749906402096594,1,31,0.6177461624859603
