repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
scipy,39af4d1f833722c1e8061f76e9d8ef6c678648a5,1388605763,Shauna,3,2,9,3,2,2,75,0,0,0
scipy,2d624493dde2c326112880f72f7b73b0fa81aefa,1388837027,Ralf Gommers,2,3,13,2,8,6,194,2,125,0
scipy,07bd6eb687ceec661ebbb453d1c1283c2545d28f,1388838632,Ralf Gommers,2,5,24,13,8,6,237,2,145,0
scipy,7e72d9738c944c92a00c170e3d7fead63447d57d,1388847658,Ralf Gommers,1,0,9,8,0,0,0,0,0,0
scipy,848dea064cc76465ca037416df3792864c1b511d,1388907649,Carl Sandrock,1,4,4,4,4,4,176,0,0,0
scipy,e4caaec1d5cb52368cf493d4bf951ad96a4cdaf9,1383661946,Lars Buitinck,2,2,2,2,2,2,110,0,0,0
scipy,0f3230126dcf40650012364ffc7ab3f0d3dd087f,1389304089,alex,2,3,6,6,6,6,323,0,0,0
scipy,5d11c47135a97e10e669736924964992e734780f,1389304556,alex,2,2,2,2,2,2,128,0,0,0
scipy,2a8ad7677c1d463ed46d6b7d8bb28b0eb873908e,1389304619,alex,1,1,1,1,1,1,63,0,0,0
scipy,c13b702bbbde376ee88585b4ddae0bdde10fd707,1389306158,alex,29,29,46,46,30,24,1425,6,320,0
scipy,a6334183b540f359c804d2e03969573695b92f72,1389450115,Pauli Virtanen,1,0,2,1,0,0,0,0,0,0
scipy,a003d67400e519b20a7f1245c18163f654bdcc56,1389450931,Pauli Virtanen,1,7,28,9,28,28,1085,0,0,0
scipy,2ade3b82391ad95c06b9c979c771d9e8e964670c,1389563618,alex,1,0,7,2,0,0,0,0,0,0
scipy,d67b8848de7e9ae3654f0e8028dcf77fa07189bb,1389525128,Ralf Gommers,1,1,8,0,8,7,313,0,0,1
scipy,63564c3029d92effc959fbbeec68381efd50997f,1389586932,endolith,1,4,14,9,14,12,520,1,71,1
scipy,b7ecb9a01e9a3fadb8df0c401e894ababc6217df,1389721310,Pauli Virtanen,1,0,8,0,0,0,0,0,0,0
scipy,cf0d9a26a29a1016ebcf251200a97a0d813c0d16,1389860028,Pauli Virtanen,6,7,10,6,10,3,88,6,90,1
scipy,738834d911f9b2916157d68d7512fd3c7f2b6f80,1389959985,Richard Tsai,2,2,16,0,8,8,406,0,0,0
scipy,49aa227b7962a7e1e236930a8912ccfec27e954e,1389339288,jamestwebber,1,21,40,22,40,30,1450,2,108,8
scipy,d55bf59d34f62527160856a42d41dd9c47c5e2b9,1389564248,jamestwebber,1,35,49,49,49,49,1673,0,0,0
scipy,335f40a110915f835895cab7adb6ec44f12c0701,1389565215,jamestwebber,1,0,27,1,0,0,0,0,0,0
scipy,1c379067aafe09da44db163ac98e3eb67a0f35a2,1389585440,jamestwebber,1,1,5,0,5,5,310,0,0,0
scipy,fb0280aa42ab3e1c311109613e8ef5b6a388051a,1390059711,Ralf Gommers,1,31,77,67,77,72,3657,0,0,5
scipy,eaf339573a39d3c38a901580fe86d75579864273,1390059742,Ralf Gommers,1,0,193,160,0,0,0,0,0,0
scipy,c7eee27cd66f45c59f196d50b5268908728c21d4,1390064744,Ralf Gommers,1,0,7,103,0,0,0,0,0,0
scipy,f71c8a72acffc0ec4da9dff211de5bcded3a4056,1390065155,Ralf Gommers,1,0,15,8,0,0,0,0,0,0
scipy,56208703ecf035f5bf0aeae99e2b5c8e7f2e277f,1390065403,Ralf Gommers,1,0,20,10,0,0,0,0,0,0
scipy,7915e292412155fda5578ae7a4f1e6b6ca3e8600,1390066624,Ralf Gommers,1,0,1,1,0,0,0,0,0,0
scipy,d1039648187f9850c4ecb206462b3c0270cf102a,1389675339,endolith,1,1,3,2,3,2,73,1,50,0
scipy,265fb611b3403a9da34d7e9e4d760e49a05ac7f5,1390096105,endolith,1,3,10,5,10,4,121,2,86,4
scipy,29aea64f3e576469691a5a27f1b51958b0e0fa1c,1390096105,endolith,1,6,12,6,12,6,332,3,96,3
scipy,061f0d582fffc7525e2bbd73dfdac1af398369c4,1390096105,endolith,1,0,17,1,0,0,0,0,0,0
scipy,5a1a36ed2307b670fc591507238b51552df54bf2,1390096105,endolith,1,0,1081,134,0,0,0,0,0,0
scipy,ab9b4fcf82955d6480f16ecaf56856ddb21d2318,1390097265,endolith,1,4,6,0,6,6,134,0,0,0
scipy,175a0943ed0ab9feff3c30ee05421847bd74c7db,1390097265,endolith,1,0,7,0,0,0,0,0,0,0
scipy,e26799cb6f9b4b7fb926bfa2058467c42f754f2f,1390097265,endolith,1,1,23,0,23,16,834,4,242,3
scipy,e30c56a563c4dd7c8125ab920924f1ae7f2638f1,1390097713,endolith,1,0,5,0,0,0,0,0,0,0
scipy,4dc50340f76f1da95e8a0e8a8674728c44d7233e,1390097713,endolith,1,1,3,0,3,3,169,0,0,0
scipy,67d2e94c35d26dba741d6d0103a315de5d3d2919,1390190412,Richard Tsai,2,2,1,9,0,0,0,0,0,0
