repo,quarter,quarter_end_date,snapshot_sha,is_partial_quarter,n_files,parsed_files,parse_rate,total_lines,n_functions,mean_comment_len,median_comment_len,p90_comment_len,mean_complexity,median_complexity,p90_complexity,mean_func_len,median_func_len,p90_func_len,mean_body_len,median_body_len,p90_body_len,mean_docstring_len,median_docstring_len,p90_docstring_len,frac_functions_with_docstring
scipy,2014Q1,2014-03-31,2e5b1ddc4365cbd81ddf6b0175ceb34e845a7a9f,0,245,244,0.9959183673469387,127430,3717,42.18384714193963,42.0,70,3.3701910142588107,1,8,24.40247511433952,9,64,13.544525154694647,6,32,10.857949959644875,0,36,0.44713478611783697
scipy,2014Q2,2014-06-30,97e93bd0ef24b9d1f59cfba4fd0b540f348cb4c9,0,248,247,0.9959677419354839,129921,3748,42.320733828878694,42,70,3.394076840981857,1.0,8,24.74759871931697,9.0,65,13.67075773745998,6.0,33,11.076840981856991,0.0,36,0.45170757737459977
scipy,2014Q3,2014-09-30,4a5d2ae012e97af7ac07ce4cf5b4666c05dd0044,0,249,248,0.9959839357429718,132060,3790,42.55036659228562,43.0,70,3.3894459102902377,1.0,8,24.916094986807387,9.0,65,13.674142480211081,6.0,33,11.241952506596306,0.0,36,0.45118733509234826
scipy,2014Q4,2014-12-31,a9c5eea4802f224a61b6ffd160c184870e7ce3da,0,251,250,0.9960159362549801,134344,3868,42.710809102402024,43.0,70,3.3689245087900725,1.0,8,24.865305067218202,9.0,64,13.586091003102378,6.0,32,11.279214064115822,0.0,36,0.45372285418821096
scipy,2015Q1,2015-03-31,52354d4b0e9049ad9df86de934ed340741dd40a8,0,247,246,0.9959514170040485,137895,3952,42.89604863221884,44.0,70,3.3823380566801617,1.0,8,25.012145748987855,9.0,65,13.680161943319838,6.0,32,11.331983805668017,0.0,37,0.45470647773279355
scipy,2015Q2,2015-06-30,390acd9748df61300766b7495fdade24fdaf37bb,0,248,247,0.9959677419354839,141699,4031,42.97495554238293,44.0,70,3.368394939221037,1,8,25.359712230215827,10,65,13.701314810220788,6,32,11.658397419995039,0,38,0.4581989580749194
scipy,2015Q3,2015-09-30,cb1321e23038ce91f8e9750865d7b474fc72d923,0,260,259,0.9961538461538462,147771,4130,43.11957779063042,44.0,70,3.4322033898305087,1.0,8,26.065617433414044,10.0,67,14.070944309927361,6.0,33,11.994673123486683,0.0,38,0.46150121065375305
scipy,2015Q4,2015-12-31,e7a015e41a07092b1ae7dd13dfa4c49a459fea28,0,260,259,0.9961538461538462,150595,4190,43.23246606334842,44.0,70,3.439856801909308,1.0,8,26.15322195704057,10.0,68,14.09856801909308,6.0,33,12.054653937947494,0.0,39,0.4656324582338902
scipy,2016Q1,2016-03-31,819f58f161f07105ec9281644913e063751a9365,0,264,263,0.9962121212121212,155160,4273,43.30442035029191,44.0,70,3.4058038848584133,1,8,26.032997893751464,10,67,13.930727825883455,6,33,12.102270067868009,0,39,0.46782120290194246
scipy,2016Q2,2016-06-30,812be1e8db586e3cc46c5646f8f3093d321cd0af,0,268,267,0.996268656716418,160766,4459,43.60184813177983,45,70,3.3747477012783134,1,8,25.941018165507963,10,68,13.94662480376766,6,34,11.9943933617403,0,39,0.46490244449428125
scipy,2016Q3,2016-09-30,fe6df4ee057dee8a066ecb11cceb18b15e445431,0,270,269,0.9962962962962963,164069,4525,43.572315414080045,45,70,3.3602209944751382,1,8,26.0846408839779,10,68,13.95889502762431,6,34,12.125745856353591,0,39,0.4645303867403315
scipy,2016Q4,2016-12-31,fa13ccb67808c263301f44041d411b6decf8b6e2,0,247,246,0.9959514170040485,154075,4050,42.90604929051531,44,70,3.548641975308642,2.0,8,28.645185185185184,11.0,74,14.745432098765432,6.0,36,13.899753086419754,0.0,43,0.4846913580246914
scipy,2017Q1,2017-03-31,ab9eff32ef594a59621404ffe18045fd6bd49e1f,0,249,248,0.9959839357429718,157735,4104,42.76083794006401,43.0,69,3.564327485380117,2.0,8,28.992446393762183,12.0,74,14.850389863547758,6.0,36,14.142056530214425,0.0,44,0.486598440545809
scipy,2017Q2,2017-06-30,825f8f73ba46d53011e854d0f9a4714b9647b052,0,257,256,0.9961089494163424,161729,4184,42.83050847457627,43.0,69,3.5717017208413,2.0,8,29.169694072657744,12.0,75,14.965583173996176,6.0,37,14.204110898661568,0.0,44,0.48207456978967494
scipy,2017Q3,2017-09-30,676da8f65d38cd62c89799aec7444df227424e04,0,263,262,0.9961977186311787,166912,4250,42.898971000935454,44,69,3.607764705882353,2.0,9,29.697882352941175,11.0,76,15.256235294117648,6.0,37,14.441647058823529,0.0,45,0.4788235294117647
scipy,2017Q4,2017-12-31,eaa2fdef699ba0b81a75434f6483891f11cc116f,0,265,264,0.9962264150943396,168418,4268,42.96069868995633,44,69,3.6279287722586693,2.0,9,29.903701968134957,12.0,77,15.32357075913777,6.0,37,14.580131208997189,0.0,46,0.48008434864104965
scipy,2018Q1,2018-03-31,47c0a24c8798bef46467f1dde38594939c27c98b,0,266,264,0.9924812030075187,171016,3635,42.952847439916404,44.0,69,4.094635488308116,2,10,34.863273727647865,17,84,17.40825309491059,8,42,17.455020632737277,1,52,0.5598349381017882
scipy,2018Q2,2018-06-30,8835355c56ff972942ef326f546171716626cd54,0,281,280,0.99644128113879,179693,4534,42.49712397503365,43,69,3.6340979267754743,2.0,9,30.366343184825762,11.0,79,15.568151742390825,6.0,38,14.798191442434936,0.0,47,0.4693427437141597
scipy,2018Q3,2018-09-30,209e1c6c656dde645f926957f29554a800aaa13c,0,283,282,0.9964664310954063,182851,4650,42.51798474022042,43,69,3.59741935483871,2.0,8,30.131182795698926,11.0,79,15.390752688172043,6.0,38,14.740430107526882,0.0,47,0.47053763440860213
scipy,2018Q4,2018-12-31,193f160feeeb6256d26ba7d42c627910bc78d4a5,0,288,288,1.0,187925,4882,42.324942263279446,42.0,69,3.5649324047521507,2.0,8,29.67574764440803,11.0,79,15.263826300696437,6.0,37,14.411921343711594,0.0,47,0.46333469889389595
scipy,2019Q1,2019-03-31,41f26a297baf7bf2ce7b480f58bd96bebd6b6071,0,291,291,1.0,190369,4916,42.3547762723443,42,69,3.574247355573637,2.0,8,29.92046379170057,11.0,80,15.339910496338486,6.0,38,14.580553295362083,0.0,47,0.46399511798209925
scipy,2019Q2,2019-06-30,485f4b4125304957eb1ef05e1dc8f8380a56714d,0,300,300,1.0,194565,5037,42.369419642857146,42.0,69,3.557276156442327,2,8,29.887035934087752,11,79,15.294818344252532,6,37,14.592217589835219,0,47,0.46495930117133216
scipy,2019Q3,2019-09-30,c33dd0afbe45339a1dcc70511859457c36325bcf,0,313,313,1.0,199308,5163,42.51267013389399,43,69,3.516172767770676,1,8,29.66802246755762,11,78,15.093550261475887,6,37,14.574472206081735,0,47,0.463102847181871
scipy,2019Q4,2019-12-31,1a2666f1b84be84ad09e931e07d4d2e723fee47c,0,313,313,1.0,202920,5211,42.45204436711614,42.5,69,3.522740356937248,1,8,29.750335828056034,11,78,15.13874496257916,6,37,14.611590865476876,0,48,0.4601803876415275
scipy,2020Q1,2020-03-31,7ac26a178f385e4fa88d5c22951797a32ec8f38f,0,314,314,1.0,204585,5222,42.46624203821656,42.0,69,3.552853312906932,2.0,8,30.06472615855994,11.0,79,15.29088471849866,6.0,37,14.773841440061279,0.0,48,0.46074301034086557
scipy,2020Q2,2020-06-30,fd6f6d670909681127be0e545bc1a116d6b74a79,0,314,314,1.0,207145,5241,42.6983814069309,43.0,69,3.586147681740126,2,8,30.33028048082427,11,79,15.384659416141957,6,37,14.945621064682312,0,48,0.4609807288685365
scipy,2020Q3,2020-09-30,c2ed45da7aa3716a864e176f2f41be9f7f93dfd6,0,316,316,1.0,208736,5241,42.74162284771626,43,69,3.590536157221904,2,8,30.53176874642244,11,79,15.422056859377982,6,37,15.109711887044456,0,49,0.4647967945048655
scipy,2020Q4,2020-12-31,7df7d350fb3156d6e1554eec6997be8bb59cb052,0,320,320,1.0,213543,5328,42.80297811993517,43.0,69,3.5812687687687688,2.0,8,30.78978978978979,11.0,80,15.445195195195195,6.0,37,15.344594594594595,0.0,50,0.46452702702702703
scipy,2021Q1,2021-03-31,7dcdeffed53483a60b3e054618520e0f28adeba4,0,333,333,1.0,218974,5465,42.76465934935232,43,69,3.5674290942360476,2,8,30.724245196706313,11,80,15.455992680695333,6,37,15.268252516010978,0,49,0.46514181152790485
scipy,2021Q2,2021-06-30,b8bdbbf112413e9a8f5e209fc05d3b8927718b28,0,346,346,1.0,224610,5599,42.9038961038961,43,69,3.545633148776567,2,8,30.80460796570816,11,80,15.433827469190927,6,37,15.370780496517236,0,50,0.466869083764958
scipy,2021Q3,2021-09-30,31595654daa2f0c425488d603f068b64a590d817,0,360,360,1.0,228482,5704,42.910927370102414,43,69,3.5662692847124826,2.0,8,30.852384291725105,11.0,81,15.532433380084152,6.0,37,15.319950911640953,0.0,50,0.4640603085553997
scipy,2021Q4,2021-12-31,cf71f7e3749edbdc1c2efbc37f9c1aaaf0a2f3fa,0,473,473,1.0,237336,6019,43.26722079759484,44,69,3.5052334274796477,2,8,30.080412028576177,11,79,15.360525004153514,6,36,14.719887024422661,0,49,0.44525668715733513
