repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
sqlalchemy,4b923d37bdfdb44d9a3e74aed08e2726e14c3b19,1388690594,Mike Bayer,3,0,17,5,0,0,0,0,0,0
sqlalchemy,ca8fca63916897f1bbc2fa4f1ee440c6b5d9a88a,1388705192,Mike Bayer,3,2,52,8,20,15,756,2,86,3
sqlalchemy,8a7fdd4e5cf5e4d9ba71c66a06bcba6b1054cfef,1388706709,Mike Bayer,2,5,79,2,20,13,545,4,224,3
sqlalchemy,6d3e563a575bcdc57c966980abc5038337505566,1388707166,Mike Bayer,2,1,17,1,1,1,59,0,0,0
sqlalchemy,31821011271bf2333b69954d53c3c922e39bf225,1388803573,Mike Bayer,3,13,81,21,63,50,1715,1,54,12
sqlalchemy,cad46c3cdca2bb914bcfc233fcbd3647eaf8ffe9,1388803621,Mike Bayer,1,1,113,0,113,82,3916,6,264,25
sqlalchemy,c450cd6cb6d0c8fed110abcec5bc17ec4e0e8c5e,1388813748,Mike Bayer,4,3,60,4,10,9,367,1,20,0
sqlalchemy,ecb3865615082301c2e5ab7f8e8a40bfbb99b05c,1388887951,Mike Bayer,2,6,36,6,23,18,1008,0,0,5
sqlalchemy,7658a4c73c1e60cc4549389a72a2af26acfa51fc,1388888051,Mike Bayer,1,16,30,23,30,25,1104,0,0,5
sqlalchemy,196f7ee6cc132aa0f31741af80fa5c0ba77efcf2,1388949072,Mike Bayer,4,5,21,1,10,10,341,0,0,0
sqlalchemy,8c93a6c7718c2408688eb21a59e008a8dcca8999,1388958176,Mike Bayer,3,10,62,19,62,42,1988,0,0,20
sqlalchemy,53866030997a3a39d7bd8fc50dd5cd00dab32f79,1388958361,Mike Bayer,1,30,786,66,786,598,31114,30,1264,158
sqlalchemy,21bc2c2a5bbae8e39aab6dca17d1d148499fcc29,1388958481,Mike Bayer,1,0,146,0,0,0,0,0,0,0
sqlalchemy,8646a4c1093f18f5c6022919a04137734c4c2ba3,1388958543,Mike Bayer,1,1,1,1,1,1,21,0,0,0
sqlalchemy,f89d4d216bd7605c920b7b8a10ecde6bfea2238c,1388959025,Mike Bayer,163,147,166,166,147,0,0,145,12180,2
sqlalchemy,fa5970c26547d03ba66f885ef9d7fdcd686648a1,1388964351,Mike Bayer,1,0,41,41,0,0,0,0,0,0
sqlalchemy,9d69035a1d7f78c71e5467e1dde828d099f30144,1388968155,Mike Bayer,1,0,2,2,0,0,0,0,0,0
sqlalchemy,b287a379e9257fe00c2ba5f01b332ebc51546cff,1389310522,Mike Bayer,1,1,1,1,1,1,21,0,0,0
sqlalchemy,1d4f0df35dd7232258670101bca426ec0a5d5c56,1389327600,Mike Bayer,1,0,3,6,0,0,0,0,0,0
sqlalchemy,2775c95b1ee30831216cc558ceb88aa8f8353dbe,1389463960,Mike Bayer,3,7,43,22,42,32,1321,5,247,5
sqlalchemy,c427d24d7441d35444d444ab9f782018f49f40e5,1389487430,Mike Bayer,1,0,25,19,0,0,0,0,0,0
sqlalchemy,1214f39abb665627b427f2ad8504138a36aaf483,1389499707,Sean Dague,1,1,4,0,4,3,45,0,0,1
sqlalchemy,86c3855c9bafb52cb71df7e958196d27ca4dc578,1389564941,Mike Bayer,1,1,1,1,1,1,46,0,0,0
sqlalchemy,c91fd822bc9816827d0aab4699e304ab49ed8280,1389566060,Mike Bayer,4,39,241,55,209,165,8826,0,0,44
sqlalchemy,9c64607572a04eb2ed7981db8999732100f39d4d,1389573793,Mike Bayer,4,11,274,20,51,47,2535,0,0,4
sqlalchemy,578df5b86b35db97c56e38161ab9dc917269a3b0,1389598721,Mike Bayer,1,0,1,0,0,0,0,0,0,0
sqlalchemy,bebf30e34d669a5ede54e512e55ee5186fe015f6,1389601331,Mike Bayer,3,19,48,19,41,40,1850,0,0,1
sqlalchemy,232e3762b7cbf425dd911ae2421512382d6024af,1389627435,Mike Bayer,3,7,22,43,21,17,827,2,92,2
sqlalchemy,58d3a4147361315fec2979e7bf933f4bd30ae46b,1389631951,Kyle Stark,1,1,1,1,1,1,68,0,0,0
sqlalchemy,1536bc4664a248faf81c62326fe1be3dbe18b8cd,1389639905,Mike Bayer,7,14,94,34,81,65,2699,7,358,9
sqlalchemy,bd74f81bb5b1158a1bc0a44e9990d4584380c481,1389653617,Mike Bayer,2,2,137,4,3,3,164,0,0,0
sqlalchemy,40563e9355f4dd2e677d65b37a2e40dfb0f8ff31,1389656645,donkopotamus,2,6,76,8,54,39,1661,3,219,12
sqlalchemy,52b25c5319b982486348069e2d9edd5259be03d3,1389666054,Mike Bayer,2,3,14,14,12,10,499,2,85,0
sqlalchemy,789ab9174354bd0a6f2cc0de97a724cadd9a6945,1389748931,Mike Bayer,1,0,7,0,0,0,0,0,0,0
sqlalchemy,1de7259093b1a49438ab26ca9661fd6023244afe,1389908311,donkopotamus,2,3,6,27,5,4,200,1,26,0
sqlalchemy,35935489608c6a896790ed0c51c3ea4b4eb6186f,1389908776,donkopotamus,2,3,41,4,29,23,982,1,26,5
sqlalchemy,cf8e5e3cf5b0e1be05a611c8828690acfcd2b9fa,1389909624,donkopotamus,3,2,26,0,4,4,106,0,0,0
sqlalchemy,882f615c68cd2d244a8d2cf480f3532a84bdb6fa,1389998203,Mike Bayer,3,7,26,17,26,20,933,3,147,3
sqlalchemy,931655f41743a99521f60ebbd0b9199422099013,1390002734,Mike Bayer,1,0,5,3,0,0,0,0,0,0
sqlalchemy,3347ff7a91b3604aa722682d3fb6ba1f70d48d5b,1390076000,Mike Bayer,1,1,1,1,1,1,25,0,0,0
sqlalchemy,1af8e2491dcbed723d2cdafd44fd37f1a6908e91,1390091216,Mike Bayer,15,65,538,81,293,243,10624,2,121,48
sqlalchemy,8e1a4fdced253a58af309c93c24a8a492b646bb7,1390109677,Mike Bayer,4,11,33,41,27,18,828,7,273,2
sqlalchemy,3dc9f9b3db10254f688c6b25b58951a4b1d4a41b,1390167156,Mike Bayer,2,3,53,28,5,5,314,0,0,0
sqlalchemy,aca8ffa474d1a270b5334a6c926b1f19b23d426e,1390211960,Wichert Akkerman,1,1,0,1,0,0,0,0,0,0
sqlalchemy,84b03137eb16b5e2a34e69f73b3a88069026c650,1390250205,Mike Bayer,2,0,9,6,0,0,0,0,0,0
sqlalchemy,44cba66cb2eb4411b43c228c4f1191c764607855,1390252180,Mike Bayer,2,1,2,1,1,1,80,0,0,0
sqlalchemy,49f1807f8f2acea5494fa77d217dce813a933147,1390258501,Mike Bayer,4,7,213,24,120,91,4990,10,383,19
sqlalchemy,417aeaf1453c67130fb8f1a2bb21c38e6795ce25,1390259642,Mike Bayer,2,6,18,16,18,12,532,3,115,3
sqlalchemy,b9318c98637bbd5c19267728fcfe941668345325,1390269695,Mike Bayer,4,26,257,51,85,70,3372,9,444,6
sqlalchemy,39ccdab8d52de6127df3144207f22dfec076e154,1390328944,Mike Bayer,1,6,41,32,41,37,2356,0,0,4
sqlalchemy,1732414076677e8fb84134325635729691f3d26d,1390423080,Mike Bayer,3,2,29,11,10,10,415,0,0,0
sqlalchemy,743ceb045e8be8b606198f4d5c02a72abebb2fbb,1390439807,Mike Bayer,8,11,272,10,39,25,1344,0,0,14
