repo,quarter,quarter_end_date,snapshot_sha,is_partial_quarter,n_files,parsed_files,parse_rate,total_lines,n_functions,mean_comment_len,median_comment_len,p90_comment_len,mean_complexity,median_complexity,p90_complexity,mean_func_len,median_func_len,p90_func_len,mean_body_len,median_body_len,p90_body_len,mean_docstring_len,median_docstring_len,p90_docstring_len,frac_functions_with_docstring
sqlalchemy,2014Q1,2014-03-31,e16ede8cae00fd5cbbd5fb33d63c14df0153c2bc,0,150,150,1.0,88428,5051,43.57421240662553,46,69,2.57889526826371,1,5,12.779449613937834,6,29,8.97465848346862,4,20,3.804791130469214,0,10,0.2989507028311226
sqlalchemy,2014Q2,2014-06-30,3db84b174ad9a6c7ba64a8dfd1746905651ca04f,0,149,149,1.0,93980,5260,41.64484007242004,45.0,65,2.625665399239544,1.0,6,13.134220532319391,6.0,30,9.194106463878327,5.0,21,3.9401140684410647,0.0,10,0.29277566539923955
sqlalchemy,2014Q3,2014-09-30,3db84b174ad9a6c7ba64a8dfd1746905651ca04f,0,149,149,1.0,93980,5260,41.64484007242004,45.0,65,2.625665399239544,1.0,6,13.134220532319391,6.0,30,9.194106463878327,5.0,21,3.9401140684410647,0.0,10,0.29277566539923955
sqlalchemy,2014Q4,2014-12-31,3db84b174ad9a6c7ba64a8dfd1746905651ca04f,0,149,149,1.0,93980,5260,41.64484007242004,45.0,65,2.625665399239544,1.0,6,13.134220532319391,6.0,30,9.194106463878327,5.0,21,3.9401140684410647,0.0,10,0.29277566539923955
sqlalchemy,2015Q1,2015-03-31,a87b3c2101114d82f999c23d113ad2018629ed48,0,149,149,1.0,94109,5266,41.65281541704306,45,65,2.627611090011394,1.0,6,13.136346372958602,6.0,30,9.203000379794911,5.0,21,3.933345993163692,0.0,10,0.2922521838207368
sqlalchemy,2015Q2,2015-06-30,a87b3c2101114d82f999c23d113ad2018629ed48,0,149,149,1.0,94109,5266,41.65281541704306,45,65,2.627611090011394,1.0,6,13.136346372958602,6.0,30,9.203000379794911,5.0,21,3.933345993163692,0.0,10,0.2922521838207368
sqlalchemy,2015Q3,2015-09-30,a87b3c2101114d82f999c23d113ad2018629ed48,0,149,149,1.0,94109,5266,41.65281541704306,45,65,2.627611090011394,1.0,6,13.136346372958602,6.0,30,9.203000379794911,5.0,21,3.933345993163692,0.0,10,0.2922521838207368
sqlalchemy,2015Q4,2015-12-31,a87b3c2101114d82f999c23d113ad2018629ed48,0,149,149,1.0,94109,5266,41.65281541704306,45,65,2.627611090011394,1.0,6,13.136346372958602,6.0,30,9.203000379794911,5.0,21,3.933345993163692,0.0,10,0.2922521838207368
sqlalchemy,2016Q1,2016-03-31,fdb6ab6a1d5d55d900c388e039835c6433032977,0,155,155,1.0,101033,5522,41.57577480807507,45,65,2.646323795726186,1.0,6,13.398587468308584,7.0,31,9.308583846432452,5.0,21,4.090003621876132,0.0,11,0.29409634190510686
sqlalchemy,2016Q2,2016-06-30,07e5b7cf5436ed22d902c31d8ada6422a1574036,0,158,158,1.0,103045,5598,41.67198879551821,45.0,65,2.6504108610217934,1.0,6,13.455698463737049,7.0,31,9.335119685602,5.0,22,4.120578778135048,0.0,11,0.2927831368345838
