repo,quarter,quarter_end_date,snapshot_sha,is_partial_quarter,n_files,parsed_files,parse_rate,total_lines,n_functions,mean_comment_len,median_comment_len,p90_comment_len,mean_complexity,median_complexity,p90_complexity,mean_func_len,median_func_len,p90_func_len,mean_body_len,median_body_len,p90_body_len,mean_docstring_len,median_docstring_len,p90_docstring_len,frac_functions_with_docstring
sympy,2014Q1,2014-03-31,34572e4c31c7317c9a16caaa6de83156d92106cb,0,522,521,0.9980842911877394,294066,12303,42.094682422451996,42.0,70,3.742745671787369,2,9,18.954889051450866,8,47,12.427537998862066,5,29,6.527351052588799,0,21,0.424042916361863
sympy,2014Q2,2014-06-30,062f1b8a46543281efd9df309cb9b2a88186a644,0,532,531,0.9981203007518797,299673,12549,42.18489182251559,42,70,3.7481871065423538,2,9,18.962228065981353,8,47,12.395489680452625,5,29,6.566738385528727,0,21,0.4240975376524026
sympy,2014Q3,2014-09-30,2b427d2f28702df489d89c3fafc0ada6cd88fba1,0,558,557,0.9982078853046595,311891,13023,42.192378654555775,42.0,70,3.747830760961376,2,9,19.058281501958074,8,47,12.38977194194886,5,29,6.668509560009214,0,21,0.42586193657375415
sympy,2014Q4,2014-12-31,7d7eb6731562f9a7cf25f92264613f0331f72119,0,562,561,0.998220640569395,316394,13272,42.25259758494805,42.5,70,3.755801687763713,2.0,9,18.98025919228451,8.0,47,12.362718505123569,5.0,29,6.617540687160941,0.0,21,0.420961422543701
sympy,2015Q1,2015-03-31,0e9e62c2890e480845bed8c297dee554a8defc48,0,511,510,0.9980430528375733,272034,12065,43.0736496165838,44,70,3.6372150849564857,2,8,18.407542478242853,7,46,11.80082884376295,5,28,6.606713634479901,0,21,0.4335681723995027
sympy,2015Q2,2015-06-30,c4ad62846323824feef6726cdb655c4a69c516bf,0,520,519,0.9980769230769231,276629,12263,43.099842048383074,44,70,3.630596102095735,2,8,18.387017858599037,7,46,11.786593818804533,5,28,6.600424039794504,0,21,0.43349914376579957
sympy,2015Q3,2015-09-30,a57f3c43b9c86979ff7fe04d520bc404b94d859a,0,529,528,0.998109640831758,282508,12515,43.111988159842134,44.0,70,3.6270075908909307,2,8,18.43036356372353,7,46,11.789292848581702,5,28,6.64107071514183,0,22,0.43435876947662805
sympy,2015Q4,2015-12-31,7e1dda39709367e36e605444a918b31aaf709d67,0,537,536,0.9981378026070763,285304,12637,43.14339437540876,44.0,70,3.6327451135554325,2,8,18.412043997784284,7,46,11.769723826857641,5,28,6.642320170926644,0,22,0.43277676663765136
sympy,2016Q1,2016-03-31,3364138879de0ea98f2df313f56ada03c13163f9,0,535,534,0.9981308411214953,287326,12592,43.00413321675543,44,70,3.6551778907242696,2.0,8,18.596489834815756,7.0,47,11.809482210927573,5.0,28,6.787007623888183,0.0,22,0.43591168996188057
sympy,2016Q2,2016-06-30,1dbb15fee2099f760c2d036578e54c3aff3d11af,0,548,547,0.9981751824817519,295648,12904,42.97775732474306,44.0,70,3.6788592684438934,2.0,8,18.68079665220087,7.0,47,11.883137011779294,5.0,28,6.797659640421575,0.0,22,0.43552386856788594
