vintage_quarter,repo_full_name,clone_url,stars_at_discovery,archived_at_discovery,created_at_github,first_commit_date,snapshot_date,snapshot_sha,age_days_at_snapshot,is_young_partial,state_n_files,state_parsed_files,state_parse_rate,state_total_lines,state_n_functions,state_mean_comment_len,state_median_comment_len,state_p90_comment_len,state_mean_complexity,state_median_complexity,state_p90_complexity,state_mean_func_len,state_median_func_len,state_p90_func_len,state_mean_body_len,state_median_body_len,state_p90_body_len,state_mean_docstring_len,state_median_docstring_len,state_p90_docstring_len,state_frac_functions_with_docstring,flow_n_commits,flow_n_contributors,flow_mean_added_comment_len,flow_median_hunk_added,flow_mean_hunk_added,flow_median_added_code_lines_per_commit,flow_mean_added_code_lines_per_commit,flow_total_added_code_lines,flow_total_added_comment_lines,flow_total_added_blank_lines,flow_total_raw_added_lines,flow_total_raw_deleted_lines,flow_total_raw_n_files
2014Q1,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs.git,22427,0,2014-01-11T21:05:21Z,2014-01-10T23:00:46+00:00,2014-07-09,2d92dae9a2c534ca54a23b94632c99f785dcde45,180,0,10,6,0.6,1450,69,43.82142857142857,46.0,69,2,1,3,11.869565217391305,8,23,10.565217391304348,6,23,1.3043478260869565,0,4,0.30434782608695654,77,6,39.20348837209303,3.0,8.57113048636211,6.0,24.83116883116883,1912,172,388,2570,996,142
2014Q1,chriskiehl/Gooey,https://github.com/chriskiehl/Gooey.git,21900,0,2014-01-01T21:06:05Z,2014-01-01T13:06:05-08:00,2014-06-30,3a361eccad8b50023e6aa3706ab911d1b10f4994,180,0,45,35,0.7777777777777778,3402,195,28.541666666666668,28.0,44,1.6051282051282052,1,3,7.102564102564102,5,15,6.702564102564103,5,12,0.4,0,0,0.07179487179487179,24,2,32.90526315789474,5.391760299625468,13.547562692876975,97.5,270.875,6501,285,1985,8885,5429,240
2014Q1,wagtail/wagtail,https://github.com/wagtail/wagtail.git,20489,0,2014-02-03T12:41:59Z,2014-01-22T12:27:23+00:00,2014-07-21,00046639c7032826e80bb081121b6abc63d942a2,180,0,206,206,1.0,14707,913,43.05717151454363,38,78,2.098576122672508,1,4,10.109529025191677,6,23,9.599123767798467,5,21,0.5104052573932092,0,3,0.12048192771084337,971,28,42.29801324503311,2.25,7.013607598710684,5.0,24.737384140061792,24020,2114,5598,43764,18698,1994
2014Q1,binux/pyspider,https://github.com/binux/pyspider.git,16766,1,2014-02-21T19:18:47Z,2014-02-08T00:43:04+08:00,2014-08-07,2b1718afe5e0080192bedb69da90f93813b2f307,180,0,40,26,0.65,4317,182,35.19718309859155,32,61,2.2362637362637363,1.0,5,6.642857142857143,5.0,15,6.43956043956044,4.5,15,0.2032967032967033,0.0,0,0.07692307692307693,49,2,37.31182795698925,4.5,17.146919462430596,34.0,76.51020408163265,3749,186,590,5642,1296,195
2014Q1,pre-commit/pre-commit,https://github.com/pre-commit/pre-commit.git,15565,0,2014-03-13T00:39:38Z,2014-03-12T20:25:19-07:00,2014-09-08,cfd86d5faab40287d4655e0f4fba1310cc809a43,180,0,39,39,1.0,2022,128,41.504950495049506,45,68,2.2109375,1.0,5,9.96875,6.0,22,8.953125,5.0,20,1.015625,0.0,4,0.2421875,228,3,42.524324324324326,2.888888888888889,7.261872827576453,5.0,15.219298245614034,3470,185,808,10581,5303,753
2014Q1,ytisf/theZoo,https://github.com/ytisf/theZoo.git,13372,0,2014-01-09T18:55:35Z,2014-01-14T16:04:18+02:00,2014-07-13,5ac272748f50ad1e0486fbd310a668d602e70a29,180,0,9,2,0.2222222222222222,986,1,45.63358778625954,45,69,1,1,1,31,31,31,31,31,31,0,0,0,0.0,14,2,43.629955947136565,7.25,30.300465724751437,42.5,96.28571428571429,1348,227,250,1825,839,30
2014Q1,MrS0m30n3/youtube-dl-gui,https://github.com/MrS0m30n3/youtube-dl-gui.git,9424,0,2014-03-01T17:11:10Z,2014-03-01T19:12:37+02:00,2014-08-28,ae350ddf135e8eb0cc70fa3e08be29672076f030,180,0,13,12,0.9230769230769231,2769,167,24.425531914893618,20,45,2.155688622754491,1,4,10.736526946107784,7,25,9.832335329341317,6,23,0.9041916167664671,1,1,0.7904191616766467,106,2,28.029850746268657,2.0,4.386686955247563,7.0,73.62264150943396,7804,134,1594,9725,7975,255
2014Q1,joerick/pyinstrument,https://github.com/joerick/pyinstrument.git,8009,0,2014-03-13T17:53:13Z,2014-03-13T17:54:13+00:00,2014-09-09,94b89f9a13a44a5a4b244c9aac9a7b81a4359ce5,180,0,9,9,1.0,670,41,66.77777777777777,75.0,89,3.2439024390243905,3,7,12.365853658536585,8,27,12,8,27,0.36585365853658536,0,1,0.12195121951219512,69,3,64.78787878787878,2.6296296296296298,7.743597227688136,4.0,17.115942028985508,1181,33,296,1545,1212,82
2014Q1,anishathalye/dotbot,https://github.com/anishathalye/dotbot.git,8001,0,2014-03-20T21:43:58Z,2014-03-20T18:57:56-04:00,2014-09-16,1d2918f82e432a039dcf81849fcfd684d25ddb76,180,0,15,15,1.0,396,39,,,,2.358974358974359,1,7,7.0256410256410255,4,18,6.128205128205129,3,15,0.8974358974358975,0,3,0.2564102564102564,8,1,nan,2.875,8.279647435897436,6.5,44.75,358,0,51,409,13,23
2014Q1,pre-commit/pre-commit-hooks,https://github.com/pre-commit/pre-commit-hooks.git,6679,0,2014-03-13T15:21:46Z,2014-03-13T08:41:35-07:00,2014-09-09,f99d70ef0fed82851e32a8a8b34ab9e6e3eb2af5,180,0,8,8,1.0,274,13,48.25,44.5,74,3.076923076923077,3,5,13.153846153846153,13,24,12.846153846153847,13,24,0.3076923076923077,0,0,0.07692307692307693,29,1,48.25,14.0,20.492424242424246,0.0,7.551724137931035,219,12,70,671,330,66
2014Q2,pallets/click,https://github.com/pallets/click.git,17657,0,2014-04-24T09:52:19Z,2014-04-24T11:51:55+02:00,2014-10-21,308cc08a711f1ec372fd7fa5acca8e8a1a04ee70,180,0,14,14,1.0,5662,373,47.76657060518732,58,67,3.131367292225201,2,7,12.152815013404826,7,28,9.801608579088471,5,25,2.351206434316354,0,6,0.32171581769436997,330,21,48.94652406417112,2.0,5.206857411202405,3.0,21.566666666666666,7117,561,1214,12564,5101,598
2014Q2,platformio/platformio-core,https://github.com/platformio/platformio-core.git,9449,0,2014-05-09T09:38:42Z,2014-05-09T02:38:42-07:00,2014-11-05,c867f9a90a210f5d33b6bae75741d5121f8f7caf,180,0,27,25,0.9259259259259259,1658,87,34.17910447761194,26,46,3.0114942528735633,2,7,8.885057471264368,6,21,8.885057471264368,6,21,0,0,0,0.0,102,1,34.148148148148145,1.5,3.736358736222583,1.0,17.686274509803923,1804,81,487,4098,1119,235
2014Q2,bayesian-optimization/BayesianOptimization,https://github.com/bayesian-optimization/BayesianOptimization.git,8704,0,2014-06-06T08:18:56Z,2014-06-06T01:22:39-07:00,2014-12-03,f01e77ed98f7e7daac5276c6eca2a030c2b4047b,180,0,5,5,1.0,1101,36,72.17721518987342,80,107,2.75,2.0,7,23,18.0,52,15.11111111111111,7.0,40,7.888888888888889,4.0,23,0.6666666666666666,34,3,64.80444444444444,3.75,57.583700286108005,24.0,101.52941176470588,3452,450,1647,6349,5242,70
2014Q2,jupyterhub/jupyterhub,https://github.com/jupyterhub/jupyterhub.git,8331,0,2014-06-12T23:22:10Z,2014-06-12T16:22:06-07:00,2014-12-09,4954733a69fc6c634378f227cd04c314163e9d80,180,0,20,20,1.0,2881,168,44.07142857142857,42.0,64,2.4523809523809526,2.0,5,11.041666666666666,7.0,23,9.898809523809524,7.0,23,1.1428571428571428,1.0,4,0.5297619047619048,159,4,42.403614457831324,2.514705882352941,9.351519670406537,7.0,40.0125786163522,6362,332,1283,9706,5990,342
2014Q2,EnableSecurity/wafw00f,https://github.com/EnableSecurity/wafw00f.git,6537,0,2014-05-14T17:08:16Z,2014-05-14T10:08:16-07:00,2014-11-10,424331e5f802fe2cf1d5690042fad286a273212d,180,0,3,3,1.0,1263,74,43.06382978723404,37,76,3.824324324324324,2.0,8,11.85135135135135,6.0,21,11.567567567567568,6.0,19,0.28378378378378377,0.0,0,0.06756756756756757,26,3,42.73378839590443,2.5,118.360805488876,6.0,140.1153846153846,3643,293,539,4889,3225,32
